phase,scenario,block_id,trial_date,within_block_order,arm,run_id,layout_class,status
pilot,stable,pilot-stable-000,pilot-day-1,0,m10b_decentralized,m13-pilot-stable-000-m10b_decentralized,development,planned
pilot,stable,pilot-stable-000,pilot-day-1,1,m10b_decentralized_no_negotiation,m13-pilot-stable-000-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-000,pilot-day-1,2,m10a5_centralized,m13-pilot-stable-000-m10a5_centralized,development,planned
pilot,stable,pilot-stable-000,pilot-day-1,3,m9c_no_trust,m13-pilot-stable-000-m9c_no_trust,development,planned
pilot,stable,pilot-stable-001,pilot-day-2,0,m10b_decentralized,m13-pilot-stable-001-m10b_decentralized,development,planned
pilot,stable,pilot-stable-001,pilot-day-2,1,m10b_decentralized_no_negotiation,m13-pilot-stable-001-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-001,pilot-day-2,2,m9c_no_trust,m13-pilot-stable-001-m9c_no_trust,development,planned
pilot,stable,pilot-stable-001,pilot-day-2,3,m10a5_centralized,m13-pilot-stable-001-m10a5_centralized,development,planned
pilot,stable,pilot-stable-002,pilot-day-3,0,m10b_decentralized,m13-pilot-stable-002-m10b_decentralized,development,planned
pilot,stable,pilot-stable-002,pilot-day-3,1,m10a5_centralized,m13-pilot-stable-002-m10a5_centralized,development,planned
pilot,stable,pilot-stable-002,pilot-day-3,2,m9c_no_trust,m13-pilot-stable-002-m9c_no_trust,development,planned
pilot,stable,pilot-stable-002,pilot-day-3,3,m10b_decentralized_no_negotiation,m13-pilot-stable-002-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-003,pilot-day-1,0,m10b_decentralized,m13-pilot-stable-003-m10b_decentralized,development,planned
pilot,stable,pilot-stable-003,pilot-day-1,1,m9c_no_trust,m13-pilot-stable-003-m9c_no_trust,development,planned
pilot,stable,pilot-stable-003,pilot-day-1,2,m10a5_centralized,m13-pilot-stable-003-m10a5_centralized,development,planned
pilot,stable,pilot-stable-003,pilot-day-1,3,m10b_decentralized_no_negotiation,m13-pilot-stable-003-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-004,pilot-day-2,0,m9c_no_trust,m13-pilot-stable-004-m9c_no_trust,development,planned
pilot,stable,pilot-stable-004,pilot-day-2,1,m10b_decentralized_no_negotiation,m13-pilot-stable-004-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-004,pilot-day-2,2,m10a5_centralized,m13-pilot-stable-004-m10a5_centralized,development,planned
pilot,stable,pilot-stable-004,pilot-day-2,3,m10b_decentralized,m13-pilot-stable-004-m10b_decentralized,development,planned
pilot,stable,pilot-stable-005,pilot-day-3,0,m9c_no_trust,m13-pilot-stable-005-m9c_no_trust,development,planned
pilot,stable,pilot-stable-005,pilot-day-3,1,m10a5_centralized,m13-pilot-stable-005-m10a5_centralized,development,planned
pilot,stable,pilot-stable-005,pilot-day-3,2,m10b_decentralized_no_negotiation,m13-pilot-stable-005-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-005,pilot-day-3,3,m10b_decentralized,m13-pilot-stable-005-m10b_decentralized,development,planned
pilot,stable,pilot-stable-006,pilot-day-1,0,m9c_no_trust,m13-pilot-stable-006-m9c_no_trust,development,planned
pilot,stable,pilot-stable-006,pilot-day-1,1,m10a5_centralized,m13-pilot-stable-006-m10a5_centralized,development,planned
pilot,stable,pilot-stable-006,pilot-day-1,2,m10b_decentralized,m13-pilot-stable-006-m10b_decentralized,development,planned
pilot,stable,pilot-stable-006,pilot-day-1,3,m10b_decentralized_no_negotiation,m13-pilot-stable-006-m10b_decentralized_no_negotiation,development,planned
pilot,stable,pilot-stable-007,pilot-day-2,0,m9c_no_trust,m13-pilot-stable-007-m9c_no_trust,development,planned
pilot,stable,pilot-stable-007,pilot-day-2,1,m10a5_centralized,m13-pilot-stable-007-m10a5_centralized,development,planned
pilot,stable,pilot-stable-007,pilot-day-2,2,m10b_decentralized,m13-pilot-stable-007-m10b_decentralized,development,planned
pilot,stable,pilot-stable-007,pilot-day-2,3,m10b_decentralized_no_negotiation,m13-pilot-stable-007-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-000,pilot-day-1,0,m10a5_centralized,m13-pilot-target_manoeuvre-000-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-000,pilot-day-1,1,m10b_decentralized,m13-pilot-target_manoeuvre-000-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-000,pilot-day-1,2,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-000-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-000,pilot-day-1,3,m9c_no_trust,m13-pilot-target_manoeuvre-000-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-001,pilot-day-2,0,m10a5_centralized,m13-pilot-target_manoeuvre-001-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-001,pilot-day-2,1,m9c_no_trust,m13-pilot-target_manoeuvre-001-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-001,pilot-day-2,2,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-001-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-001,pilot-day-2,3,m10b_decentralized,m13-pilot-target_manoeuvre-001-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-002,pilot-day-3,0,m10a5_centralized,m13-pilot-target_manoeuvre-002-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-002,pilot-day-3,1,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-002-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-002,pilot-day-3,2,m10b_decentralized,m13-pilot-target_manoeuvre-002-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-002,pilot-day-3,3,m9c_no_trust,m13-pilot-target_manoeuvre-002-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-003,pilot-day-1,0,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-003-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-003,pilot-day-1,1,m10a5_centralized,m13-pilot-target_manoeuvre-003-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-003,pilot-day-1,2,m9c_no_trust,m13-pilot-target_manoeuvre-003-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-003,pilot-day-1,3,m10b_decentralized,m13-pilot-target_manoeuvre-003-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-004,pilot-day-2,0,m9c_no_trust,m13-pilot-target_manoeuvre-004-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-004,pilot-day-2,1,m10b_decentralized,m13-pilot-target_manoeuvre-004-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-004,pilot-day-2,2,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-004-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-004,pilot-day-2,3,m10a5_centralized,m13-pilot-target_manoeuvre-004-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-005,pilot-day-3,0,m10a5_centralized,m13-pilot-target_manoeuvre-005-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-005,pilot-day-3,1,m9c_no_trust,m13-pilot-target_manoeuvre-005-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-005,pilot-day-3,2,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-005-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-005,pilot-day-3,3,m10b_decentralized,m13-pilot-target_manoeuvre-005-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-006,pilot-day-1,0,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-006-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-006,pilot-day-1,1,m9c_no_trust,m13-pilot-target_manoeuvre-006-m9c_no_trust,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-006,pilot-day-1,2,m10a5_centralized,m13-pilot-target_manoeuvre-006-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-006,pilot-day-1,3,m10b_decentralized,m13-pilot-target_manoeuvre-006-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-007,pilot-day-2,0,m10b_decentralized,m13-pilot-target_manoeuvre-007-m10b_decentralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-007,pilot-day-2,1,m10b_decentralized_no_negotiation,m13-pilot-target_manoeuvre-007-m10b_decentralized_no_negotiation,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-007,pilot-day-2,2,m10a5_centralized,m13-pilot-target_manoeuvre-007-m10a5_centralized,development,planned
pilot,target_manoeuvre,pilot-target_manoeuvre-007,pilot-day-2,3,m9c_no_trust,m13-pilot-target_manoeuvre-007-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-000,pilot-day-1,0,m10b_decentralized,m13-pilot-physical_occlusion-000-m10b_decentralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-000,pilot-day-1,1,m9c_no_trust,m13-pilot-physical_occlusion-000-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-000,pilot-day-1,2,m10b_decentralized_no_negotiation,m13-pilot-physical_occlusion-000-m10b_decentralized_no_negotiation,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-000,pilot-day-1,3,m10a5_centralized,m13-pilot-physical_occlusion-000-m10a5_centralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-001,pilot-day-2,0,m10b_decentralized_no_negotiation,m13-pilot-physical_occlusion-001-m10b_decentralized_no_negotiation,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-001,pilot-day-2,1,m10b_decentralized,m13-pilot-physical_occlusion-001-m10b_decentralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-001,pilot-day-2,2,m10a5_centralized,m13-pilot-physical_occlusion-001-m10a5_centralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-001,pilot-day-2,3,m9c_no_trust,m13-pilot-physical_occlusion-001-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-002,pilot-day-3,0,m10b_decentralized_no_negotiation,m13-pilot-physical_occlusion-002-m10b_decentralized_no_negotiation,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-002,pilot-day-3,1,m10a5_centralized,m13-pilot-physical_occlusion-002-m10a5_centralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-002,pilot-day-3,2,m10b_decentralized,m13-pilot-physical_occlusion-002-m10b_decentralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-002,pilot-day-3,3,m9c_no_trust,m13-pilot-physical_occlusion-002-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-003,pilot-day-1,0,m10b_decentralized_no_negotiation,m13-pilot-physical_occlusion-003-m10b_decentralized_no_negotiation,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-003,pilot-day-1,1,m10b_decentralized,m13-pilot-physical_occlusion-003-m10b_decentralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-003,pilot-day-1,2,m10a5_centralized,m13-pilot-physical_occlusion-003-m10a5_centralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-003,pilot-day-1,3,m9c_no_trust,m13-pilot-physical_occlusion-003-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-004,pilot-day-2,0,m10b_decentralized_no_negotiation,m13-pilot-physical_occlusion-004-m10b_decentralized_no_negotiation,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-004,pilot-day-2,1,m10b_decentralized,m13-pilot-physical_occlusion-004-m10b_decentralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-004,pilot-day-2,2,m9c_no_trust,m13-pilot-physical_occlusion-004-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-004,pilot-day-2,3,m10a5_centralized,m13-pilot-physical_occlusion-004-m10a5_centralized,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-005,pilot-day-3,0,m9c_no_trust,m13-pilot-physical_occlusion-005-m9c_no_trust,development,planned
pilot,physical_occlusion,pilot-physical_occlusion-005,pilot-day-3,1,m10b_decentralized,m13-pilot-physical_occlusion-005-m10b_decentralized,development,planned
