scenario,candidate,baseline,metric,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
stable_control,closed_loop_trust,m9c_receding,integrated_loss,150,1.0293266506596888,1.0293266506596888,0.0,0.0,0.0
stable_control,closed_loop_trust,m9c_receding,decision_loss,150,0.2770587219327031,0.2770587219327031,0.0,0.0,0.0
stable_control,closed_loop_trust,m9c_receding,movement_per_step,150,0.9403349109087321,0.9403349109087321,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,integrated_loss,150,1.1071730420092976,1.1071730420092976,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,decision_loss,150,0.37073360241068504,0.37073360241068504,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,movement_per_step,150,0.9205492994982652,0.9205492994982652,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,integrated_loss,150,1.082544646993945,1.082544646993945,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,decision_loss,150,0.3149198389588233,0.3149198389588233,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,movement_per_step,150,0.9595310100439023,0.9595310100439023,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,integrated_loss,150,1.1110396623025045,1.1110396623025045,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,decision_loss,150,0.3396781602376514,0.3396781602376514,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,movement_per_step,150,0.9642018775810661,0.9642018775810661,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,integrated_loss,150,1.8189093591966161,1.8189093591966161,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,decision_loss,150,1.0454141917370157,1.0454141917370157,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,movement_per_step,150,0.9668689593245,0.9668689593245,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,integrated_loss,150,1.2345163188053592,1.2345163188053592,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,decision_loss,150,0.2796304310947766,0.2796304310947766,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,movement_per_step,150,1.1936073596382282,1.1936073596382282,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,integrated_loss,150,0.9291406745202998,0.9291406745202998,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,decision_loss,150,0.18902389731457067,0.18902389731457067,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,movement_per_step,150,0.9251459715071614,0.9251459715071614,0.0,0.0,0.0
raw_attack_mild,closed_loop_trust,m9c_receding,integrated_loss,150,2.6991475163500853,1.0813509136068946,1.617796602743191,1.5804792881355476,1.6554861292539558
raw_attack_mild,closed_loop_trust,m9c_receding,decision_loss,150,1.9421308909429718,0.31742363102559984,1.6247072599173722,1.585719153600411,1.6627788190243062
raw_attack_mild,closed_loop_trust,m9c_receding,movement_per_step,150,0.9462707817588916,0.9549091032266184,-0.008638321467726891,-0.0101114319141036,-0.0071253447769698275
raw_attack_moderate,closed_loop_trust,m9c_receding,integrated_loss,150,4.141514000931974,1.1200098361681556,3.02150416476382,3.002444634428541,3.039318538625601
raw_attack_moderate,closed_loop_trust,m9c_receding,decision_loss,150,3.3792502760523133,0.3448995899798615,3.0343506860724516,3.0145369585019277,3.052041535872243
raw_attack_moderate,closed_loop_trust,m9c_receding,movement_per_step,150,0.9528296560995777,0.9688878077353672,-0.016058151635789476,-0.018206032056174604,-0.013956349794810183
raw_attack_severe,closed_loop_trust,m9c_receding,integrated_loss,150,5.10426890544072,1.1536942990282213,3.9505746064124985,3.9424858580781206,3.9584637572814896
raw_attack_severe,closed_loop_trust,m9c_receding,decision_loss,150,4.303044650463028,0.33024336476877586,3.9728012856942527,3.9653163787275685,3.979831308571638
raw_attack_severe,closed_loop_trust,m9c_receding,movement_per_step,150,1.0015303187221145,1.0293136678243064,-0.0277833491021921,-0.030375875290395208,-0.025231147440036978
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,integrated_loss,150,4.294622252698608,1.2277405674956874,3.066881685202921,3.059379487682392,3.074154728885422
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,decision_loss,150,3.517911100768175,0.43353459364905633,3.0843765071191185,3.0771768605184997,3.0913798598717466
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,movement_per_step,150,0.9708889399130423,0.992757467308289,-0.02186852739524647,-0.023940591022720916,-0.019807629685535125
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,integrated_loss,150,2.9295427483729,1.2133630707796672,1.7161796775932332,1.7102034913908841,1.7218356509794286
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,decision_loss,150,2.1451870647289866,0.41428642585778697,1.7309006388712003,1.7253046394755178,1.7365895212066311
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,movement_per_step,150,0.9804446045548916,0.99884580615235,-0.018401201597458332,-0.020504209747982047,-0.016450356245030783
