scenario,candidate,baseline,metric,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
stable_control,closed_loop_trust,m9c_receding,integrated_loss,2,1.0688920987719928,1.0688920987719928,0.0,0.0,0.0
stable_control,closed_loop_trust,m9c_receding,decision_loss,2,0.26512666347392,0.26512666347392,0.0,0.0,0.0
stable_control,closed_loop_trust,m9c_receding,movement_per_step,2,1.004706794122591,1.004706794122591,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,integrated_loss,2,1.1188016382703558,1.1188016382703558,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,decision_loss,2,0.3323027245873547,0.3323027245873547,0.0,0.0,0.0
failure_partition,closed_loop_trust,m9c_receding,movement_per_step,2,0.9831236421037514,0.9831236421037514,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,integrated_loss,2,1.1134422223009686,1.1134422223009686,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,decision_loss,2,0.3052958676700267,0.3052958676700267,0.0,0.0,0.0
flapping_reconnect,closed_loop_trust,m9c_receding,movement_per_step,2,1.0101829432886773,1.0101829432886773,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,integrated_loss,2,1.1283631742877176,1.1283631742877176,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,decision_loss,2,0.3100372599201964,0.3100372599201964,0.0,0.0,0.0
admission_censoring_control,closed_loop_trust,m9c_receding,movement_per_step,2,1.0229073929594015,1.0229073929594015,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,integrated_loss,2,1.8934916974954668,1.8934916974954668,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,decision_loss,2,1.0774093986923727,1.0774093986923727,0.0,0.0,0.0
source_assignment_competition,closed_loop_trust,m9c_receding,movement_per_step,2,1.0201028735038675,1.0201028735038675,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,integrated_loss,2,1.3669509713883965,1.3669509713883965,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,decision_loss,2,0.27153100171345873,0.27153100171345873,0.0,0.0,0.0
genuine_target_maneuver,closed_loop_trust,m9c_receding,movement_per_step,2,1.3692749620936722,1.3692749620936722,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,integrated_loss,2,0.9714212259124118,0.9714212259124118,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,decision_loss,2,0.17700030725263505,0.17700030725263505,0.0,0.0,0.0
legitimate_heterogeneous_precision,closed_loop_trust,m9c_receding,movement_per_step,2,0.9930261483247209,0.9930261483247209,0.0,0.0,0.0
raw_attack_mild,closed_loop_trust,m9c_receding,integrated_loss,2,2.656060160135665,1.0968078137911137,1.5592523463445516,1.195314677682905,1.923190015006198
raw_attack_mild,closed_loop_trust,m9c_receding,decision_loss,2,1.8486198868133192,0.28625312116573165,1.5623667656475875,1.2016339682368324,1.9230995630583427
raw_attack_mild,closed_loop_trust,m9c_receding,movement_per_step,2,1.0093003416529323,1.0131933657817274,-0.0038930241287952194,-0.007899113192409324,0.00011306493481888502
raw_attack_moderate,closed_loop_trust,m9c_receding,integrated_loss,2,4.203251135956284,1.11036097733711,3.0928901586191744,3.060594427674289,3.12518588956406
raw_attack_moderate,closed_loop_trust,m9c_receding,decision_loss,2,3.395542828659278,0.29102660036608907,3.104516228293189,3.0754512831358687,3.1335811734505095
raw_attack_moderate,closed_loop_trust,m9c_receding,movement_per_step,2,1.0096353841212578,1.024167971213776,-0.014532587092518368,-0.018571069326974055,-0.01049410485806268
raw_attack_severe,closed_loop_trust,m9c_receding,integrated_loss,2,5.154777549052467,1.1866937805790891,3.9680837684733774,3.965091480155884,3.971076056790871
raw_attack_severe,closed_loop_trust,m9c_receding,decision_loss,2,4.305062955715284,0.3120204520869055,3.993042503628378,3.986576950134219,3.9995080571225374
raw_attack_severe,closed_loop_trust,m9c_receding,movement_per_step,2,1.0621432416714789,1.0933416606152293,-0.031198418943750417,-0.035540000414582495,-0.026856837472918338
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,integrated_loss,2,4.290514101567571,1.238076125025012,3.052437976542559,3.0144991010165363,3.090376852068582
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,decision_loss,2,3.464318752709451,0.39112856602816604,3.073190186681285,3.0323471726442848,3.1140332007182856
raw_channel_colluding_ramp,closed_loop_trust,m9c_receding,movement_per_step,2,1.03274418607265,1.0586844487460576,-0.025940262673407655,-0.029570435812130036,-0.022310089534685273
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,integrated_loss,2,2.912334192643183,1.2255224254714738,1.6868117671717093,1.672479936211968,1.7011435981314504
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,decision_loss,2,2.079039240550478,0.3709450982557412,1.7080941422947369,1.6870047347561743,1.7291835498332995
raw_attack_then_honest_recovery,closed_loop_trust,m9c_receding,movement_per_step,2,1.0416186901158815,1.0682216590196658,-0.026602968903784496,-0.03504993962731129,-0.018155998180257704
