scenario,candidate,baseline,metric,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
stable_control,combined,m9c_baseline,decision_loss,150,0.27384442085587263,0.27384442085587263,0.0,0.0,0.0
stable_control,combined,cross_channel,decision_loss,150,0.27384442085587263,0.27384442085587263,0.0,0.0,0.0
stable_control,combined,ramp_rate,decision_loss,150,0.27384442085587263,0.27384442085587263,0.0,0.0,0.0
stable_control,combined,influence_budget,decision_loss,150,0.27386932145568627,0.27384442085587263,2.4900599813634425e-05,-7.59540335745905e-05,0.00010626049426778806
failure_partition,combined,m9c_baseline,decision_loss,150,0.3701660889031702,0.3701660889031702,0.0,0.0,0.0
failure_partition,combined,cross_channel,decision_loss,150,0.3701660889031702,0.3701660889031702,0.0,0.0,0.0
failure_partition,combined,ramp_rate,decision_loss,150,0.3701660889031702,0.3701660889031702,0.0,0.0,0.0
failure_partition,combined,influence_budget,decision_loss,150,0.3689086438946003,0.3701660889031702,-0.001257445008569813,-0.0025533792944200076,-9.84367110287187e-05
flapping_reconnect,combined,m9c_baseline,decision_loss,150,0.3129967178826303,0.3129967178826303,0.0,0.0,0.0
flapping_reconnect,combined,cross_channel,decision_loss,150,0.3129967178826303,0.3129967178826303,0.0,0.0,0.0
flapping_reconnect,combined,ramp_rate,decision_loss,150,0.3129967178826303,0.3129967178826303,0.0,0.0,0.0
flapping_reconnect,combined,influence_budget,decision_loss,150,0.3129784367923111,0.3129967178826303,-1.82810903191577e-05,-0.00010345960864064557,5.615098352863826e-05
admission_censoring_control,combined,m9c_baseline,decision_loss,150,0.33939397414510886,0.33939397414510886,0.0,0.0,0.0
admission_censoring_control,combined,cross_channel,decision_loss,150,0.33939397414510886,0.33939397414510886,0.0,0.0,0.0
admission_censoring_control,combined,ramp_rate,decision_loss,150,0.33939397414510886,0.33939397414510886,0.0,0.0,0.0
admission_censoring_control,combined,influence_budget,decision_loss,150,0.33799606536897464,0.33939397414510886,-0.0013979087761341632,-0.002905525302222799,5.29792492575777e-05
source_assignment_competition,combined,m9c_baseline,decision_loss,150,1.042937635248245,1.042937635248245,0.0,0.0,0.0
source_assignment_competition,combined,cross_channel,decision_loss,150,1.042937635248245,1.042937635248245,0.0,0.0,0.0
source_assignment_competition,combined,ramp_rate,decision_loss,150,1.042937635248245,1.042937635248245,0.0,0.0,0.0
source_assignment_competition,combined,influence_budget,decision_loss,150,1.0744577173435805,1.042937635248245,0.03152008209533553,0.026250780977352037,0.037003024119904165
genuine_target_maneuver,combined,m9c_baseline,decision_loss,150,0.2769374085745892,0.2769374085745892,0.0,0.0,0.0
genuine_target_maneuver,combined,cross_channel,decision_loss,150,0.2769374085745892,0.2769374085745892,0.0,0.0,0.0
genuine_target_maneuver,combined,ramp_rate,decision_loss,150,0.2769374085745892,0.2769374085745892,0.0,0.0,0.0
genuine_target_maneuver,combined,influence_budget,decision_loss,150,0.27693933518312414,0.2769374085745892,1.9266085349397184e-06,-2.2656593443122948e-06,7.46191853852169e-06
legitimate_heterogeneous_precision,combined,m9c_baseline,decision_loss,150,0.18847209129268297,0.18847209129268297,0.0,0.0,0.0
legitimate_heterogeneous_precision,combined,cross_channel,decision_loss,150,0.18847209129268297,0.18847209129268297,0.0,0.0,0.0
legitimate_heterogeneous_precision,combined,ramp_rate,decision_loss,150,0.18847209129268297,0.18847209129268297,0.0,0.0,0.0
legitimate_heterogeneous_precision,combined,influence_budget,decision_loss,150,0.18848354799021544,0.18847209129268297,1.1456697532471472e-05,-6.736439167378205e-06,3.338384224206495e-05
raw_attack_mild,combined,m9c_baseline,decision_loss,150,1.9078699705735465,0.3173148174888697,1.5905551530846769,1.554108718174774,1.625250744445208
raw_attack_mild,combined,cross_channel,decision_loss,150,0.3173148174888697,0.3173148174888697,0.0,0.0,0.0
raw_attack_mild,combined,ramp_rate,decision_loss,150,1.8800529297243183,0.3173148174888697,1.5627381122354487,1.5272583700028555,1.59778396770491
raw_attack_mild,combined,influence_budget,decision_loss,150,1.6983071990964842,0.3173148174888697,1.3809923816076146,1.3732087481531983,1.3890222476796084
raw_attack_moderate,combined,m9c_baseline,decision_loss,150,3.3562316294023518,0.3452977683666759,3.0109338610356757,2.990659483647128,3.0297927361502395
raw_attack_moderate,combined,cross_channel,decision_loss,150,0.3452978477918328,0.3452977683666759,7.942515687956823e-08,0.0,2.3827547063870468e-07
raw_attack_moderate,combined,ramp_rate,decision_loss,150,3.2465122700620213,0.3452977683666759,2.9012145016953452,2.8806437331997214,2.920294394152272
raw_attack_moderate,combined,influence_budget,decision_loss,150,1.916870163115358,0.3452977683666759,1.5715723947486817,1.5653064661518037,1.577416880209086
raw_attack_severe,combined,m9c_baseline,decision_loss,150,4.294502349323292,0.3390466200396998,3.955455729283592,3.9479330008777485,3.9627357319999037
raw_attack_severe,combined,cross_channel,decision_loss,150,0.3390441853685442,0.3390466200396998,-2.4346711556821887e-06,-6.166037309465929e-06,0.0
raw_attack_severe,combined,ramp_rate,decision_loss,150,4.002699211700081,0.3390466200396998,3.663652591660382,3.6520998988447584,3.6745558346710556
raw_attack_severe,combined,influence_budget,decision_loss,150,4.24552966413262,0.3390466200396998,3.9064830440929206,3.895573876746595,3.9174477950745
raw_channel_colluding_ramp,combined,m9c_baseline,decision_loss,150,3.509137450508841,0.43742463339177723,3.0717128171170645,3.063411995166865,3.0794709261678457
raw_channel_colluding_ramp,combined,cross_channel,decision_loss,150,0.4436961344281923,0.43742463339177723,0.0062715010364150815,0.00418007258249635,0.008692208445566195
raw_channel_colluding_ramp,combined,ramp_rate,decision_loss,150,3.285797163335639,0.43742463339177723,2.8483725299438616,2.834068797451497,2.862066791804958
raw_channel_colluding_ramp,combined,influence_budget,decision_loss,150,1.8784616676316068,0.43742463339177723,1.44103703423983,1.4283132658966304,1.4541992082493775
