scenario,seed,arm,decision_loss,position_rmse,best_hypothesis_rmse,selection_rate,mixture_rate,abstention_rate,wrong_mode_action_rate,mean_nees,p95_nees,coverage95_rate,mean_residual_mass,cross_diagnostic_rate,strong_floor_rate,ramp_diagnostic_rate,influence_cap_rate,trust_alert_rate,mean_raw_trust,minimum_raw_trust,mean_raw_only_precision_fraction,mean_trust_residual_mass,strategic_alert_rate,nonstrategic_alert_rate,quarantine_rate,mean_sensor_speed,shadow_max_decision_loss_difference,shadow_action_difference_rate,runtime_seconds,trace_fingerprint
stable_control,21000,m9c_baseline,0.271019403713205,0.3099182990057747,0.3099182990057747,1.0,0.0,0.0,0.0,1.6861288052863994,5.28156199151565,0.95625,0.011534478395632904,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0375,0.9916732509849036,0.0,0.0,26.342859416967258,5ac62a1535093051a06e8b116b476b8486728686898b3e7b2986d38fd9080eb9
stable_control,21001,m9c_baseline,0.30187265501516247,0.32715979249804056,0.32715979249804056,0.98125,0.0,0.01875,0.0,1.916278783877867,5.273827448401349,0.9625,0.01781609706090876,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6784526748963857,0.0,0.0,26.538783916970715,4cf7559dc3e5889e28a11e7f19865e6725b01498416cf79cd9cf91fd6155dd17
stable_control,21002,m9c_baseline,0.2932178443283511,0.3191999758169515,0.3191999758169515,1.0,0.0,0.0,0.0,1.837285215733337,4.407237216704594,0.9875,0.011707060460638113,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.209194827346192,0.0,0.0,26.517879125196487,8095f829c7d30afd095fe4d72b04ea187aae5ba852aec4ee0f6eeaf7584f384d
stable_control,21003,m9c_baseline,0.2664921073358547,0.2995482859103223,0.2995482859103223,1.0,0.0,0.0,0.0,1.6556377829375404,4.670918945323837,0.96875,0.014066936235903719,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7220136875505391,0.0,0.0,26.342463542008772,14806e558feebe4f2c19a3abe33f7257109fb403f9e15f72834dcc56bd88f70c
stable_control,21004,m9c_baseline,0.2730431092536022,0.30769827031250035,0.30769827031250035,0.99375,0.0,0.00625,0.0,1.62174250569701,5.13775633974144,0.975,0.014776195669082675,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00625,1.260393294038672,0.0,0.0,26.652294124942273,9c474d5a1c1e9000db6b947100dec67874a3b5e2489e3c9010fb8be49eb2815a
stable_control,21005,m9c_baseline,0.2631130107548841,0.2976347382041272,0.2976347382041272,1.0,0.0,0.0,0.0,1.6212528148467225,4.3046771452341,0.98125,0.012259280983606343,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7341883587218208,0.0,0.0,26.364596999948844,7cfca4a1a7128cee8c12e34cebc78427d7b5f10f3864208e15d1b462d3178013
stable_control,21006,m9c_baseline,0.2787564983010987,0.29870168302684735,0.29870168302684735,0.98125,0.0,0.01875,0.0,1.616314505288417,4.8503536524960555,0.975,0.018509770903900477,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3728758152628697,0.0,0.0,25.748829832999036,6cfeea38b4bb8bffb2332941f34b331d951fd00407b3851b11f8882564427535
stable_control,21007,m9c_baseline,0.30028884497048275,0.33767939418835397,0.33767939418835397,1.0,0.0,0.0,0.0,2.0515657765465476,5.8316715321840125,0.95,0.011687203501905285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0489788084339673,0.0,0.0,26.544421250000596,05078e2847618c949ddebc70ae0033c69cd05312f9460fdff75839d7c48220a8
stable_control,21008,m9c_baseline,0.24696490165565138,0.27531893537354024,0.27531893537354024,1.0,0.0,0.0,0.0,1.3889496970720565,3.656907973669068,0.9875,0.010503067946921314,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5930156051964522,0.0,0.0,26.071279583033174,b45d7068807b8bb3055a30d0bc0fa84ccccd22f12ec530bc2997fec4655d28e1
stable_control,21009,m9c_baseline,0.2966097927001203,0.3319778467687362,0.3319778467687362,1.0,0.0,0.0,0.0,1.9958073883237872,5.387272843074893,0.96875,0.011459304561600905,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8128642306664757,0.0,0.0,26.493203915888444,2dfde140517931437970bf8da15e0ef40974e58a7c48364cf085648edd6e0b50
stable_control,21010,m9c_baseline,0.2432366624492212,0.2785969098441528,0.2785969098441528,1.0,0.0,0.0,0.0,1.433531175449303,5.3416523209590565,0.9625,0.015504790142537039,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8402056860364404,0.0,0.0,26.42026949999854,3dfc344dd3667ca4c4c7aeb02db5bcf4861d4c3026691b33dc779da51b96fbdc
stable_control,21011,m9c_baseline,0.2781752769834636,0.30564350307317967,0.30564350307317967,1.0,0.0,0.0,0.0,1.7024547446186862,4.423734055313707,0.98125,0.011244681452041948,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9607231031894699,0.0,0.0,26.360951957991347,b75ad965e54e17d53868be5431f536165fdda7fa7263530d0f34a748c4107193
