scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,planner_messages_per_step_mean,planner_messages_per_step_std,planner_messages_per_step_max,planner_bytes_per_step_mean,planner_bytes_per_step_std,planner_bytes_per_step_max,message_bound_violations_mean,message_bound_violations_std,message_bound_violations_max,mean_planner_state_age_mean,mean_planner_state_age_std,mean_planner_state_age_max,planner_active_rate_mean,planner_active_rate_std,planner_active_rate_max,planner_conflict_rate_mean,planner_conflict_rate_std,planner_conflict_rate_max,ownership_violations_mean,ownership_violations_std,ownership_violations_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,centralized_trust,150,1.0341664267423987,0.13130335123365255,1.3750237188239585,0.2723628842827906,0.013299410540101201,0.3086283439756475,0.9522544280745099,0.16155258143264303,1.3846356955626509,0.308162879185343,0.014815026359121963,0.3525794941094918,0.0,0.0,0.0,1.722587867049576,0.15815148726810577,2.135150439801436,5.09323361734345,0.5974844704939233,7.000322011866275,0.9673333333333332,0.014863032066917642,1.0,1.0,0.0,1.0,1.0094166666666669,0.012242060919451243,1.0375,0.0035416666666666665,0.008335937093226066,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014166666666666668,0.003962497809322914,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3164818319352343,0.029496207143558544,1.376205958193168
stable_control,decentralized_no_negotiation,150,1.036241331425389,0.13183757049574274,1.3832055567860089,0.2721078247158785,0.013119289443857336,0.3090903811136424,0.9551668833868878,0.16251221574041158,1.3924002917707763,0.30809697156051424,0.01468425409102556,0.3480545903545651,0.0,0.0,0.0,1.7249047218645002,0.15688192574240054,2.1334013585559233,5.103513233648442,0.6028706728925588,6.650492765522224,0.9676666666666666,0.014429185316187773,1.0,1.0,0.0,1.0,1.0080833333333332,0.010521472752846378,1.0375,0.0035833333333333333,0.008760311384623012,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.904708333333333,0.09566362691163703,7.13125,220.95066666666665,3.061236061172385,228.2,0.0,0.0,0.0,0.9971197916666669,0.0011766799640714665,1.00078125,0.024999999999999994,6.938893903907228e-18,0.025,0.013583333333333331,0.0033697661749851537,0.022916666666666665,0.0,0.0,0.0,0.024999999999999994,6.938893903907228e-18,0.025,1.304507413309378,0.029063650762672644,1.3816567091271281
stable_control,decentralized_negotiated,150,1.0338249292970492,0.13188662922906524,1.379862538362342,0.272244264811788,0.013002466150901509,0.3100214112500706,0.9519758306065765,0.16241878775494595,1.3860301430510131,0.30802312708739293,0.014281074853832013,0.34471114100441635,0.0,0.0,0.0,1.72347066308811,0.15602297052403938,2.1512407483786142,5.119042940097982,0.598461167009893,7.048410904393956,0.9678333333333334,0.01461995402029553,1.0,1.0,0.0,1.0,1.0081666666666669,0.01122559080355633,1.04375,0.0038749999999999995,0.008620167728453238,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9128750000000005,0.09823502324357983,7.1375,221.21200000000002,3.1435207437945545,228.4,0.0,0.0,0.0,0.9971822916666667,0.0010858969067153214,1.0,0.01933333333333333,0.0018181186857726195,0.025,0.00040277777777777783,0.001678718003657097,0.009375,0.0,0.0,0.0,0.01933333333333333,0.0018181186857726195,0.025,1.305629919442969,0.025928664367195306,1.3540425419341773
failure_partition,centralized_trust,150,1.106962059444362,0.11509329010492106,1.3973290138543208,0.36276847276709,0.03755134658832841,0.5077878222916411,0.9302419833465899,0.13797143229000816,1.2781757014689412,0.4019597840700993,0.037066660430238985,0.5267776010295729,0.0,0.0,0.0,1.708560730334134,0.17637689848861865,2.2101092303489382,5.055589289670625,0.6756488830368945,6.965294745475118,0.9682083333333332,0.015154356267716848,1.0,1.0,0.0,1.0,1.6578333333333333,0.08482883092177773,1.91875,0.4199166666666667,0.26433720835747326,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014166666666666668,0.003962497809322914,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8576609391284485,0.10046210527176565,1.038282125024125
failure_partition,decentralized_no_negotiation,150,1.109074658800135,0.11575059763309775,1.3771458404718706,0.36246112271197445,0.03641243312889653,0.5087414110799856,0.933266920110201,0.138251690717121,1.2726294668630989,0.4026955402106042,0.03632606810514364,0.5266158248473524,0.0,0.0,0.0,1.7066393210440598,0.17374275827597854,2.09475752460908,5.058519026800536,0.6806546084861694,7.046037386206673,0.9685833333333335,0.015274343048247789,1.0,1.0,0.0,1.0,1.6664166666666664,0.08646575269370461,1.88125,0.41954166666666665,0.26504156186132183,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.325458333333333,0.7819483867327107,4.65625,106.41466666666666,25.022348375446743,149.0,0.0,0.0,0.0,0.9926909722222221,0.005296106468974151,1.0033854166666667,0.024999999999999994,6.938893903907228e-18,0.025,0.013583333333333331,0.0033697661749851537,0.022916666666666665,0.0,0.0,0.0,0.024999999999999994,6.938893903907228e-18,0.025,0.8429128769288461,0.09965904221506065,1.0279014999978244
failure_partition,decentralized_negotiated,150,1.1081021369284394,0.11500220581437305,1.3996880282621138,0.3635052236482901,0.037119122281751696,0.5158200344584811,0.9307461416001865,0.13796298212238556,1.2802856799810503,0.40266966567989954,0.03664048656952599,0.5263732306240011,0.0,0.0,0.0,1.7097325356245752,0.17279018174363006,2.1711987082098423,5.087413603418194,0.7068312942393727,7.10747082141048,0.9679166666666666,0.015506495054940327,1.0,1.0,0.0,1.0,1.6592083333333334,0.08650835902128509,1.91875,0.41991666666666666,0.2645991333865039,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34425,0.7772700356589937,4.60625,107.016,24.872641141087797,147.4,0.0,0.0,0.0,0.9927256944444446,0.005039150351540631,1.0015625,0.01933333333333333,0.0018181186857726195,0.025,0.00040277777777777783,0.001678718003657097,0.009375,0.0,0.0,0.0,0.01933333333333333,0.0018181186857726195,0.025,0.8426284171889226,0.10053736481611597,1.024297707946971
flapping_reconnect,centralized_trust,150,1.0852264325127283,0.13347069024701663,1.4555887317738399,0.30885044091294367,0.023982573655593375,0.39241360415197973,0.9704699894997306,0.1605910920867372,1.393646070934874,0.34954764280667505,0.023884179041652517,0.4168015485337789,0.0,0.0,0.0,1.7084914418734236,0.1584215757400746,2.106469942720387,5.085540957780161,0.6277897849330719,6.873216221614661,0.97,0.014325094531392565,1.0,1.0,0.0,1.0,1.4915833333333335,0.07541201643121752,1.59375,0.0035416666666666665,0.009169033785277246,0.06875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014166666666666668,0.003962497809322914,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891866561196123,0.019936382822365258,1.2772380840033293
flapping_reconnect,decentralized_no_negotiation,150,1.0853078415875719,0.13213734105167793,1.4394604329588008,0.30755571705873985,0.02289001628859074,0.38479062310690787,0.9721901556610402,0.15935556524520703,1.3988504190057174,0.3483708933418052,0.023107409525402463,0.41563003947195304,0.0,0.0,0.0,1.7059864851591668,0.1580243924640725,2.0980904513310277,5.06597612330136,0.6192259117296002,6.707235102806096,0.9697916666666667,0.014691562676886647,1.0,1.0,0.0,1.0,1.4933333333333334,0.07181670341145498,1.58125,0.004291666666666667,0.010055488412912731,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9041250000000005,0.16736441963073673,6.375,188.93200000000002,5.355661428183575,204.0,0.0,0.0,0.0,0.9884652777777777,0.003981741216764845,0.996875,0.024999999999999994,6.938893903907228e-18,0.025,0.013583333333333331,0.0033697661749851537,0.022916666666666665,0.0,0.0,0.0,0.024999999999999994,6.938893903907228e-18,0.025,1.1746364538216343,0.020801988856737563,1.2463944999035448
flapping_reconnect,decentralized_negotiated,150,1.085654052680034,0.13405342282587074,1.4409127395261594,0.3086857282775085,0.024264438025305177,0.40054159417505897,0.9712104055031568,0.16020116258122646,1.4054295309735836,0.349713416430303,0.024611539691655488,0.43025245977898186,0.0,0.0,0.0,1.7074313074160181,0.16278801220710284,2.1290177432554933,5.060086941498345,0.6437175724842193,6.786161039951381,0.9699166666666668,0.015196399427349738,1.0,1.0,0.0,1.0,1.4909999999999999,0.07841688806203248,1.59375,0.0038750000000000004,0.009004339231726001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925458333333332,0.1734801511620918,6.45625,189.61466666666664,5.551364837186938,206.6,0.0,0.0,0.0,0.9886180555555554,0.003975491261183569,0.9984375,0.01933333333333333,0.0018181186857726195,0.025,0.00040277777777777783,0.001678718003657097,0.009375,0.0,0.0,0.0,0.01933333333333333,0.0018181186857726195,0.025,1.1743658932919303,0.021087400795637912,1.2588416249491274
admission_censoring_control,centralized_trust,150,1.115305006193371,0.13225934424792668,1.4690471019065114,0.3369570481100038,0.025935755159964692,0.42039272416959844,0.972934947604209,0.15893622008768546,1.3915047253393946,0.3759510042905426,0.026398400348715812,0.46627547652039825,0.0,0.0,0.0,1.7137887377878842,0.17119046944354546,2.200748412697993,5.0860089280367085,0.6150844889183372,7.999167212998486,0.9692083333333331,0.014272217086197766,1.0,1.0,0.0,1.0,1.5928749999999998,0.07834894569594839,1.7875,0.07100000000000001,0.07509813024747465,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014166666666666668,0.003962497809322914,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7508349750222018,0.023157374456971625,0.8350139169488102
