scenario,seed,arm,integrated_loss,movement_per_step,post_stop_decision_loss,action_trace,planner_messages_per_step,planner_bytes_per_step,message_bound_violations,mean_planner_state_age,planner_active_rate,planner_conflict_rate,ownership_violations,action_difference_rate,runtime_seconds,trace_fingerprint,strategic_alert_rate,nonstrategic_alert_rate,mean_raw_trust,minimum_raw_trust,trust_recovery_cycles,post_stop_false_alert_rate,decision_loss,position_rmse,wrong_mode_action_rate,mean_nees,p95_nees,coverage95_rate,mean_delivery_ratio,mean_topology_components,quarantine_rate
stable_control,23990,centralized_trust,0.9944163196732283,0.8986393305512456,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2118529579602182,a56bfe1a9a1fe546ed572134cd6c53b922e8d2f14163fa3a3735283cdb2e81e3,0.0,0.0,0.9949940222311838,0.6389410216320055,0.0,0.0,0.2755048552322318,0.3135981881837566,0.0,1.803222395282226,6.1609611965216065,0.94375,1.0,1.0,0.0
stable_control,23991,centralized_trust,0.9040895317802107,0.749883225355853,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|probe_0|probe_0|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,1.2016939998138696,6f9e692be6f036b66f1cd9811b7ccdd022082403a1ff7e957abfe9574f01bc96,0.0,0.0,0.9964964344396604,0.8194145177459511,0.0,0.0,0.30418295149552826,0.34376624717432985,0.0,2.1370816305302,6.555273499770583,0.925,1.0,1.01875,0.00625
stable_control,23990,decentralized_no_negotiation,1.0048855128647234,0.9088929596843205,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,6.94375,222.2,0.0,0.99765625,0.025,0.01875,0.0,0.025,1.201194749912247,a56bfe1a9a1fe546ed572134cd6c53b922e8d2f14163fa3a3735283cdb2e81e3,0.0,0.0,0.994910216927963,0.6336035277298018,0.0,0.0,0.2777711451172669,0.3163089930665102,0.0,1.8148495092912256,6.048860440588727,0.94375,1.0,1.0125,0.0
stable_control,23991,decentralized_no_negotiation,0.8937726166130695,0.7418855312253221,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,6.8125,218.0,0.0,0.99765625,0.025,0.017708333333333333,0.0,0.025,1.1915251249447465,6f9e692be6f036b66f1cd9811b7ccdd022082403a1ff7e957abfe9574f01bc96,0.0,0.0,0.9963897181848388,0.8164132470372107,0.0,0.0,0.3002641916328118,0.3394758256663606,0.0,2.1244949042160552,6.4716434246013,0.925,1.0,1.0,0.00625
stable_control,23990,decentralized_negotiated,1.0063873703028514,0.9048421212750549,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,6.90625,221.0,0.0,0.9953125,0.01875,0.0,0.0,0.01875,1.209383541950956,a56bfe1a9a1fe546ed572134cd6c53b922e8d2f14163fa3a3735283cdb2e81e3,0.0,0.0,0.9945675291498024,0.6470647127305875,0.0,0.0,0.28251367328280746,0.3226277027495131,0.0,1.8329090799246277,6.121400775797126,0.94375,1.0,1.025,0.0
stable_control,23991,decentralized_negotiated,0.8990622905291572,0.7416142879379123,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,6.8375,218.8,0.0,0.99609375,0.01875,0.0,0.0,0.01875,1.1838062920141965,6f9e692be6f036b66f1cd9811b7ccdd022082403a1ff7e957abfe9574f01bc96,0.0,0.0,0.9966407182367074,0.8134685490172238,0.0,0.0,0.3057708601788273,0.34555209106703544,0.0,2.1230275048178675,6.524600118560098,0.925,1.0,1.03125,0.00625
failure_partition,23990,centralized_trust,1.04776922705843,0.9130424002157141,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246764169540256,e4b56027cad8d3eb03600520fb2be13ee6e98c1996d34d52d3cb05e4807c20cb,0.0,0.0,0.9948997583483543,0.5499999957103574,0.0,0.0,0.31733530688585865,0.3516259530883126,0.0,1.552478489507993,4.910161623401035,0.9625,1.0,1.6375,0.69375
failure_partition,23991,centralized_trust,1.0309121241456873,0.73270190554667,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|probe_0|probe_0|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.9112181670498103,4dbbf441c2dc06c3f6597a8617602f55455a01a40f144de24bd0f3402bcb3536,0.0,0.0,0.9986755231306755,0.9216397691758069,0.0,0.0,0.44475059970835124,0.4289012087206713,0.0,1.9718088150769297,6.232820042260623,0.9375,1.0,1.74375,0.00625
failure_partition,23990,decentralized_no_negotiation,1.0521998373199368,0.9156184467869766,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,2.7125,86.8,0.0,0.9950520833333334,0.025,0.01875,0.0,0.025,0.7496321250218898,e4b56027cad8d3eb03600520fb2be13ee6e98c1996d34d52d3cb05e4807c20cb,0.0,0.0,0.9945836456898117,0.5755537280563761,0.0,0.0,0.3197050798903556,0.35923564860081686,0.0,1.6142679626163727,5.306065139762564,0.95,1.0,1.64375,0.69375
failure_partition,23991,decentralized_no_negotiation,1.0098336062568178,0.7375631472496715,0.0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|decentralized_probe|decentralized_probe|decentralized_probe|decentralized_probe|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,4.18125,133.8,0.0,0.9864583333333332,0.025,0.017708333333333333,0.0,0.025,0.9235141668468714,4dbbf441c2dc06c3f6597a8617602f55455a01a40f144de24bd0f3402bcb3536,0.0,0.0,0.9987963275977801,0.9199260674386008,0.0,0.0,0.41978308845708057,0.4266546714132845,0.0,1.9419826742884883,5.757244052017313,0.95,1.0,1.76875,0.00625
