scenario,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
stable_control,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.0192594188705955,1.0182752671078916,0.000984151762703861,-0.000612836257654014,0.002658852801187169
stable_control,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.9310436449705268,0.929577299696318,0.0014663452742087247,-0.00048788511289120563,0.003496254451774511
stable_control,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.0003125,-0.0003125,-0.0007031250000000001,0.0
stable_control,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
stable_control,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.020448606744646,1.0182752671078916,0.002173339636754365,0.00012785912080823798,0.00410021970113446
stable_control,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.9331311389556035,0.929577299696318,0.0035538392592856212,0.0014520615998112043,0.005575827774224628
stable_control,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.012916666666666665,0.0003125,0.012604166666666666,0.01145833333333333,0.013802083333333331
stable_control,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
failure_partition,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.1016372181843372,1.1009802975286713,0.0006569206556657076,-0.003457462768333175,0.005066152149729836
failure_partition,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.9076015123493267,0.9085721018219916,-0.000970589472664904,-0.0030733051386063093,0.0010019313579505919
failure_partition,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.0003125,-0.0003125,-0.0007031250000000001,0.0
failure_partition,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
failure_partition,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.1044661473666937,1.1009802975286713,0.003485849838022001,0.00047773213569776864,0.006887835531733865
failure_partition,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.9125227228386775,0.9085721018219916,0.003950621016686004,0.0020672010100748163,0.005990732602473018
failure_partition,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.012916666666666665,0.0003125,0.012604166666666666,0.011432291666666667,0.013749999999999998
failure_partition,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
flapping_reconnect,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.0675104536806928,1.0676927110334595,-0.00018225735276682087,-0.0030402804006185364,0.00251723469929372
flapping_reconnect,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.9444334297206586,0.9454942805550626,-0.001060850834404109,-0.003604167477834801,0.0013295208691648794
flapping_reconnect,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.0003125,-0.0003125,-0.0007031250000000001,0.0
flapping_reconnect,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
flapping_reconnect,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.0707540509959979,1.0676927110334595,0.003061339962538298,0.00023791703654069962,0.006229679514230523
flapping_reconnect,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.947891408311867,0.9454942805550626,0.002397127756804529,-0.0001379476272260263,0.004879048294060295
flapping_reconnect,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.012916666666666665,0.0003125,0.012604166666666666,0.011458333333333333,0.013723958333333331
flapping_reconnect,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
admission_censoring_control,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.107693482377022,1.1088841907802522,-0.001190708403230098,-0.005263226109229877,0.0027440234326593046
admission_censoring_control,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.9560109357259605,0.9546284888761285,0.0013824468498318837,-0.00046785127612155415,0.0033755866866151773
