scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,planner_messages_per_step_mean,planner_messages_per_step_std,planner_messages_per_step_max,planner_bytes_per_step_mean,planner_bytes_per_step_std,planner_bytes_per_step_max,message_bound_violations_mean,message_bound_violations_std,message_bound_violations_max,mean_planner_state_age_mean,mean_planner_state_age_std,mean_planner_state_age_max,planner_active_rate_mean,planner_active_rate_std,planner_active_rate_max,planner_conflict_rate_mean,planner_conflict_rate_std,planner_conflict_rate_max,ownership_violations_mean,ownership_violations_std,ownership_violations_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,centralized_trust,40,1.0192594188705955,0.12964994680085853,1.3833268287221547,0.27442450289417397,0.013668284088893852,0.3069813928162174,0.9310436449705268,0.1589660187861351,1.3614832236190408,0.310738109093204,0.0126502930695189,0.33518233552961446,0.0,0.0,0.0,1.747932897670546,0.1435538589641534,2.0447335118825407,5.225114355817016,0.479808130070528,6.530760646959206,0.9675,0.012670709332945802,0.99375,1.0,0.0,1.0,1.00921875,0.012420646558754491,1.04375,0.0053125,0.01041614582031185,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015625,0.004133986423538423,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4026506832742598,0.07663265718130187,1.57432037522085
stable_control,decentralized_no_negotiation,40,1.020448606744646,0.12934096048630359,1.3863009568094253,0.2739436955801629,0.013899681799241288,0.30719211647566685,0.9331311389556035,0.15870496712248583,1.3665442722366379,0.31032655237107465,0.01327681876195539,0.33610188482105563,0.0,0.0,0.0,1.7406784752617228,0.1419257779408825,2.035408345087995,5.168350847637418,0.5060672031620838,6.687049045240752,0.9690625,0.011349387373334295,0.99375,1.0,0.0,1.0,1.01265625,0.01198041207294222,1.0375,0.00578125,0.01103859528823754,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.869062500000001,0.11258633839747162,7.0125,219.81000000000003,3.602762828719092,224.4,0.0,0.0,0.0,0.9970117187499999,0.0017546629770659428,1.0,0.025,0.0,0.025,0.012916666666666665,0.0038611985401772165,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,1.36247756574885,0.033280185506130426,1.417247791774571
stable_control,decentralized_negotiated,40,1.0182752671078916,0.12913141807181902,1.3826029824359751,0.27461342735083705,0.013611100597205638,0.30710688182844564,0.929577299696318,0.15905847903518,1.36111366281371,0.3107462271541209,0.012730365067937802,0.3356256960958567,0.0,0.0,0.0,1.7482377785506646,0.1420592409718791,2.0353147194339165,5.2146633908735875,0.4887809422201804,6.45306163667105,0.9675,0.011874999999999988,0.99375,1.0,0.0,1.0,1.01015625,0.014367355304213094,1.0625,0.0053125,0.01041614582031185,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.902812499999999,0.1261660457244737,7.1125,220.88999999999996,4.037313463183159,227.6,0.0,0.0,0.0,0.9971484375000002,0.0012296934561482219,1.0,0.019374999999999996,0.0018750000000000008,0.025,0.0003125,0.0011692679333668568,0.00625,0.0,0.0,0.0,0.019374999999999996,0.0018750000000000008,0.025,1.3786639427300542,0.0451036918113784,1.4637743341736495
failure_partition,centralized_trust,40,1.1016372181843372,0.1186994672518568,1.3560220195031107,0.375556008304876,0.04576802873029685,0.5001881238851095,0.9076015123493267,0.13819923071931184,1.2378499276112696,0.41278581407554116,0.04523729534190665,0.5770347452513431,0.0,0.0,0.0,1.739367780372349,0.1506109136594539,2.0375245870755743,5.143567108167587,0.5806813004303789,6.583343176707327,0.9673437500000001,0.013367367857491617,0.99375,1.0,0.0,1.0,1.670625,0.09125,1.8625,0.37546875,0.2644325716717543,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015625,0.004133986423538423,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597243029566016,0.11904964864120549,1.1647552910726517
failure_partition,decentralized_no_negotiation,40,1.1044661473666937,0.1199688601152611,1.365450652736775,0.3744479690957515,0.04705725995658253,0.5045071323613198,0.9125227228386775,0.13752094725135394,1.2444446832888194,0.4114038661790652,0.046538475375397854,0.5814054038502975,0.0,0.0,0.0,1.7332652163802305,0.15898985000704083,2.0450146952076396,5.076064464692418,0.6036974932445842,6.435648175471576,0.968125,0.013678792892649557,0.99375,1.0,0.0,1.0,1.6737499999999996,0.08650325138397978,1.86875,0.37390625,0.265330305277097,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41125,0.7735876748145616,4.75625,109.16,24.75480559406597,152.2,0.0,0.0,0.0,0.9922656249999999,0.006216599118544983,1.0067708333333332,0.025,0.0,0.025,0.012916666666666665,0.0038611985401772165,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,0.9268184364307672,0.10591315683404719,1.0978080418426543
failure_partition,decentralized_negotiated,40,1.1009802975286713,0.11702032587218572,1.3626165269667723,0.37412261607107833,0.04656433175147654,0.5007264567801999,0.9085721018219916,0.13727283478060284,1.2396738641026304,0.41120395502545365,0.04547958305289396,0.5779660521588195,0.0,0.0,0.0,1.7308374821714843,0.15863013182272512,2.0524376444735166,5.102609030494848,0.6185044594073317,6.42221604277008,0.9674999999999999,0.012975337182516682,0.99375,1.0,0.0,1.0,1.6689062500000003,0.08801730453971822,1.8625,0.37515625,0.2645880033626572,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4392187499999998,0.7759885171256966,4.80625,110.05499999999999,24.83163254802229,153.8,0.0,0.0,0.0,0.9942317708333333,0.0052609806576786235,1.0059895833333332,0.019374999999999996,0.0018750000000000008,0.025,0.0003125,0.0011692679333668568,0.00625,0.0,0.0,0.0,0.019374999999999996,0.0018750000000000008,0.025,0.9347364061919506,0.10900449488425668,1.118839415954426
flapping_reconnect,centralized_trust,40,1.0675104536806928,0.13466450782781092,1.470175269354786,0.3119637099041658,0.02571555854428562,0.37044752826300403,0.9444334297206586,0.16064869699191933,1.3927569459711138,0.34980228272783237,0.02683364379640369,0.4249588201495389,0.0,0.0,0.0,1.740197124507614,0.17498657746439322,2.11152150571107,5.098108262352315,0.6656046013724413,6.4199734414963645,0.9684375,0.017056317561243987,1.0,1.0,0.0,1.0,1.5150000000000001,0.04154722463655064,1.575,0.0071874999999999994,0.01122827763951355,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015625,0.004133986423538423,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305485977063654,0.017412882255309813,1.3426437079906464
flapping_reconnect,decentralized_no_negotiation,40,1.0707540509959979,0.13437236565132155,1.4694975380828006,0.312440924346504,0.02540231643623984,0.36938204670738894,0.947891408311867,0.16042739300661968,1.3903428175030246,0.3501648227821565,0.0262685873673542,0.42351480149327525,0.0,0.0,0.0,1.7417554521816878,0.16927290309500936,2.150909615828734,5.085096944585111,0.6684831454381183,6.626295851319237,0.9682812500000001,0.016558814448428966,0.99375,1.0,0.0,1.0,1.51625,0.03821710186552611,1.5875,0.00609375,0.010958684840686858,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91046875,0.16984820601330322,6.1875,189.135,5.435142592425703,198.0,0.0,0.0,0.0,0.9890299479166667,0.004103602956409143,0.996875,0.025,0.0,0.025,0.012916666666666665,0.0038611985401772165,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,1.288388302124804,0.019520701043629032,1.3412875840440392
flapping_reconnect,decentralized_negotiated,40,1.0676927110334595,0.13382971813995595,1.4682933231193374,0.31129728658940936,0.024565670149634483,0.37850767088034243,0.9454942805550626,0.15990009370747707,1.3970979155529055,0.3500429300589363,0.0248327189330153,0.42511295751502975,0.0,0.0,0.0,1.7474564541750275,0.17160196655449403,2.1122304160656986,5.15295638738142,0.6510723944891834,6.6403241335625545,0.9676562499999999,0.01778163444224124,1.0,1.0,0.0,1.0,1.50921875,0.04720689791690935,1.6,0.00578125,0.0103065797400253,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9396875,0.14868269222996336,6.2125,190.07,4.7578461513588275,198.8,0.0,0.0,0.0,0.9887369791666668,0.004159641701681961,0.9955729166666666,0.019374999999999996,0.0018750000000000008,0.025,0.0003125,0.0011692679333668568,0.00625,0.0,0.0,0.0,0.019374999999999996,0.0018750000000000008,0.025,1.294316488574259,0.022555940119898248,1.355981291970238
admission_censoring_control,centralized_trust,40,1.107693482377022,0.1267177239813998,1.4365154863414544,0.3428847337962536,0.03386109399392746,0.43136746187986985,0.9560109357259605,0.14925231602160877,1.3708927553960466,0.37609503063510275,0.026457895533871706,0.4493907840110307,0.0,0.0,0.0,1.7363430910764321,0.1505481565680683,2.051613034228475,5.057022348054365,0.526743787260929,6.534918281962458,0.9682812500000001,0.01507711298417239,1.0,1.0,0.0,1.0,1.61328125,0.0730901025169448,1.775,0.055156250000000004,0.06174366585681077,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015625,0.004133986423538423,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840057836426422,0.02816437325432938,0.8981987081933767
