robot,arm,window,start_time,end_time,position_rmse,mean_nees,p95_nees,coverage95_rate,update_rate,maximum_landmarks_used,outage_fraction,outage_rmse,mean_topology_components,mean_topology_edges,minimum_topology_components,maximum_topology_components,mean_clock_alignment_error,runtime_seconds,finite
1,odometry_only,0,1248444191.043,1248444250.543,0.09211827039012319,0.001453011870672347,0.002718187955150762,1.0,0.0,0.0,0.09166666666666666,0.14110766775774414,2.025,3.9583333333333335,1,5,0.0,0.013606034743133932,True
1,odometry_only,1,1248444251.043,1248444310.543,0.19993651495769998,0.0029806959906254512,0.004159189641094022,1.0,0.0,0.0,0.6583333333333333,0.18555361054987987,3.175,2.625,1,5,0.0,0.013606034743133932,True
1,odometry_only,2,1248444311.043,1248444370.543,0.4716290761645664,0.005137966264430211,0.010329098412890363,1.0,0.0,0.0,0.7916666666666666,0.4792756502260997,2.4583333333333335,2.816666666666667,1,4,0.0,0.013606034743133932,True
1,odometry_only,3,1248444371.043,1248444430.543,1.5027866356769974,0.04034371177451076,0.09277197528744835,1.0,0.0,0.0,0.008333333333333333,1.4626869437859609,1.8833333333333333,4.425,1,4,0.0,0.013606034743133932,True
1,odometry_only,4,1248444431.043,1248444490.543,3.6583908646276786,0.15860577907840248,0.17435274877682735,1.0,0.0,0.0,0.19166666666666668,3.8998192597468084,2.85,2.4916666666666667,2,5,0.0,0.013606034743133932,True
1,odometry_only,5,1248444491.043,1248444550.543,4.316158515450658,0.20424942295840293,0.2780815447338275,1.0,0.0,0.0,0.11666666666666667,4.210781178622142,2.7333333333333334,2.566666666666667,2,5,0.0,0.013606034743133932,True
1,odometry_only,6,1248444551.043,1248444610.543,4.986145118826221,0.299476403765974,0.32594189244885863,1.0,0.0,0.0,0.4,5.197478929948946,2.033333333333333,3.6666666666666665,1,5,0.0,0.013606034743133932,True
1,odometry_only,7,1248444611.043,1248444670.543,3.564441676901201,0.12759820648191927,0.2202918925929134,1.0,0.0,0.0,0.13333333333333333,3.5734651922694045,3.2333333333333334,1.9916666666666667,1,5,0.0,0.013606034743133932,True
1,odometry_only,8,1248444671.043,1248444730.543,3.4300330200863764,0.09285064409061226,0.153554334436706,1.0,0.0,0.0,0.675,3.3536015135924924,2.6666666666666665,2.6666666666666665,1,5,0.0,0.013606034743133932,True
1,odometry_only,9,1248444731.043,1248444790.543,4.405868717293643,0.20143225395680397,0.2538681843020889,1.0,0.0,0.0,0.5,4.644702578943125,2.808333333333333,3.033333333333333,1,5,0.0,0.013606034743133932,True
1,odometry_only,10,1248444791.043,1248444850.543,2.0506106246843396,0.032838399173520647,0.09144104271640563,1.0,0.0,0.0,0.10833333333333334,2.2667386827805496,1.5666666666666667,4.766666666666667,1,4,0.0,0.013606034743133932,True
1,odometry_only,11,1248444851.043,1248444910.543,4.7232977265107605,0.17777167149910478,0.29430978727042484,1.0,0.0,0.0,0.05,2.5560362320041414,2.0833333333333335,4.358333333333333,1,4,0.0,0.013606034743133932,True
2,odometry_only,0,1248444191.043,1248444250.543,0.4407890335088729,0.04048870891080614,0.0722022594858118,1.0,0.0,0.0,0.7083333333333334,0.4473190542491758,2.025,3.9583333333333335,1,5,0.0,0.015607673577809086,True
2,odometry_only,1,1248444251.043,1248444310.543,0.787569066250646,0.06045758548832992,0.08508314795672095,1.0,0.0,0.0,0.31666666666666665,0.6945926049103929,3.175,2.625,1,5,0.0,0.015607673577809086,True
2,odometry_only,2,1248444311.043,1248444370.543,0.7208041933822809,0.02780314859717588,0.034696274230601905,1.0,0.0,0.0,0.45,0.6755099504113333,2.4583333333333335,2.816666666666667,1,4,0.0,0.015607673577809086,True
2,odometry_only,3,1248444371.043,1248444430.543,0.54762813029395,0.01115015110331035,0.02403024099343298,1.0,0.0,0.0,0.0,0.0,1.8833333333333333,4.425,1,4,0.0,0.015607673577809086,True
2,odometry_only,4,1248444431.043,1248444490.543,0.7403606691898035,0.005780043231025204,0.008392513305363258,1.0,0.0,0.0,0.325,0.8234433598072797,2.85,2.4916666666666667,2,5,0.0,0.015607673577809086,True
2,odometry_only,5,1248444491.043,1248444550.543,0.7439535304207647,0.01140874645477769,0.028459930694840777,1.0,0.0,0.0,0.4166666666666667,0.7140366629378105,2.7333333333333334,2.566666666666667,2,5,0.0,0.015607673577809086,True
2,odometry_only,6,1248444551.043,1248444610.543,1.3626447780090498,0.034472171048499485,0.13803876528511003,1.0,0.0,0.0,0.125,0.18744698759161266,2.033333333333333,3.6666666666666665,1,5,0.0,0.015607673577809086,True
2,odometry_only,7,1248444611.043,1248444670.543,4.228662265077176,0.2717460761663926,0.4252415283587312,1.0,0.0,0.0,0.14166666666666666,4.86606647796409,3.2333333333333334,1.9916666666666667,1,5,0.0,0.015607673577809086,True
2,odometry_only,8,1248444671.043,1248444730.543,3.318680292131163,0.1588233023112969,0.32079770552317577,1.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,1,5,0.0,0.015607673577809086,True
2,odometry_only,9,1248444731.043,1248444790.543,2.239983138191686,0.0541509629475692,0.08378398731426778,1.0,0.0,0.0,0.48333333333333334,2.5470885026884846,2.808333333333333,3.033333333333333,1,5,0.0,0.015607673577809086,True
