scenario,comparison_arm,reference_arm,metric,mean,ci95_lower,ci95_upper,paired_units
stable,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,3.980424940541738e-08,0.0,1.1941274821625214e-07,150
stable,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.11924634959526519,-0.11986714580192018,-0.1186238508467996,150
stable,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.007567532679984041,0.006913250280341876,0.008200130778589183,150
target_manoeuvre,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,0.0,0.0,0.0,150
target_manoeuvre,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.09959441271730206,-0.10035479187838887,-0.09877586850550378,150
target_manoeuvre,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.0071473021462232405,0.00650014569284061,0.0078544569395929,150
physical_occlusion,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,1.2889444401828857e-05,2.5777497281395113e-06,3.1348203454296845e-05,150
physical_occlusion,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.12080058229906866,-0.12157526337514754,-0.12004412954444703,150
physical_occlusion,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.005894701440965798,0.0051373712117377774,0.006667779016408368,150
burst_loss_latency,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,2.9124252175199983e-06,3.8277981846858897e-07,5.6082677054915995e-06,150
burst_loss_latency,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.11731076712277598,-0.11808567104461999,-0.11659374797642803,150
burst_loss_latency,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.008494437962391663,0.007801799104567146,0.009197991276530901,150
partition_rejoin,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,3.9712362752741817e-07,0.0,1.1000826288328398e-06,150
partition_rejoin,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.13630080843069806,-0.13695118668429473,-0.13566709387593842,150
partition_rejoin,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,-0.02025300452344776,-0.02094023034782926,-0.019567250235954722,150
observer_outage_rejoin,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,-0.0032348004547879746,-0.003586746502616644,-0.002873080195633944,150
observer_outage_rejoin,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.1640559841805244,-0.1648200635772284,-0.16327860327350432,150
observer_outage_rejoin,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,-0.04591442078326058,-0.04666296631049825,-0.045127488617596766,150
legitimate_precision_minority,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,0.0,0.0,0.0,150
legitimate_precision_minority,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.1362808388913923,-0.13663923875805034,-0.13591570086897403,150
legitimate_precision_minority,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,-0.008756991472332113,-0.009214197888780687,-0.008312792849628447,150
colluding_covariance_ramp,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,-0.04969743409048996,-0.05033788442790745,-0.049042040174544325,150
colluding_covariance_ramp,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.0949918840224906,-0.0957633577342696,-0.09425320563622157,150
colluding_covariance_ramp,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,-0.006832798851177761,-0.007696692526160955,-0.005974090894521651,150
temporary_attack_recovery,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,-0.009576134360834357,-0.01004404494197976,-0.009100973763370334,150
temporary_attack_recovery,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.10036295208376164,-0.10104938466936716,-0.09972008562636535,150
temporary_attack_recovery,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.008299287786757195,0.007613026608112548,0.008979768269642672,150
adaptive_bounded_attacker,m9c_no_trust,m10a5_centralized,integrated_loss_improvement,0.0035479675356555962,0.002731422593804347,0.0043582797602703255,150
adaptive_bounded_attacker,m10b_decentralized_no_negotiation,m10a5_centralized,integrated_loss_improvement,-0.07320114003528168,-0.07403169043287633,-0.07235538551187623,150
adaptive_bounded_attacker,m10b_decentralized,m10a5_centralized,integrated_loss_improvement,0.008170486927921328,0.007443865377572243,0.008906426201313435,150
