run_id,scenario,arm,seed,position_rmse,mean_nees,coverage95,decision_loss,wrong_action_rate,integrated_loss,alert_rate,false_alert_rate,recovery_steps,movement,delivery_ratio,planner_messages,planner_bytes,maximum_allowed_planner_messages,ownership_violations,safety_interventions,emergency_stops,collisions,mean_runtime_units,topology_disagreement_rate,replay_fingerprint
m13-stable-m9c_no_trust-27000,stable,m9c_no_trust,27000,0.04453572994676293,1.6962685804343323,0.9916666666666667,0.03892687657835836,0.0,0.2110881872137023,1.0,0.0,0.0,11.47742070902293,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,08e1ccf05ce34f17df0085f0fa8ed812acf1a92e6f7260c9fbeb08e5d5dba8f5
m13-stable-m10a5_centralized-27000,stable,m10a5_centralized,27000,0.04453572994676293,1.6962685804343323,0.9916666666666667,0.03892687657835836,0.0,0.2110881872137023,1.0,0.0,0.0,11.47742070902293,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,b507c2afb27c3707f2180c750d59dc5a1bb42c0374be4f690c5fc146961e055d
m13-stable-m10b_decentralized_no_negotiation-27000,stable,m10b_decentralized_no_negotiation,27000,0.026121744555207587,0.47351456301446126,1.0,0.020483509089628683,0.0,0.3251049128471387,1.0,0.0,0.0,20.308093583834,0.9924242424242424,192,165410,192,0,0,0,0,1.384,0.0,86c53364b7ea295d9785426c4173e59050dd7e1682f1984a8cad4ed35cd3ad42
m13-stable-m10b_decentralized-27000,stable,m10b_decentralized,27000,0.030951409036107633,0.5517816105025057,1.0,0.026043919921131524,0.0,0.19830618547041165,1.0,0.0,0.0,11.484151036618675,0.9924242424242424,192,162816,192,0,0,0,0,1.384,0.0,5865af250217ff7e2e69dcf05e2b04fc927678f8d3bc1883b184d372022c7f8f
m13-stable-m9c_no_trust-27001,stable,m9c_no_trust,27001,0.05846490794457769,2.6807039510411146,0.8916666666666667,0.04904130783580598,0.0,0.22111698337017988,1.0,0.0,0.0,11.471711702291593,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,696048c115e6da96e9fb6a30641b046f52ea3f8bd8762079811c8068a9a724ee
m13-stable-m10a5_centralized-27001,stable,m10a5_centralized,27001,0.05846490794457769,2.6807039510411146,0.8916666666666667,0.04904130783580598,0.0,0.22111698337017988,1.0,0.0,0.0,11.471711702291593,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,7364be826cb6edaac0a4a7f3a019a19784c28cb59b780fdb52dbbdb15fe47fde
m13-stable-m10b_decentralized_no_negotiation-27001,stable,m10b_decentralized_no_negotiation,27001,0.035189637537592015,0.953602076246515,1.0,0.030233619058007897,0.0,0.3348384108189962,1.0,0.0,0.0,20.30698611739922,0.9924242424242424,192,165430,192,0,0,0,0,1.384,0.0,3d0fc82d2ad00ba1725edea3d2df613039903d38780ce2499496cadaddb9a840
m13-stable-m10b_decentralized-27001,stable,m10b_decentralized,27001,0.04107913220849165,1.0514516967879364,1.0,0.037204572541989965,0.0,0.20894009650012385,1.0,0.0,0.0,11.44903493054226,0.9924242424242424,192,162798,192,0,0,0,0,1.384,0.0,c65a7d6459a598e93f5273ec241c5d47507fdd9899b29970f14e5d6c1cce9eb9
m13-stable-m9c_no_trust-27002,stable,m9c_no_trust,27002,0.04932236618948898,2.0380329934064347,0.925,0.040054411990076415,0.0,0.21362049046363887,1.0,0.0,0.0,11.571071898237497,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,bbbba194369cc761b40dc301922d5219a0e6febfde335f72fc219d7485f98619
m13-stable-m10a5_centralized-27002,stable,m10a5_centralized,27002,0.04932236618948898,2.0380329934064347,0.925,0.040054411990076415,0.0,0.21362049046363887,1.0,0.0,0.0,11.571071898237497,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,f7d42daa3cf4267569957b149c76a1653c62bb95f1aa857e16c6122591f3ea01
m13-stable-m10b_decentralized_no_negotiation-27002,stable,m10b_decentralized_no_negotiation,27002,0.0332818008511831,0.7323933570968711,1.0,0.027340668931989595,0.0,0.33241846427551974,1.0,0.0,0.0,20.338519689568678,0.9924242424242424,192,165288,192,0,0,0,0,1.384,0.0,f1ca5d472dd5b8b0b4b92d3a9d1f7c466f42abd0ad233aa67b26e7cf187558c5
m13-stable-m10b_decentralized-27002,stable,m10b_decentralized,27002,0.03734784430190747,0.8420284099050968,1.0,0.03281454627881135,0.0,0.20560328958309848,1.0,0.0,0.0,11.519249553619144,0.9924242424242424,192,162796,192,0,0,0,0,1.384,0.0,2abc346884b39313166b230634153bf754b827770ef3bd68d335b5208c2faca2
