scenario,seed,runtime_seconds,motion_distance_difference,baseline_decision_loss,baseline_mean_base_error,baseline_position_rmse,baseline_best_hypothesis_rmse,baseline_selection_rate,baseline_mixture_rate,baseline_abstention_rate,baseline_wrong_mode_action_rate,baseline_mean_nees,baseline_p95_nees,baseline_max_nees,baseline_coverage95_rate,baseline_mean_residual_mass,baseline_max_residual_mass,baseline_mean_model_nis,baseline_mean_assignment_entropy,baseline_mean_predicted_risk,baseline_mean_predicted_wrong_risk,baseline_mean_credible_modes,baseline_mean_visible_agents,baseline_movement_distance,baseline_mean_quarantined_agents,baseline_quarantine_rate,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_residual_mass,candidate_mean_admission_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_measurement_eligible_agents,candidate_mean_belief_admitted_agents,candidate_mean_belief_censored_measurement_agents,candidate_belief_censoring_rate,candidate_mean_robust_excluded_measurement_agents,candidate_mean_unreachable_measurement_agents,candidate_mean_covariance_floored_agents,candidate_mean_model_rejected_measurement_agents,candidate_covariance_floor_rate,candidate_mean_excluded_secondary_probability,candidate_mean_unreachable_secondary_probability,candidate_mean_quarantined_agents,candidate_quarantine_rate,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
stable_control,31000,5.609548194042873,0.0,0.27916441479203125,0.27916441479203125,0.3149700478665921,0.3149700478665921,1.0,0.0,0.0,0.0,1.7981260695910202,5.157964610961011,9.830568536560259,0.96875,0.013016172954039545,0.05325256471877282,1.940179486311115,0.12500000790383123,0.41213516328462096,0.013016172954039545,1.0,7.83125,120.44212896145518,0.0,0.0,0.27648639683560033,0.27648639683560033,0.31215979252978315,0.31215979252978315,1.0,0.0,0.0,0.0,1.8028284194285118,5.279283064829742,0.95625,0.013088591955591828,0.04214073206604729,0.01308859195559183,0.0,1.965062720262864,0.12500000000000075,8.0,7.83125,0.16875,0.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.44212896145518,0.27648639683560033,0.27648639683560033,0.5850112460549335
stable_control,31001,6.444718990009278,0.0,0.27900853548669563,0.27900853548669563,0.3094887990848431,0.3094887990848431,1.0,0.0,0.0,0.0,1.7011287355982971,5.036138694381804,6.204895090635686,0.98125,0.010599385148998197,0.024521498841781897,1.8226612756765301,0.125000000192193,0.3978734116883514,0.010599385148998197,1.0,7.85,147.46493725668728,0.0,0.0,0.2771792607229605,0.2771792607229605,0.3058240425266958,0.3058240425266958,1.0,0.0,0.0,0.0,1.6825444663959979,4.629128534002185,0.98125,0.011674732856203924,0.03549568044221574,0.011674732856203924,0.0,1.831644060149154,0.12499999999999996,7.925,7.85,0.075,0.04375,0.0,0.075,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,147.46493725668728,0.2771792607229605,0.27483632685415876,0.5479842154864856
stable_control,31002,2.97028060501907,0.0,0.2948364573611954,0.2948364573611954,0.32760723517098733,0.32760723517098733,1.0,0.0,0.0,0.0,1.9012884464067674,4.971136310018413,9.447247224884908,0.975,0.011904318947092674,0.030383826940222902,1.9919854005397688,0.12500000004852543,0.40581941167581037,0.011904318947092674,1.0,7.86875,172.12104851292543,0.0,0.0,0.2868820509292451,0.2868820509292451,0.317835706305197,0.317835706305197,1.0,0.0,0.0,0.0,1.8235027527377343,4.971140063917167,0.9875,0.01180585597411728,0.03038382418494523,0.01180585597411728,0.0,2.0077543014252806,0.12499999999999996,8.0,7.86875,0.13125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.12104851292543,0.2868820509292451,0.2868820509292451,0.5557442816884373
stable_control,31003,2.4432627439964563,0.0,0.29340369388672816,0.29340369388672816,0.32679078121713645,0.32679078121713645,1.0,0.0,0.0,0.0,1.9830351985577372,5.34673862965137,9.887252478639416,0.9625,0.01029286264857717,0.01778799752957949,1.8719293926472915,0.1276358736553571,0.39267087145363266,0.01029286264857717,1.0,7.925,135.5815231485637,0.0,0.0,0.2874442086857531,0.2874442086857531,0.3213035178498801,0.3213035178498801,1.0,0.0,0.0,0.0,1.935228479662971,5.346738629651769,0.9625,0.010049487725776702,0.011583607226392512,0.010049487725776698,0.0,1.877958158360137,0.12499999999999996,8.0,7.925,0.075,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.5815231485637,0.2874442086857531,0.2874442086857531,0.5981284517958814
stable_control,31004,6.4666534989955835,0.0,0.26412941767947956,0.26412941767947956,0.2991427456710028,0.2991427456710028,1.0,0.0,0.0,0.0,1.621872268508535,4.51516631385454,7.531211921161806,0.96875,0.011276492500505397,0.07719971512753676,1.8616542231469198,0.12500000000009726,0.4006269200892647,0.011276492500505397,1.0,7.9375,118.71889818413428,0.0,0.0,0.2633585152326755,0.2633585152326755,0.2975917148002531,0.2975917148002531,1.0,0.0,0.0,0.0,1.619423293381781,4.471111276096555,0.96875,0.011276491777914514,0.07719971509888646,0.011276491777914512,0.0,1.8614581644049246,0.12499999999999996,8.0,7.9375,0.0625,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.71889818413428,0.2633585152326755,0.2633585152326755,0.6298214816430235
stable_control,31005,6.429304488992784,0.0,0.2612155700155717,0.2612155700155717,0.2981206471836024,0.2981206471836024,1.0,0.0,0.0,0.0,1.5964161304625488,4.145020218913345,14.210311370308478,0.975,0.013751250171759283,0.048483402097219686,1.9986641901279085,0.1266161786127907,0.41660164014144635,0.013751250171759283,1.0,7.8625,144.03364891364487,0.0,0.0,0.2579138188906559,0.2579138188906559,0.29226737748075926,0.29226737748075926,1.0,0.0,0.0,0.0,1.5702507138121953,4.232936126320217,0.975,0.015168077391450463,0.05670783061447193,0.015168077391450463,0.0,2.0286805915038877,0.12499999999999996,8.0,7.8625,0.1375,0.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.03364891364487,0.2579138188906559,0.2579138188906559,0.5926399208862196
stable_control,31006,2.430537754960824,0.0,0.26920311732237073,0.26920311732237073,0.3075162235298684,0.3075162235298684,1.0,0.0,0.0,0.0,1.6242527690822595,4.458233923475472,7.521296908824065,0.98125,0.01333893011001493,0.07715273268556488,1.8918388238967716,0.127635873781176,0.4128299013095251,0.01333893011001493,1.0,7.9125,96.28020182305698,0.0,0.0,0.2661251519042471,0.2661251519042471,0.30451229258884793,0.30451229258884793,1.0,0.0,0.0,0.0,1.6052025683965705,4.458233788792651,0.98125,0.013010166523755926,0.061175276774902865,0.013010166523755922,0.0,1.905287092374019,0.12499999999999996,8.0,7.9125,0.0875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.28020182305698,0.2661251519042471,0.2661251519042471,0.5402399054970146
stable_control,31007,2.447055015945807,0.0,0.2678103215039446,0.2678103215039446,0.30986505346825877,0.30986505346825877,1.0,0.0,0.0,0.0,1.6371333066878466,5.100328778621156,10.465343660857659,0.96875,0.01307803010015437,0.06185371605275192,1.853509584042628,0.1250000161039167,0.41643635451010497,0.01307803010015437,1.0,7.80625,180.45860548380693,0.0,0.0,0.263952252142355,0.263952252142355,0.30563548389211503,0.30563548389211503,1.0,0.0,0.0,0.0,1.608080062611219,4.913155352263009,0.96875,0.013078132623042926,0.06185371947547935,0.013078132623042924,0.0,1.8653778129875733,0.12499999999999996,7.9,7.80625,0.09375,0.05625,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.45860548380693,0.263952252142355,0.26059585199812996,0.5788616516617646
stable_control,31008,6.4198128979769535,0.0,0.2930213297048938,0.2930213297048938,0.32706143553822725,0.32706143553822725,1.0,0.0,0.0,0.0,1.9613313048573673,5.556826981292623,10.97461858201699,0.95625,0.010092577738363131,0.011600572690884658,1.9972633357845546,0.12601969522127446,0.39376073960094654,0.010092577738363131,1.0,7.85625,135.6937272648713,0.0,0.0,0.2907406138816596,0.2907406138816596,0.32390998001497473,0.32390998001497473,1.0,0.0,0.0,0.0,1.9365229616687878,5.291782065151148,0.95625,0.010092578472072431,0.0116005961695832,0.010092578472072431,0.0,2.00753342782527,0.12499999999999996,7.925,7.85625,0.06875,0.0625,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.6937272648713,0.2907406138816596,0.2908087682033312,0.59162327040604
stable_control,31009,6.401921949000098,0.0,0.28887278081910694,0.28887278081910694,0.3211927020689303,0.3211927020689303,1.0,0.0,0.0,0.0,1.8721255910346457,5.518684288330313,7.4012799938997285,0.96875,0.011909642256469788,0.044695362058408517,1.9335115018932878,0.12500000245524895,0.40661577104100166,0.011909642256469788,1.0,7.86875,169.60984150336895,0.0,0.0,0.2838708546517986,0.2838708546517986,0.3160635615857075,0.3160635615857075,1.0,0.0,0.0,0.0,1.8486267620868482,5.216867437976002,0.9625,0.011910351856706478,0.04477378224669637,0.011910351856706474,0.0,1.9610600844016737,0.12499999999999996,7.975,7.86875,0.10625,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,169.60984150336895,0.2838708546517986,0.28242537808805124,0.6183240528657932
