candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses
information_oracle,passive,total_decision_loss,lower,100,6.000000000000001,0.11402872,5.885971280000004,5.865248880000005,5.906693680000005,100,0,0
information_oracle,passive,resolution_steps,lower,100,30.0,1.53,28.47,28.37,28.57,100,0,0
information_oracle,passive,mean_discriminability,higher,100,0.0,8.411357191085145,8.411357191085145,7.4002183222071425,9.422496059963148,100,0,0
information_oracle,passive,final_truth_probability,higher,100,0.5,0.9924419961387456,0.4924419961387454,0.4896045514997451,0.4948595935672484,100,0,0
round_robin_dose_0_00,passive,total_decision_loss,lower,100,6.000000000000001,6.000000000000001,0.0,0.0,0.0,0,100,0
round_robin_dose_0_00,passive,resolution_steps,lower,100,30.0,30.0,0.0,0.0,0.0,0,100,0
round_robin_dose_0_00,passive,mean_discriminability,higher,100,0.0,0.0,0.0,0.0,0.0,0,100,0
round_robin_dose_0_00,passive,final_truth_probability,higher,100,0.5,0.5,0.0,0.0,0.0,0,100,0
round_robin_dose_0_10,passive,total_decision_loss,lower,100,6.000000000000001,0.7500922505028264,5.249907749497177,5.2136840334944505,5.288132101335724,100,0,0
round_robin_dose_0_10,passive,resolution_steps,lower,100,30.0,4.73,25.27,25.08975,25.45,100,0,0
round_robin_dose_0_10,passive,mean_discriminability,higher,100,0.0,1.139083527715684,1.139083527715684,1.0327080062541958,1.254989986599292,100,0,0
round_robin_dose_0_10,passive,final_truth_probability,higher,100,0.5,0.9863575504644132,0.4863575504644131,0.4834794391238543,0.48920420531537273,100,0,0
round_robin_dose_0_25,passive,total_decision_loss,lower,100,6.000000000000001,0.40121026195199994,5.598789738048001,5.578523255238401,5.619044365568002,100,0,0
round_robin_dose_0_25,passive,resolution_steps,lower,100,30.0,2.98,27.02,26.92,27.13,100,0,0
round_robin_dose_0_25,passive,mean_discriminability,higher,100,0.0,2.1977041868192115,2.1977041868192115,2.016240705561268,2.38740256906356,100,0,0
round_robin_dose_0_25,passive,final_truth_probability,higher,100,0.5,0.9910379787793099,0.4910379787793099,0.4885341277883079,0.49347994897586545,100,0,0
round_robin_dose_0_50,passive,total_decision_loss,lower,100,6.000000000000001,0.24257988800000008,5.757420112000003,5.7390188272000024,5.773807049600004,100,0,0
round_robin_dose_0_50,passive,resolution_steps,lower,100,30.0,2.18,27.82,27.73,27.9,100,0,0
round_robin_dose_0_50,passive,mean_discriminability,higher,100,0.0,4.239588406921693,4.239588406921693,3.836498934441197,4.667315062428005,100,0,0
round_robin_dose_0_50,passive,final_truth_probability,higher,100,0.5,0.9941242784841349,0.4941242784841349,0.49179668651973735,0.4962228235940439,100,0,0
round_robin_dose_1_00,passive,total_decision_loss,lower,100,6.000000000000001,0.11402872,5.885971280000004,5.865248880000005,5.9066936800000045,100,0,0
round_robin_dose_1_00,passive,resolution_steps,lower,100,30.0,1.53,28.47,28.37,28.57,100,0,0
round_robin_dose_1_00,passive,mean_discriminability,higher,100,0.0,8.411357191085145,8.411357191085145,7.4002183222071425,9.422496059963146,100,0,0
round_robin_dose_1_00,passive,final_truth_probability,higher,100,0.5,0.9924419961387456,0.4924419961387454,0.4897865703545514,0.49480614101133863,100,0,0
value_of_information,passive,total_decision_loss,lower,100,6.000000000000001,0.11402872,5.885971280000004,5.865248880000005,5.906693680000005,100,0,0
value_of_information,passive,resolution_steps,lower,100,30.0,1.53,28.47,28.37,28.57,100,0,0
value_of_information,passive,mean_discriminability,higher,100,0.0,8.411357191085145,8.411357191085145,7.4002183222071425,9.422496059963146,100,0,0
value_of_information,passive,final_truth_probability,higher,100,0.5,0.9924419961387456,0.4924419961387454,0.4898815280950109,0.4949293178979743,100,0,0
