seed,policy,dose,truth_mode,resolved,resolution_steps,selected_mode,wrong_selection,total_decision_loss,decision_cost,movement_cost,movement_distance,mean_discriminability,maximum_discriminability,final_truth_probability,final_entropy,trace_fingerprint,arm
7000,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,a76d2bcc83aaf24c3330cfa6ada22f870ed2de78798ee7e79789155c75029191,passive
7001,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,f158409907935d752ad29fc1cd1f891032221ca804bf52e8c8557e22ca6b7853,passive
7002,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,3b2e2ee702a3daafb1acbab3f1b6e90be53f672dd02d46d259c08ceacfe57e9d,passive
7003,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,f0bf7d0072b38c8d902e4f3fc2338f19e21e661ed2712c372464e51cde11d9bb,passive
7004,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,3b38abd7fe5812de7751a8a7ecb654d33409d13c4dbce5547b8f03355e389f16,passive
7005,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,42ba4619f622cb68282a915efa3ef7fffd1b919749eba1f255fb481c4a3da616,passive
7006,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c3cba007524531995bedacdd3942e2e6ef9957d884cd862f67d684b55146e5ec,passive
7007,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,218510087a39c21b2a3467ac6ca15572708143e2ebc7949f2028457b303e380a,passive
7008,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,e712857ee8250d25e5393cef5466739d80de79e05dfed7a90f17d6dafddd9585,passive
7009,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,a21ffe0d12d931377bcd34cdc8da1317845c94810b0c35250154d3ae9a236c99,passive
7010,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c7fc8a33b82ee8c33711df9217458c61efaf94ae3eccc36a04596b7977baa039,passive
7011,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,832cdb4f03863ffe893e03790537dd311d2d0f830057951d38c4ae198472b676,passive
7012,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,cf894239d1f1ef12dae5ce3aded24f9d9543177646ef4c7edb81654421b92ccf,passive
7013,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,a12f0d2045d28d8202f361251ad9c176e0b56e0526321461b6aa71db6529936f,passive
7014,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,3c106d67b60f4657c6ba941ab8a18e6ef00fcc7740a4b11df21bcda10954a681,passive
7015,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,8e025d77ddcedaec0e07fcde9c33b2d1c59b3deefdede91abdaa20497d2cb82d,passive
7016,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,bd8ca2ec0b91050adf873dd806829563d98f1858c4806c5e331ae346a4abce74,passive
7017,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,8ebbfce8f9eaa46ccdd2195507ab67cadb86aa4af04422a2a5133c3d29db3af2,passive
7018,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,791ddea29406e021d3d3d2a880d2d93457a2f5b75304070437d6184270b2197b,passive
7019,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,58904b8c56f3b6a7b2cddc90652c8c7da1b97c225eba4964bfbc62f7a957ded8,passive
7020,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,1919be222111a24e04feaf9d8c658643fe1a94761ca33b26a2b3c4180c9d80c9,passive
7021,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,ae37d2530b95570d3388e226bef52f998b7970c08be9a20790cbd9c9c856d6ca,passive
7022,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,2364c2a2ba9b64afa17be9ba56987685d4bda248bb64389aca3707e0832a85a1,passive
7023,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,16e8587169f0b5e3e96af239d0bfe3187d05179c5ca83d65ff2bbdfb9eec8b51,passive
7024,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,3af15095e6a790abe392306738116dbe9c046600b78b8fc0c94b224abfebaa5a,passive
7025,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,895d75d3603a59e4cc0c52032b9dae1415090a8f51be13ad87d4fa456d06b3b5,passive
7026,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,32777886cbd5e4c9b463236dd1cfceaf5fc8126314bd258d173c474315e0f8de,passive
7027,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,f4d2b20f0bbbf261718b4d78bd32d09e8af3accd567cf92c4837b76af9c2b9db,passive
7028,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c742031941ca3030e1758b0c794a8e11c01bb597954feeaa25865a3e2143ac52,passive
7029,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,139c8a91e72e76caa96a3102638ac2395bc74e8cb7fa727e1dfa0ac6abfb6eb3,passive
7030,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,a42b226c33171ace5fa2cf4c2369aad8ca989112f6656f9bbe575ba9b2fadbfc,passive
7031,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,69d69e6d745ffc8368a79e0f6ef1cce895e00e2c34981ca561627d9e81f30850,passive
7032,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,b80d5db647cd5720bdd74cb89eb112c6097ea253f4aeffe231ac95f53640b3b7,passive
7033,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,20a4efc8211706dd6a0deed7dc3d9b27b225c6d05d57dde496351ebae0fac137,passive
7034,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c032a737364aafeb83bc4d75d74344bfb06af6bbd97378e4065f52fe96dbe330,passive
7035,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,e55df5be2a1ada10d6a150b831209d785f19e7ac806a46af67397801884ec961,passive
7036,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,246554b6c466a34bf0ddaf86524fb1114205561cab82b416a8d85a15200bc618,passive
7037,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,fb64e8cfd830510b63e469fca9a20841b02ab6ef49c361c1d2d681d3d05143bf,passive
7038,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,f3153b9ff6e64cf8305187916c6c62066cda03673aea8d4b708a6c3d30433153,passive
7039,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,7b9ecf43ec81f4d58a694bfc330bfb947fe94930e30d4da2bf2f20a273948335,passive
7040,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,fddc21856d5735274f69ea5e2b2e0301d3f2b46ef58b615fde00b0ea4d5180a8,passive
7041,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,18f7530c0c19f7a187ee5311939d6733d15f39aa39fc29660c093df82f5177a5,passive
7042,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,4eac8c17530677f33bf0eb3cca217cc3682e28994e8d9d2891057b6644fd6064,passive
7043,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,5aa7e1ef30000b1722f375dc3dc3a5468bb91d7b1db19cc99f6621b8f628b135,passive
7044,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,e5412d7460d7f0e709ab0501d85469503483cf1846bc7967df1bd3346abcdacb,passive
7045,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,35c0fedc3ac77b270dde8ba195b40f539f84903e5b797e259ac4e803d722f62d,passive
7046,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,0abb5cfe5638eb8c70064ff8a14e2620398f79c3522a2c7f2729759ddb7e3419,passive
7047,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,496b9ad180bbc4bbb1a78a7f3a907e05ab3099503be6251d233524e8d16f002e,passive
7048,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,5c3ac708e1ae238c3c63a7c388c41e9376bdce42c888576fe0eb7992f41e55da,passive
7049,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,9d351a45988360d433020ad5457ed6ec0be8ba2837f2ad06114bc086986ed917,passive
7050,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,67f9d4456d45e4e9dd96cf701e392d9cc6877a8816778d68f987769dfed68b53,passive
7051,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,9840f6a575f6c8cb851a183040034ceb6e8b3b4657b5da0d643102403bf78c97,passive
7052,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c99714106e5f3ec3976332d26dcc4c83935ad6bd034b19de2681f2ebf8b531dd,passive
7053,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,b91c2ebb4abedbf5837ec0c373db5e0bafd45e5aa85b803bee909abf2aa3b6e0,passive
7054,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,2d1671de78c7a9c36379361d7660520c47b7ff192bb87f174ba4668d4cfdf293,passive
7055,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,ee766d2d9e395b217e9c2866e795dc7bb12d787097a2d64ab32ddcb576ff122b,passive
7056,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,65a325cf68f6514f809201779c03cb7958baae0b6e33d477119626933e552083,passive
7057,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c15bb6f97ccee5ef858ed348d6ba7d045f982146104b670fefee8a0989d50d74,passive
7058,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,4ca025e05225fe7eddf871d384e0dc0740a7736f144fb61d79c68093608f1e6f,passive
7059,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c17a7c62c0ef1d251fc9f85d5b2a1d443a0d616ce507043301500417938844df,passive
7060,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,60581a980b15c86f448c236833b94250137bb982d2fb6fcb4565d7f328eb7dba,passive
7061,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,ca29748fca86eca3850c9e56eb5b490df97afd61b1e020d75364ca7975794f71,passive
7062,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,b81643f0d750735e5bd604185058b80178c6bbfc6201e624df8b91c9cdb2079a,passive
