scenario,comparison,pairs,left_mean,right_mean,effect_mean,ci95_lower,ci95_upper
stable_control,current_minus_candidate_loss,100,0.938949628810484,0.27639309319993677,0.6625565356105476,0.654705282102787,0.6701068881354271
stable_control,candidate_minus_observer_regret,100,0.27639309319993677,0.27284211409213954,0.0035509791077971862,0.0026777736342890523,0.004508994454048803
failure_only,current_minus_candidate_loss,100,1.0623752513718987,0.32889101840564267,0.7334842329662561,0.7093021718341835,0.7586023883557018
failure_only,candidate_minus_observer_regret,100,0.32889101840564267,0.2931048918755143,0.03578612653012839,0.029175658784356306,0.0426531139792505
partition_only,current_minus_candidate_loss,100,1.0457615014039963,0.3724835228114573,0.6732779785925389,0.6532162977071517,0.693974896879523
partition_only,candidate_minus_observer_regret,100,0.3724835228114573,0.34677927276591347,0.02570425004554373,0.020300293115606098,0.03129216722817579
asymmetric_partition,current_minus_candidate_loss,100,1.0608502808514457,0.4092637324453664,0.6515865484060793,0.6287036807782499,0.6764109565430695
asymmetric_partition,candidate_minus_observer_regret,100,0.4092637324453664,0.36981511166579073,0.039448620779575706,0.03192388713349319,0.04706629009405472
failure_partition,current_minus_candidate_loss,100,1.1917274138497431,0.4512696733638867,0.7404577404858563,0.6808146453532372,0.8037294818642021
failure_partition,candidate_minus_observer_regret,100,0.4512696733638867,0.35056329015041926,0.10070638321346742,0.059636992907704515,0.15683104434017614
staggered_rejoin,current_minus_candidate_loss,100,1.0288288691039285,0.32463946998087745,0.704189399123051,0.6689908662073834,0.7534943144168624
staggered_rejoin,candidate_minus_observer_regret,100,0.32463946998087745,0.3077934317084524,0.016846038272425024,0.013533598475506291,0.020494625704563695
flapping_reconnect,current_minus_candidate_loss,100,0.9535437313701283,0.3128548318255012,0.640688899544627,0.6305919039205158,0.6508420023486596
flapping_reconnect,candidate_minus_observer_regret,100,0.3128548318255012,0.3012697928416042,0.011585038983897018,0.0089919804000485,0.014327012037163024
false_split_dropout,current_minus_candidate_loss,100,0.9981509708553237,0.2821670065773848,0.715983964277939,0.705324327987924,0.7267656612437878
false_split_dropout,candidate_minus_observer_regret,100,0.2821670065773848,0.27793346105490674,0.004233545522477993,0.0031796143976158676,0.005383790075647359
unmodelled_count,current_minus_candidate_loss,100,0.6390679675463418,0.8946125375992804,-0.2555445700529388,-0.26535048222266305,-0.24598021940761
unmodelled_offset,current_minus_candidate_loss,100,0.9368599395567917,0.9839227114694745,-0.04706277191268283,-0.056903253765888596,-0.036603372909176486
failure_only,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.32889101840564267,-0.052497925205705925,-0.059000184726211546,-0.04617038346136522
partition_only,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.3724835228114573,-0.09609042961152049,-0.10588896406706287,-0.08687269166485252
asymmetric_partition,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.4092637324453664,-0.13287063924542963,-0.1457024453740425,-0.12091136910559262
failure_partition,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.4512696733638867,-0.17487658016394994,-0.23118516989602855,-0.13357783365408432
staggered_rejoin,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.32463946998087745,-0.048246376780940674,-0.05231336105052267,-0.0444542729998244
flapping_reconnect,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.3128548318255012,-0.03646173862556449,-0.040653043575760404,-0.032551907109565494
false_split_dropout,candidate_stable_minus_dynamic_transfer,100,0.27639309319993677,0.2821670065773848,-0.005773913377448032,-0.007178572333772522,-0.0044557711287969105
