scenario,seed,runtime_seconds,motion_distance_difference,current_algorithm,current_seed,current_position_rmse,current_best_hypothesis_rmse,current_mean_truth_consistent_flock_weight,current_decision_loss,current_mean_decision_base_error,current_selection_rate,current_mixture_rate,current_abstention_rate,current_investigation_rate,current_wrong_mode_rate,current_wrong_mode_action_rate,current_mean_output_confidence,current_ambiguity_resolution_steps,current_agent_position_rmse,current_mean_nees,current_p95_nees,current_max_nees,current_coverage95_rate,current_rejoin_window_nees,current_mean_nis,current_information_gain,current_spatial_diversity,current_estimate_disagreement,current_mean_operational_agents,current_mean_delivery_ratio,current_mean_message_age,current_partition_active_rate,current_partition_selection_rate,current_mean_topology_components,current_mean_observer_component_size,current_mean_topology_visibility_fraction,current_mean_topology_live_support,current_mean_topology_retained_support,current_mean_topology_unknown_support,current_mean_topology_probation_agents,current_topology_rejoin_events,current_topology_merge_grace_rate,current_topology_epoch_changes,current_mean_duplicate_support_suppressed,current_topology_selection_blocked_rate,current_mean_missing_evidence_residual_mass,current_mean_missing_evidence_model_nis,current_mean_missing_evidence_assignment_entropy,current_mean_missing_evidence_predicted_risk,current_mean_missing_evidence_predicted_wrong_risk,current_mean_missing_evidence_credible_modes,current_max_primary_support_jump,current_recovery_steps,current_messages,current_bytes_sent,current_mean_momentum,current_mean_momentum_change_score,current_mean_momentum_corroborating_agents,current_mean_momentum_biased_agents,current_momentum_fallback_rate,current_momentum_change_events,current_mean_hypothesis_flocks,current_multiflock_rate,current_mean_primary_flock_size,current_mean_primary_flock_weight,current_mean_alternative_flock_weight,current_mean_quarantined_agents,current_quarantine_rate,current_mean_suspected_bias_agents,current_mean_bias_estimate_norm,current_movement_distance,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_max_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_predicted_risk,candidate_mean_predicted_wrong_risk,candidate_mean_credible_modes,candidate_mean_visible_agents,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
stable_control,13000,1.5707720411010087,0.0,flocking_topology_resilient,13000,2.2378621406138826,0.6499497123518984,0.74296875,0.9445054712699402,0.6054429712699404,0.55625,0.0,0.44375,0.0625,0.2222222222222222,0.0125,0.5375,78,0.7189543284144443,1.9344949477944582,4.699203286911546,33.689516557466014,0.9705729166666666,0.0,1.9795590045452456,3.6753052776630115,5.032688965460918,1.8934358409524967,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9,0.24993910214451204,0.0125,0.0,0,0.0,0,51.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.56875,0.4875,6.0,0.75,0.2359375,0.0,0.0,0.1,1.5392365309843068,194.80274480929683,0.28594981844298095,0.28594981844298095,0.322440997753879,0.322440997753879,1.0,0.0,0.0,0.0,1.862335227300992,5.013707787767921,10.060172432124986,0.9625,0.010368951849381774,0.020379233763839752,1.920730822028024,0.12499999999999996,0.39747912474525954,0.010368951849381774,1.0,7.9,194.80274480929683,0.280686593121571,0.280686593121571,0.5819998050439071
stable_control,13001,1.5311508749146014,0.0,flocking_topology_resilient,13001,2.2612165347992255,0.6601353027966822,0.74375,0.9174348027234046,0.5736848027234046,0.55,0.0,0.45,0.0625,0.0,0.0,0.534375,78,0.6571469702904111,1.542683596318295,4.170649526152409,6.069581564907928,0.9775669642857142,0.0,1.9580870268709147,3.676093088874855,5.043129361995904,1.9555658784071284,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9,0.1376764526336,0.0125,0.0,0,0.0,0,50.80625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.58125,0.4875,5.95625,0.74453125,0.23984375,0.0,0.0,0.1,1.5295313494572862,154.3013058350861,0.28051262097162843,0.28051262097162843,0.31468417949073063,0.31468417949073063,1.0,0.0,0.0,0.0,1.7694140719609144,4.950278914901351,7.734454229586472,0.98125,0.01509542241748284,0.051705040595783694,1.8927862085507576,0.12500000167593556,0.42632889083105585,0.01509542241748284,1.0,7.9,154.3013058350861,0.27550252731886643,0.27550252731886643,0.5711034352964963
stable_control,13002,1.58611616701819,0.0,flocking_topology_resilient,13002,2.262755968119746,0.669618933383642,0.746875,0.9335387321864911,0.5897887321864912,0.55,0.0,0.45,0.0625,0.0,0.0,0.534375,77,0.6659099197904675,1.6708292032228957,4.095921418091892,6.962526371194906,0.9715178571428572,0.0,1.9170811965706271,3.6868750190388413,5.071512089406982,1.8907371962255133,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.875,0.17955108608,0.015625,0.0,0,0.0,0,50.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.54375,0.48125,5.99375,0.74921875,0.234375,0.0,0.0,0.125,1.5539561751347115,153.71252982744693,0.2884388416477558,0.2884388416477558,0.3291953312168236,0.3291953312168236,1.0,0.0,0.0,0.0,1.886211808452136,6.015729296007962,12.374118043259223,0.94375,0.01280674982368587,0.042708757817626126,1.9007053618057477,0.1250000000003421,0.4113433894437499,0.01280674982368587,1.0,7.875,153.71252982744693,0.2846073873256688,0.2846073873256688,0.5897887321864912
stable_control,13003,1.5451607499271631,0.0,flocking_topology_resilient,13003,2.158577006186915,0.6249299180579748,0.74140625,0.9126662148477778,0.5689162148477777,0.55,0.0,0.45,0.0625,0.0,0.0,0.540625,77,0.671632056224777,1.711687691968481,4.187925096829483,7.404956656769388,0.9828125,0.0,1.8886949957780998,3.6788873255487076,5.071322006986648,1.8801492779090203,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9125,0.2228001371136,0.0109375,0.0,0,0.0,0,51.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5625,0.48125,6.00625,0.75078125,0.2359375,0.0,0.0,0.0875,1.5632100277080123,192.86003956277128,0.2833651696711558,0.2833651696711558,0.32412407864075216,0.32412407864075216,1.0,0.0,0.0,0.0,1.8490853111468966,5.881010839857658,10.933998347239335,0.95625,0.012286862326929646,0.05315177425285359,1.9002699584520362,0.12500000000011222,0.40841678174702595,0.012286862326929646,1.0,7.9125,192.86003956277128,0.2818612824821851,0.2818612824821851,0.5610783482818766
stable_control,13004,1.581174833001569,0.0,flocking_topology_resilient,13004,2.174406248551826,0.6164586552642773,0.7515625,0.9103034609898817,0.5665534609898818,0.55,0.0,0.45,0.0625,0.0,0.0,0.534375,77,0.6311151622155355,1.5126886459612383,4.088345860183151,6.57118459361184,0.97265625,0.0,1.9107737889211023,3.6977721952934237,5.037299826088253,1.828494729959484,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9,0.04772040000000001,0.0125,0.0,0,0.0,0,51.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5,0.48125,6.01875,0.75234375,0.23515625,0.0,0.0,0.1,1.5699316046606413,154.6738426718104,0.2814429517043136,0.2814429517043136,0.3168409270880176,0.3168409270880176,1.0,0.0,0.0,0.0,1.82933657008995,5.21099085495928,10.801689729168139,0.975,0.011237753072172143,0.037923506736122624,1.8897863840509679,0.12661618037057398,0.3997921838410023,0.011237753072172143,1.0,7.9,154.6738426718104,0.2799582977664531,0.2799582977664531,0.5587139655805317
stable_control,13005,1.5346065838821232,0.0,flocking_topology_resilient,13005,2.2121819362775668,0.6464562305232164,0.72890625,0.9323721648376472,0.5886221648376472,0.55,0.0,0.45,0.0625,0.0,0.0,0.528125,78,0.6521858737174712,1.568675165346615,3.694091196935137,7.187559108786182,0.98671875,0.0,1.9165986005898776,3.686039429009626,4.975062588187849,1.8580732641338777,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.88125,0.39958733711359995,0.01484375,0.0,0,0.0,0,50.83125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.58125,0.51875,5.9375,0.7421875,0.24140625,0.0,0.0,0.11875,1.5398501271973453,172.6141594441503,0.2555533887045059,0.2555533887045059,0.28436813107177045,0.28436813107177045,1.0,0.0,0.0,0.0,1.4623324221501015,4.482259376056941,7.751026803527274,0.99375,0.012662250089060346,0.04594829203082322,1.9895834547711844,0.1250000000021787,0.4107521540389367,0.012662250089060346,1.0,7.88125,172.6141594441503,0.2526145696037697,0.2526145696037697,0.5762960159110395
stable_control,13006,1.5490299579687417,0.0,flocking_topology_resilient,13006,2.0830417392644067,0.6617739596502864,0.7296875,0.9481238562861641,0.5990613562861642,0.54375,0.0,0.45625,0.06875,0.0,0.0,0.51875,77,0.6922879098899851,1.7853413353311247,4.815525814847046,7.4681752902331855,0.9652901785714285,0.0,2.074720281233422,3.6833863532225863,5.059831032010156,1.928240089820194,8.0,1.0,0.0,0.0,0.0,1.00625,7.975,0.996875,7.74375,0.3973610860800001,0.03203125,0.0,0,0.025,2,50.3875,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.575,0.50625,5.9625,0.7453125,0.221875,0.00625,0.00625,0.16875,1.523150699609993,172.96266286770293,0.2722468345097575,0.2722468345097575,0.3049096817643249,0.3049096817643249,1.0,0.0,0.0,0.0,1.6383499272825564,4.804714579130131,8.648901001474758,0.9875,0.010210454512561116,0.02001687351552195,1.9415552089396382,0.12500000000331918,0.39747890571074435,0.010210454512561116,1.0,7.80625,172.96266286770293,0.2669653437178227,0.26664246656620405,0.5855367808086175
stable_control,13007,1.5363016671035439,0.0,flocking_topology_resilient,13007,2.2380586431654046,0.6600788758160241,0.71875,0.9301767235749476,0.5864267235749476,0.55,0.0,0.45,0.0625,0.0,0.0,0.5375,79,0.6871063677663074,1.7204103757246478,4.653827308684599,6.311051298758741,0.9640625,0.0,2.0509075501511815,3.6684283062381864,5.116047814466588,1.967326626453988,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9125,0.33502425599999996,0.0109375,0.0,0,0.0,0,51.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5625,0.525,5.99375,0.74921875,0.2375,0.0,0.0,0.0875,1.5717753689236793,189.3941540394842,0.2894306704723243,0.2894306704723243,0.32158081358562435,0.32158081358562435,1.0,0.0,0.0,0.0,1.8413785122947126,4.943134259798795,9.238209128756871,0.96875,0.013526664753925902,0.06838573230690075,1.9404723185477806,0.12500000106719633,0.4175031119213105,0.013526664753925902,1.0,7.9125,189.3941540394842,0.28986849090890576,0.28986849090890576,0.5821161941307482
stable_control,13008,1.5326919578947127,0.0,flocking_topology_resilient,13008,2.0557913341510874,0.6606490381161322,0.7453125,0.9542165399138494,0.6192165399138494,0.5625,0.0,0.4375,0.06875,0.3,0.01875,0.5453125,78,0.7156256227951585,1.8575720341982394,5.058068846518048,23.47319819840283,0.9530133928571429,0.0,2.059875453133479,3.691945038346442,4.999546896760471,1.861017075874959,8.0,1.0,0.0,0.0,0.0,1.03125,7.875,0.984375,7.65,0.168421456,0.04375,0.0,0,0.05,4,50.2875,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.51875,0.48125,6.00625,0.75078125,0.203125,0.0,0.0,0.1,1.5321072135139393,141.8666139275689,0.2857272806127991,0.2857272806127991,0.3215200819691028,0.3215200819691028,1.0,0.0,0.0,0.0,1.8427801799627717,5.78039566588926,14.833517726323436,0.95625,0.011008167929618496,0.028187330838862896,2.010836086074213,0.1266161785386654,0.4017280098736376,0.011008167929618496,1.0,7.775,141.8666139275689,0.2868193692788846,0.2847027594663403,0.5783010248136544
stable_control,13009,1.525086791953072,0.0,flocking_topology_resilient,13009,2.1714423152270443,0.6474667610648112,0.74765625,0.9220863484623715,0.5736488484623715,0.54375,0.0,0.45625,0.0625,0.0,0.0,0.534375,114,0.6623821856171059,1.7237167187716125,4.5260512840016505,6.8195027104281,0.97421875,0.0,2.0323020417245425,3.6979393228098743,5.008146183883779,1.81221356405423,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.90625,0.40845697481310256,0.01171875,0.0,0,0.0,0,51.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.85,0.7125,5.99375,0.74921875,0.23828125,0.0,0.0,0.09375,1.5581764053407587,156.6637062007178,0.26080065006544684,0.26080065006544684,0.2941893199350555,0.2941893199350555,1.0,0.0,0.0,0.0,1.5872834506710214,4.763111924439105,8.496679314758248,0.9875,0.01338344949761898,0.05196998992196312,1.902590509661838,0.12500000000152206,0.41278418620445156,0.01338344949761898,1.0,7.90625,156.6637062007178,0.2603262686921048,0.2603262686921048,0.5705680857900303
