scenario,runs,current_decision_loss_mean,current_decision_loss_std,current_wrong_mode_action_rate_mean,current_wrong_mode_action_rate_std,current_mean_nees_mean,current_mean_nees_std,current_p95_nees_mean,current_p95_nees_std,current_coverage95_rate_mean,current_coverage95_rate_std,candidate_decision_loss_mean,candidate_decision_loss_std,candidate_mean_base_error_mean,candidate_mean_base_error_std,candidate_position_rmse_mean,candidate_position_rmse_std,candidate_best_hypothesis_rmse_mean,candidate_best_hypothesis_rmse_std,candidate_selection_rate_mean,candidate_selection_rate_std,candidate_mixture_rate_mean,candidate_mixture_rate_std,candidate_abstention_rate_mean,candidate_abstention_rate_std,candidate_wrong_mode_action_rate_mean,candidate_wrong_mode_action_rate_std,candidate_mean_nees_mean,candidate_mean_nees_std,candidate_p95_nees_mean,candidate_p95_nees_std,candidate_max_nees_mean,candidate_max_nees_std,candidate_coverage95_rate_mean,candidate_coverage95_rate_std,candidate_mean_residual_mass_mean,candidate_mean_residual_mass_std,candidate_max_residual_mass_mean,candidate_max_residual_mass_std,candidate_mean_model_nis_mean,candidate_mean_model_nis_std,candidate_mean_assignment_entropy_mean,candidate_mean_assignment_entropy_std,candidate_mean_predicted_risk_mean,candidate_mean_predicted_risk_std,candidate_mean_predicted_wrong_risk_mean,candidate_mean_predicted_wrong_risk_std,candidate_mean_credible_modes_mean,candidate_mean_credible_modes_std,candidate_mean_visible_agents_mean,candidate_mean_visible_agents_std,motion_distance_difference_mean,motion_distance_difference_std,observer_loss_mean,observer_loss_std,global_loss_mean,global_loss_std,hindsight_floor_loss_mean,hindsight_floor_loss_std,runtime_seconds_mean,runtime_seconds_std
stable_control,30,0.9428872461251901,0.03802069752312746,0.005,0.00746519702798705,1.8470745130962223,0.45153629326055517,4.553100620738024,0.6020801251826359,0.9677951388888888,0.012789932044064332,0.2814701203211542,0.0121580130654953,0.2811576203211542,0.011554935978013074,0.3171966787138851,0.013793358243709324,0.3171966787138851,0.013793358243709324,0.9995833333333334,0.0022438186696393685,0.0,0.0,0.0004166666666666667,0.002243818669639377,0.0,0.0,1.7949990331762282,0.14160752900923335,5.265754778623588,0.4897932713902347,9.89496571973743,2.1099624623216,0.9677083333333335,0.014531156660393172,0.012539305101632104,0.001643502895217602,0.05245348182054754,0.02457795741026037,1.9208228491196004,0.04861660688092352,0.1256490333597677,0.000682287988820862,0.41084607673372286,0.010886164543930711,0.012539305101632104,0.001643502895217602,1.0,0.0,7.860416666666667,0.05690208451561523,0.0,0.0,0.2781022704895355,0.011991540761516463,0.2777063737975585,0.011533118777998366,0.585129047110321,0.032165781168930055,1.548963267953756,0.018083001564202845
failure_only,30,1.1159054534039325,0.32479160426724824,0.004166666666666667,0.007095577652469333,2.7690959826073427,5.589956435506065,8.856276551345958,23.637998187011753,0.9609518849206348,0.051060651026525614,0.32226654272193933,0.030177434826130573,0.31836029272193933,0.02849978882046474,0.36189152394088203,0.034268586425944124,0.36189152394088203,0.034268586425944124,0.9947916666666666,0.008241683518688538,0.0,0.0,0.005208333333333333,0.008241683518688534,0.0,0.0,1.7007511432187912,0.1611695151902878,4.908340475053965,0.6543936534631203,9.923995982104945,2.8799949253386252,0.97125,0.011924240017711805,0.016682684948043425,0.0031925757503424657,0.09444545359357417,0.043278887099876304,1.8873287288813063,0.061733225274954784,0.1256490333597677,0.000682287988820862,0.4952879697734987,0.04381473206597993,0.016682684948043425,0.0031925757503424657,1.0,0.0,5.868124999999998,0.6665312688026472,0.0,0.0,0.2932987786137989,0.015099341817167305,0.2922857687454285,0.014314346714217337,0.6506568950588599,0.2903112398372518,1.2171711359483501,0.12762751640904235
partition_only,30,1.0609775722054966,0.0836200672472379,0.0018750000000000001,0.00488140604744166,1.5756830476149701,0.5637699586767448,4.079759082594297,0.4959836289247971,0.9721750992063491,0.0112444032144433,0.38792900271146763,0.05260985494940929,0.36167900271146763,0.03556798784008818,0.4218637500363232,0.04809007275230267,0.4218637500363232,0.04809007275230267,0.965,0.031149839485942788,0.0,0.0,0.035,0.031149839485942778,0.0,0.0,1.758754311484878,0.1976068434304443,4.9587083974828055,0.6880262021013169,9.532406682034436,1.7948333332413253,0.9700000000000002,0.014105259066508969,0.023520606714387292,0.0068382553226457145,0.16711178616066036,0.0671117542850775,1.8761341362961608,0.08351827299036842,0.1256490333597677,0.000682287988820862,0.6028549063188771,0.09305123179714941,0.023520606714387292,0.0068382553226457145,1.0,0.0,5.51875,0.22829189100798133,0.0,0.0,0.35898153679504835,0.03600337303091884,0.2756075149459722,0.011817835549978818,0.6292985792467302,0.08225015180286442,1.3980087320009866,0.048197164400419774
asymmetric_partition,30,1.0625331616057165,0.07138262502985773,0.0016666666666666668,0.0048232653761625935,1.5565750354714227,0.6141299325519711,4.165177030726649,0.6750394004327048,0.9716369047619048,0.012838687018525165,0.4160066151995329,0.06326663747995806,0.38147536519953307,0.041760532613893196,0.4489913308896562,0.05786995389165245,0.4489913308896562,0.05786995389165245,0.9539583333333332,0.03755146930843349,0.0,0.0,0.04604166666666667,0.037551469308433484,0.0,0.0,1.7515515872073528,0.18739045082230651,4.9610858660755035,0.6765045016617355,9.24455164169806,1.7906565565102956,0.9697916666666667,0.014885267231580205,0.02621669755008823,0.007397152002165599,0.18249272051535695,0.07443934456055055,1.8640002126779294,0.09134217061745893,0.1256490333597677,0.000682287988820862,0.651153486212294,0.10679423041559415,0.02621669755008823,0.007397152002165599,1.0,0.0,5.278541666666668,0.19366048559413343,0.0,0.0,0.37821133120350914,0.04097158818172486,0.2759720091978694,0.011807336987419877,0.6308861800197613,0.06988185755456366,1.390625919502539,0.03732379021242298
failure_partition,30,1.167340921471077,0.17923841941117788,0.0020833333333333333,0.004930066485916347,1.8328913699635982,0.8308018304926291,4.5517710879452755,0.931188172403922,0.9693561507936507,0.015123424457540186,0.44418267126853905,0.06540570365762263,0.40246392126853886,0.05030015026371718,0.47908132938863873,0.07593895403523646,0.47908132938863873,0.07593895403523646,0.9443750000000001,0.041468801023580776,0.0,0.0,0.055625,0.04146880102358077,0.0,0.0,1.6955931185360973,0.1430242467010996,4.96787566421817,0.5311274811519199,9.735009438445921,2.956097353054003,0.971875,0.011496149717767823,0.028746749470128365,0.008413527375109198,0.1838917572415947,0.0639034310572682,1.8073256391052033,0.11730827408276166,0.1256490333597677,0.000682287988820862,0.7141741338157618,0.11070721417341675,0.028746749470128365,0.008413527375109198,1.0,0.0,4.408541666666667,0.4710180776932971,0.0,0.0,0.3694108935524733,0.03896891410549462,0.2919416986818099,0.014437483019210783,0.6572291270310998,0.1390949204399418,1.1170069569566599,0.10752826937414224
staggered_rejoin,30,0.9953964644259922,0.10428632069102972,0.002708333333333333,0.005747130926722383,1.809588736564428,0.546001062500096,4.620219321693866,0.6973635569042569,0.9669903273809524,0.013935091944726155,0.32161383626038603,0.01558105602158888,0.31864508626038596,0.01548704613388033,0.3602863805376405,0.01816792291242143,0.3602863805376405,0.01816792291242143,0.9960416666666667,0.006551743830631839,0.0,0.0,0.003958333333333333,0.006551743830631829,0.0,0.0,1.7361802660390881,0.15794901275882803,5.043795106975886,0.6324446393564899,9.333466944466805,2.0629250672128223,0.9712500000000001,0.014306903927824506,0.01538422781229567,0.0026070216413025186,0.08790238435450827,0.03441292292088599,1.890764540836004,0.05970230950207927,0.1256490333597677,0.000682287988820862,0.4818882895280125,0.022662543544198124,0.01538422781229567,0.0026070216413025186,1.0,0.0,5.8741666666666665,0.2685451415601398,0.0,0.0,0.3105871628012087,0.015053462804928851,0.3092197022464334,0.014860747446659483,0.5942604247086419,0.08187269185892555,1.2603395707517242,0.04377952935922633
flapping_reconnect,30,0.9681871709883947,0.042776247824343375,0.0027083333333333334,0.007514453665363096,1.7415382418441345,0.48651120973936,4.2883164086973595,0.44223260544974285,0.9701344246031745,0.010920434994309142,0.3217059192463905,0.023341155598643016,0.31123716924639055,0.01840515188644869,0.3589162575050682,0.02420440010096429,0.3589162575050682,0.02420440010096429,0.9860416666666667,0.016900700593630896,0.0,0.0,0.013958333333333333,0.016900700593630892,0.0,0.0,1.7636795349332297,0.1702655193784009,4.953513838683949,0.47575746228554133,9.772820936740112,2.1957473025104974,0.9706250000000002,0.012411142507172058,0.01778845652664298,0.0035294522734497054,0.12690133287464947,0.05671509108708346,1.9026000057003363,0.05822033381033074,0.1256490333597677,0.000682287988820862,0.49370830736693794,0.039904002885985106,0.01778845652664298,0.0035294522734497054,1.0,0.0,6.796666666666667,0.12825687657544482,0.0,0.0,0.30873271992296236,0.01763863002466966,0.27706224960023124,0.011699657419296785,0.5983009211453527,0.03922145545050334,1.5579851374262943,0.01971464412391111
false_split_dropout,30,1.0074540030742896,0.04963795702066585,0.00625,0.008690272339422588,1.9768782370545837,0.7745928787374114,4.356519274667632,0.483800345067741,0.9636202876984127,0.011157295389589048,0.28721306759211085,0.014907772609181087,0.28627556759211087,0.014773000191070982,0.32350577445457857,0.017861088893991923,0.32350577445457857,0.017861088893991923,0.99875,0.0049476425362657995,0.0,0.0,0.0012500000000000002,0.0049476425362657995,0.0,0.0,1.7864272754552095,0.1502775620834271,5.15829099982235,0.5318113834480996,9.44986238228924,2.3567545639012315,0.9681250000000001,0.015591631035056388,0.013205065294245215,0.0019372335839526523,0.0620127839651005,0.0360305356758919,1.9174207094899642,0.054943463728951515,0.12564910085047998,0.0006822684822809686,0.4220711770403079,0.01623282592153364,0.013205065294245215,0.0019372335839526523,1.0,0.0,7.552499999999999,0.16699394949119165,0.0,0.0,0.28360447673223466,0.014539877339082215,0.2761850662004179,0.011270523211710988,0.5925653835685769,0.027034965925235917,1.45358416538996,0.02171834839923386
unmodelled_count,30,0.6444552961295673,0.03860928955705722,0.0060416666666666665,0.006551743830631828,1.6299597884114783,0.14386176196946876,4.308021986673409,0.5689616433414414,0.9724580853174605,0.010914659447378525,0.8947679190666605,0.029392137658976,0.5202366690666604,0.029301554775634554,0.6253343115750919,0.042129527793580326,0.6253343115750919,0.042129527793580326,0.500625,0.007279752170690065,0.0,0.0,0.499375,0.007279752170690062,0.0,0.0,7.0877163488770405,0.9305808303710658,24.264313472045725,4.213470668020849,37.79949066018846,7.307003471534476,0.6239583333333333,0.03045160664435003,0.3980003173604973,0.021166212598634913,0.995598828394513,0.003956190644722074,4.965952501691301,0.19093228208731045,0.12821683310463747,0.003232184305585667,3.1617794412904234,0.13049873403837442,0.3980003173604973,0.021166212598634913,1.0,0.0,7.745416666666667,0.06756426981441863,0.0,0.0,,,,,,,1.1537770431100702,0.0217557988758075
unmodelled_offset,30,0.947298764150924,0.037430859747660715,0.004791666666666667,0.006786040614542639,1.883469673184738,0.6443433820042547,4.504285061297829,0.5575279367012731,0.9685642361111111,0.012476788297759465,0.9925530245291277,0.02517281995246202,0.6498967745291278,0.021017025476177092,0.7992931655336047,0.032397572812178345,0.7992931655336047,0.032397572812178345,0.543125,0.014375000000000006,0.0,0.0,0.45687500000000003,0.014375,0.0,0.0,11.477181346202794,0.6963470003465891,36.477457782144114,3.762773599405854,55.70038413539448,9.805227152788113,0.5489583333333333,0.014441272354686145,0.13344152981365856,0.012611780069386165,0.4844200316511851,0.06037489007840722,2.9677735970581876,0.06486286436499529,0.12586452649672605,0.0009040114214081466,1.498443639346087,0.0822053177508271,0.13344152981365856,0.012611780069386165,1.0,0.0,7.855416666666668,0.048351289767928816,0.0,0.0,,,,,,,1.2340924958853672,0.06860595937846468
