scenario,comparison,pairs,effect_mean,ci95_lower,ci95_upper
stable_control,m9a6_minus_m9a7_loss,300,0.0030711408522122847,0.002676691200182657,0.0034725423916344487
stable_control,m9a7_minus_observer_regret,300,0.0005000000000000008,0.0002812500000000007,0.0007500000000000009
stable_control,m9a7_observer_regret_p95,300,0.004687500000000011,,0.004687500000000011
failure_only,m9a6_minus_m9a7_loss,300,0.02903233569446547,0.025540860239121603,0.032654228999156466
failure_only,m9a7_minus_observer_regret,300,0.001546875,0.00109375,0.00203125
failure_only,m9a7_observer_regret_p95,300,0.009375000000000022,,0.014062499999999978
partition_only,m9a6_minus_m9a7_loss,300,0.003237898458382335,0.0022848529993879704,0.004162843423771498
partition_only,m9a7_minus_observer_regret,300,0.024453124999999996,0.021687109374999996,0.027219140624999992
partition_only,m9a7_observer_regret_p95,300,0.07054687500000016,,0.07968750000000002
asymmetric_partition,m9a6_minus_m9a7_loss,300,0.00265105623357957,0.0016506803732479474,0.0036556435028215605
asymmetric_partition,m9a7_minus_observer_regret,300,0.03379687499999999,0.030624609375,0.036984375
asymmetric_partition,m9a7_observer_regret_p95,300,0.08437500000000003,,0.09843749999999996
failure_partition,m9a6_minus_m9a7_loss,300,0.04841057786800941,0.03889318956523357,0.06025144558943442
failure_partition,m9a7_minus_observer_regret,300,0.020624999999999998,0.018234374999999997,0.023093749999999993
failure_partition,m9a7_observer_regret_p95,300,0.06117187500000003,,0.07031250000000011
staggered_rejoin,m9a6_minus_m9a7_loss,300,0.01292579596536855,0.011214267670689533,0.014814124704779922
staggered_rejoin,m9a7_minus_observer_regret,300,0.0029062500000000004,0.0022656250000000007,0.0035781250000000023
staggered_rejoin,m9a7_observer_regret_p95,300,0.014062500000000033,,0.01874999999999999
flapping_reconnect,m9a6_minus_m9a7_loss,300,0.0025964038003336745,0.002088058075183577,0.0031097865072706693
flapping_reconnect,m9a7_minus_observer_regret,300,0.008515624999999999,0.007125,0.00990625
flapping_reconnect,m9a7_observer_regret_p95,300,0.03281250000000002,,0.037734375000000084
false_split_dropout,m9a6_minus_m9a7_loss,300,0.003023853539014969,0.0025869650092297243,0.003469201337663562
false_split_dropout,m9a7_minus_observer_regret,300,0.001687499999999999,0.0011718749999999993,0.0022499999999999985
false_split_dropout,m9a7_observer_regret_p95,300,0.014062499999999978,,0.014062499999999983
admission_censoring_control,m9a6_minus_m9a7_loss,300,0.06600442630858536,0.06217071223764302,0.07000966285802904
admission_censoring_control,m9a7_minus_observer_regret,300,0.013732494995677271,0.012090015638814901,0.015433082297315171
admission_censoring_control,m9a7_observer_regret_p95,300,0.04242187500000004,,0.051562499999999956
unmodelled_count,m9a6_minus_m9a7_loss,300,-0.007029066078574947,-0.009758919864207018,-0.004329871839012567
unmodelled_offset,m9a6_minus_m9a7_loss,300,0.0005529427917885114,-0.00024110418036618064,0.001365502322590408
raw_channel_colluding_ramp,m9a6_minus_m9a7_loss,300,-2.3973134325436707,-2.4031364409227756,-2.391372482149038
