scenario,seed,runtime_seconds,motion_distance_difference,baseline_decision_loss,baseline_mean_base_error,baseline_position_rmse,baseline_best_hypothesis_rmse,baseline_selection_rate,baseline_mixture_rate,baseline_abstention_rate,baseline_wrong_mode_action_rate,baseline_mean_nees,baseline_p95_nees,baseline_max_nees,baseline_coverage95_rate,baseline_mean_residual_mass,baseline_max_residual_mass,baseline_mean_model_nis,baseline_mean_assignment_entropy,baseline_mean_predicted_risk,baseline_mean_predicted_wrong_risk,baseline_mean_credible_modes,baseline_mean_visible_agents,baseline_movement_distance,baseline_mean_quarantined_agents,baseline_quarantine_rate,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_residual_mass,candidate_mean_admission_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_measurement_eligible_agents,candidate_mean_belief_admitted_agents,candidate_mean_belief_censored_measurement_agents,candidate_belief_censoring_rate,candidate_mean_robust_excluded_measurement_agents,candidate_mean_unreachable_measurement_agents,candidate_mean_covariance_floored_agents,candidate_mean_model_rejected_measurement_agents,candidate_covariance_floor_rate,candidate_mean_excluded_secondary_probability,candidate_mean_unreachable_secondary_probability,candidate_mean_quarantined_agents,candidate_quarantine_rate,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
stable_control,16000,1.6785065829753876,0.0,0.29544502383522564,0.29544502383522564,0.3293319500361199,0.3293319500361199,1.0,0.0,0.0,0.0,1.9136019289211952,5.474583004689997,11.100450431505791,0.95625,0.010620356259594833,0.020159462672664108,2.0211128623386045,0.12763587367045412,0.4025611503014172,0.010620356259594833,1.0,7.78125,183.44215180175118,0.0,0.0,0.2942990688291639,0.2942990688291639,0.328442181858291,0.328442181858291,1.0,0.0,0.0,0.0,1.9248244526231626,5.639894874822463,0.95625,0.010618337516344766,0.02032379628481329,0.01061833751634476,0.0,2.0459744204586863,0.12499999999999996,7.9,7.78125,0.11875,0.075,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.44215180175118,0.2942990688291639,0.2914800249403168,0.5842457408019708
stable_control,16001,1.683236707933247,0.0,0.2797370483374126,0.2797370483374126,0.31715680285825537,0.31715680285825537,1.0,0.0,0.0,0.0,1.835852725746244,5.726323414946566,12.305644095518034,0.9625,0.015527341224609064,0.06907847805194234,1.93475627103173,0.1266161785647849,0.4271073037839347,0.015527341224609064,1.0,7.8875,139.71069687104782,0.0,0.0,0.2754308020063509,0.2754308020063509,0.31223105151012315,0.31223105151012315,1.0,0.0,0.0,0.0,1.8019351865579682,5.056350845896718,0.9625,0.014914066588110956,0.06907793061698375,0.014914066588110956,0.0,1.947560654955827,0.12499999999999996,8.0,7.8875,0.1125,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.71069687104782,0.2754308020063509,0.2754308020063509,0.5478733381106219
stable_control,16002,1.715173666132614,0.0,0.2642543686853596,0.2642543686853596,0.2991466695045935,0.2991466695045935,1.0,0.0,0.0,0.0,1.6218798132096612,5.550909269007454,8.061750458028063,0.95625,0.01255117821043547,0.03626493474126691,1.9470039660315464,0.12763587366294213,0.4099955773990528,0.01255117821043547,1.0,7.825,131.30608443150197,0.0,0.0,0.2641928553488201,0.2641928553488201,0.29938585749845736,0.29938585749845736,1.0,0.0,0.0,0.0,1.6400702519750454,5.550909232316713,0.95625,0.012116961261527706,0.036264917648674566,0.012116961261527701,0.0,1.9535772829645375,0.12499999999999996,7.925,7.825,0.1,0.075,0.0,0.075,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,131.30608443150197,0.2641928553488201,0.26346096551095105,0.5410322305688816
stable_control,16003,1.6945338749792427,0.0,0.28516408279628885,0.28516408279628885,0.32777783744037026,0.32777783744037026,1.0,0.0,0.0,0.0,1.860409922413981,5.2143415634347505,13.496354998565277,0.95625,0.014969134714413468,0.06428542021291983,1.9000340908635258,0.12601969518176873,0.42320136959042626,0.014969134714413468,1.0,7.91875,151.69185861932687,0.0,0.0,0.28270683497906646,0.28270683497906646,0.32266012812975237,0.32266012812975237,1.0,0.0,0.0,0.0,1.8510076832598656,5.626423410222462,0.95625,0.014976040831985463,0.06428542046760755,0.014976040831985457,0.0,1.9137856335884642,0.12499999999999996,8.0,7.91875,0.08125,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.69185861932687,0.28270683497906646,0.28270683497906646,0.5579907766644362
stable_control,16004,1.7010725419968367,0.0,0.2805839454638844,0.2805839454638844,0.31392882056864013,0.31392882056864013,1.0,0.0,0.0,0.0,1.7823578540527862,5.134743232776732,11.124198508671773,0.96875,0.012790963570206444,0.06330607180246928,1.926301261321259,0.1250000000085066,0.4105727602673198,0.012790963570206444,1.0,7.9125,178.65329028840353,0.0,0.0,0.27482752736121735,0.27482752736121735,0.3083661472842635,0.3083661472842635,1.0,0.0,0.0,0.0,1.7470867383403017,5.029244054198276,0.96875,0.010832366530804716,0.019489247366075713,0.010832366530804717,0.0,1.9346912467040493,0.12499999999999996,8.0,7.9125,0.0875,0.06875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.65329028840353,0.27482752736121735,0.27482752736121735,0.5161701067101173
stable_control,16005,1.6995950418058783,0.0,0.2888846956630492,0.2888846956630492,0.3219369715120114,0.3219369715120114,1.0,0.0,0.0,0.0,1.8594166882285612,4.7462817482797215,9.85251387723285,0.9625,0.012821561724575044,0.05267375691571641,1.935734799509619,0.12500000008705497,0.40998198386616364,0.012821561724575044,1.0,7.8375,137.79844614485495,0.0,0.0,0.28216457148426954,0.28216457148426954,0.3161309918869632,0.3161309918869632,1.0,0.0,0.0,0.0,1.803264467710195,4.670224583339985,0.96875,0.012090856554644406,0.05267183381844465,0.0120908565546444,0.0,1.9482819058038552,0.12500000000000006,7.95,7.8375,0.1125,0.0625,0.0,0.05,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,137.79844614485495,0.28216457148426954,0.28138604599040196,0.6225615486096184
stable_control,16006,1.6864550840109587,0.0,0.2853241513505753,0.2853241513505753,0.3259936518889061,0.3259936518889061,1.0,0.0,0.0,0.0,1.8741776578398046,5.690318038792956,10.851641022858738,0.9625,0.011876588679331326,0.04354885742949388,1.899525785731554,0.126616178581182,0.40514963176253094,0.011876588679331326,1.0,7.85625,154.7811974155892,0.0,0.0,0.27958748578330156,0.27958748578330156,0.3177043351836438,0.3177043351836438,1.0,0.0,0.0,0.0,1.8395783401234609,5.652417728666957,0.96875,0.014747710013462489,0.06910207716545769,0.014747710013462489,0.0,1.9338514754538685,0.12499999999999996,8.0,7.85625,0.14375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.7811974155892,0.27958748578330156,0.27958748578330156,0.5391815203230808
stable_control,16007,1.6799120830837637,0.0,0.264261187273264,0.25957368727326396,0.2904760952337159,0.2904760952337159,0.99375,0.0,0.00625,0.0,1.527670420763827,4.625985057840406,7.1922632309261045,0.98125,0.016416943130333185,0.11152286389199517,1.907111913418411,0.12661617950270748,0.4382756323760476,0.016416943130333185,1.0,7.8375,138.77056076150376,0.0,0.0,0.26137881807613444,0.25669131807613443,0.2884990059654587,0.2884990059654587,0.99375,0.0,0.00625,0.0,1.5194444198048802,4.626495311103032,0.98125,0.0184265058823675,0.11152526906452165,0.0184265058823675,0.0,1.9302193598524748,0.12499999999999996,7.95,7.8375,0.1125,0.075,0.0,0.05,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,138.77056076150376,0.25669131807613443,0.2556963347033211,0.5446720164577161
stable_control,16008,1.700138083891943,0.0,0.27360641282079845,0.27360641282079845,0.30708633440922833,0.30708633440922833,1.0,0.0,0.0,0.0,1.7214088980305178,5.447345088123046,8.515969177334794,0.96875,0.013318874563694339,0.04600677649238227,1.9901119019821223,0.12763589844159162,0.41555737520704883,0.013318874563694339,1.0,7.85625,176.44529727986028,0.00625,0.00625,0.26364631774155967,0.26364631774155967,0.29565440262644743,0.29565440262644743,1.0,0.0,0.0,0.0,1.6257178301221706,4.662117248598271,0.9875,0.013319049973354924,0.04600677819932919,0.013319049973354914,0.0,1.9942956132363947,0.12499999999999996,8.0,7.85625,0.14375,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,176.44529727986028,0.26364631774155967,0.26364631774155967,0.565644196735857
stable_control,16009,1.6945618749596179,0.0,0.27113504867350346,0.27113504867350346,0.30478483381482296,0.30478483381482296,1.0,0.0,0.0,0.0,1.6788406309894044,5.579683732353406,9.769522948558368,0.95625,0.012006815799720936,0.04325074762122827,1.8687909912813623,0.125,0.40492859043184143,0.012006815799720936,1.0,7.88125,144.8523103953849,0.0,0.0,0.2672577539641637,0.2672577539641637,0.3026029082702771,0.3026029082702771,1.0,0.0,0.0,0.0,1.6702116633191575,5.5798613501539975,0.95625,0.012006757518721555,0.043250747360852215,0.012006757518721553,0.0,1.8821005190492393,0.12499999999999996,7.975,7.88125,0.09375,0.08125,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.8523103953849,0.2672577539641637,0.2664997603602403,0.5371423842078749
