scenario,comparison,pairs,effect_mean,ci95_lower,ci95_upper
stable_control,m9a6_minus_m9a7_loss,2,0.004406160893726002,0.00021859931936313304,0.008593722468088871
stable_control,m9a7_minus_observer_regret,2,0.0,0.0,0.0
stable_control,m9a7_observer_regret_p95,2,0.0,,0.0
failure_only,m9a6_minus_m9a7_loss,2,0.0271551174061313,0.004347224294422691,0.04996301051783991
failure_only,m9a7_minus_observer_regret,2,0.0,0.0,0.0
failure_only,m9a7_observer_regret_p95,2,0.0,,0.0
partition_only,m9a6_minus_m9a7_loss,2,0.0007032771912544034,-0.007343664702655461,0.008750219085164268
partition_only,m9a7_minus_observer_regret,2,0.025781250000000006,0.0,0.05156250000000001
partition_only,m9a7_observer_regret_p95,2,0.04898437500000001,,0.05156250000000001
asymmetric_partition,m9a6_minus_m9a7_loss,2,-0.0011068017060145152,-0.006543189253763293,0.0043295858417342625
asymmetric_partition,m9a7_minus_observer_regret,2,0.04687500000000003,0.0,0.09375000000000006
asymmetric_partition,m9a7_observer_regret_p95,2,0.08906250000000004,,0.09375000000000006
failure_partition,m9a6_minus_m9a7_loss,2,0.05020669429803526,0.0015744789812691673,0.09883890961480135
failure_partition,m9a7_minus_observer_regret,2,0.01874999999999999,0.0,0.03749999999999998
failure_partition,m9a7_observer_regret_p95,2,0.035624999999999976,,0.03749999999999998
staggered_rejoin,m9a6_minus_m9a7_loss,2,0.004766252313262359,0.0021885704400679273,0.007343934186456791
staggered_rejoin,m9a7_minus_observer_regret,2,0.0,0.0,0.0
staggered_rejoin,m9a7_observer_regret_p95,2,0.0,,0.0
flapping_reconnect,m9a6_minus_m9a7_loss,2,0.004886119749994006,0.00017673869284012822,0.009595500807147883
flapping_reconnect,m9a7_minus_observer_regret,2,0.0,0.0,0.0
flapping_reconnect,m9a7_observer_regret_p95,2,0.0,,0.0
false_split_dropout,m9a6_minus_m9a7_loss,2,0.006018509217145279,0.004418805409975746,0.007618213024314813
false_split_dropout,m9a7_minus_observer_regret,2,0.0,0.0,0.0
false_split_dropout,m9a7_observer_regret_p95,2,0.0,,0.0
admission_censoring_control,m9a6_minus_m9a7_loss,2,0.052837977061209934,0.03416895211509391,0.07150700200732596
admission_censoring_control,m9a7_minus_observer_regret,2,0.011718749999999972,0.0,0.023437499999999944
admission_censoring_control,m9a7_observer_regret_p95,2,0.022265624999999945,,0.023437499999999944
unmodelled_count,m9a6_minus_m9a7_loss,2,-0.007662853804370762,-0.019345021137451845,0.004019313528710322
unmodelled_offset,m9a6_minus_m9a7_loss,2,-0.000680563164955239,-0.0024518356107938732,0.0010907092808833951
raw_channel_colluding_ramp,m9a6_minus_m9a7_loss,2,-2.409156792241951,-2.4318990259554463,-2.3864145585284557
