scenario,seed,runtime_seconds,motion_distance_difference,baseline_decision_loss,baseline_mean_base_error,baseline_position_rmse,baseline_best_hypothesis_rmse,baseline_selection_rate,baseline_mixture_rate,baseline_abstention_rate,baseline_wrong_mode_action_rate,baseline_mean_nees,baseline_p95_nees,baseline_max_nees,baseline_coverage95_rate,baseline_mean_residual_mass,baseline_max_residual_mass,baseline_mean_model_nis,baseline_mean_assignment_entropy,baseline_mean_predicted_risk,baseline_mean_predicted_wrong_risk,baseline_mean_credible_modes,baseline_mean_visible_agents,baseline_movement_distance,baseline_mean_quarantined_agents,baseline_quarantine_rate,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_residual_mass,candidate_mean_admission_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_measurement_eligible_agents,candidate_mean_belief_admitted_agents,candidate_mean_belief_censored_measurement_agents,candidate_belief_censoring_rate,candidate_mean_robust_excluded_measurement_agents,candidate_mean_unreachable_measurement_agents,candidate_mean_covariance_floored_agents,candidate_mean_model_rejected_measurement_agents,candidate_covariance_floor_rate,candidate_mean_excluded_secondary_probability,candidate_mean_unreachable_secondary_probability,candidate_mean_quarantined_agents,candidate_quarantine_rate,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
stable_control,15900,1.4341427909675986,0.0,0.28308143669939173,0.28308143669939173,0.3186214948868727,0.3186214948868727,1.0,0.0,0.0,0.0,1.7476153050768055,4.922070766489823,9.351859418758025,0.975,0.012211396927294688,0.062137261033097246,1.9405132065430828,0.12661618424699628,0.411099781418956,0.012211396927294688,1.0,7.76875,163.40077822714204,0.00625,0.00625,0.27448771423130286,0.27448771423130286,0.3115564950044199,0.3115564950044199,1.0,0.0,0.0,0.0,1.6906339946214666,5.015782548529452,0.975,0.011338257946598035,0.03474481932381279,0.011338257946598037,0.0,1.965716796349584,0.12499999999999996,7.9,7.76875,0.13125,0.1125,0.0,0.1,0.0,0.0,0.0,0.0,1.1221e-319,0.00625,0.00625,163.40077822714204,0.27448771423130286,0.27064734026616566,0.5085218005775849
stable_control,15901,1.448245625011623,0.0,0.26167386109998797,0.26167386109998797,0.298938171345096,0.298938171345096,1.0,0.0,0.0,0.0,1.6126693055415735,4.861381385212971,9.032316055972078,0.98125,0.01157971284682743,0.03480302841804517,1.9148274060448585,0.12499999999999996,0.40459586401954883,0.01157971284682743,1.0,7.875,165.58887804732905,0.0,0.0,0.26145526178062484,0.26145526178062484,0.2967408012932942,0.2967408012932942,1.0,0.0,0.0,0.0,1.6077242264435185,4.799923248268084,0.99375,0.01157971266008471,0.03480302841804517,0.011579712660084705,0.0,1.9386107696362274,0.12499999999999996,7.975,7.875,0.1,0.06875,0.0,0.025,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,165.58887804732905,0.26145526178062484,0.2609459112139947,0.5522037465431001
failure_only,15900,1.0252229580655694,0.0,0.3394668875479126,0.3394668875479126,0.38347937232015317,0.38347937232015317,1.0,0.0,0.0,0.0,1.5972061173139502,5.031890103214364,6.773785028566613,0.98125,0.01603142819867388,0.08633119648215193,1.9063199107195168,0.12661618424699628,0.5295634684140168,0.01603142819867388,1.0,4.96875,163.483582965464,1.68125,0.675,0.2895038770300727,0.2895038770300727,0.3250265928427211,0.3250265928427211,1.0,0.0,0.0,0.0,1.5877257726608265,4.370910956035233,0.98125,0.01181159005502444,0.03474481932381279,0.011811590055024442,0.0,1.9555130145185167,0.12499999999999996,7.025,4.96875,2.05625,0.7625,0.0,0.1,0.0,0.0,0.0,0.0,1.1221e-319,1.68125,0.675,163.483582965464,0.2895038770300727,0.2856649308869863,0.6687231901285581
failure_only,15901,1.2539312499575317,0.0,0.2932100120128735,0.2932100120128735,0.33130810841263986,0.33130810841263986,1.0,0.0,0.0,0.0,1.6592481450504024,5.104649609307957,9.032316055972078,0.9625,0.011379818333039568,0.03480302841804517,1.871910420776113,0.12499999999999996,0.43324046462181187,0.011379818333039568,1.0,6.525,161.44455428623377,0.34375,0.225,0.2888627877184508,0.2888627877184508,0.32484603871818946,0.32484603871818946,1.0,0.0,0.0,0.0,1.6451200452558303,4.375959978797446,0.975,0.011541459551683963,0.03480302841804517,0.011541459551683963,0.0,1.9375983371028647,0.12499999999999996,7.1,6.525,0.575,0.33125,0.0,0.025,0.0,0.0,0.0,0.0,0.00625,0.34375,0.225,161.44455428623377,0.2888627877184508,0.2883536644199598,0.565595194364073
partition_only,15900,1.1999324581120163,0.0,0.4279326745548772,0.3810576745548772,0.4477190137702045,0.4477190137702045,0.9375,0.0,0.0625,0.0,1.7877125019521531,5.013188639779499,6.6395046632056545,0.975,0.028536330812313177,0.29989718721690717,1.943862295665371,0.12661618424699628,0.6705152136973244,0.028536330812313177,1.0,5.3625,164.39361078953942,0.00625,0.00625,0.41918245546971294,0.36761995546971293,0.4311941134402395,0.4311941134402395,0.93125,0.0,0.06875,0.0,1.682076997010443,4.641354959206752,0.98125,0.030626787678881162,0.3014752481830174,0.030626787678881162,0.0,1.9832846185929067,0.12499999999999996,5.475,5.3625,0.1125,0.09375,0.0,2.525,0.0,0.0,0.0,0.0,0.4375,0.00625,0.00625,164.39361078953942,0.36761995546971293,0.271466764241977,0.6297840718738147
partition_only,15901,1.2023517091292888,0.0,0.3841850732043817,0.3841850732043817,0.44891175375056447,0.44891175375056447,1.0,0.0,0.0,0.0,1.8410799901808779,5.597130884015925,9.032316055972078,0.96875,0.01504016621788622,0.07953396028535997,1.7523693562179055,0.12499999999999996,0.5443355713720033,0.01504016621788622,1.0,5.4625,165.9769094001547,0.0,0.0,0.3915287379070372,0.3915287379070372,0.4567602096698281,0.4567602096698281,1.0,0.0,0.0,0.0,1.9021871564665431,5.606729690695641,0.9625,0.015039747201176564,0.07954907396669975,0.015039747201176562,0.0,1.794124928345281,0.12499999999999996,5.53125,5.4625,0.06875,0.05625,0.0,2.46875,0.0,0.0,0.0,0.0,0.44375,0.0,0.0,165.9769094001547,0.3915287379070372,0.25884062432028543,0.7736440969404311
asymmetric_partition,15900,1.174429832957685,0.0,0.5399283047476328,0.46024080474763274,0.5623490586449245,0.5623490586449245,0.89375,0.0,0.10625,0.0,1.7605241484485887,4.69731625435109,6.6395046632056545,0.98125,0.0364841399754217,0.289475821961123,1.8944580076215647,0.12661618424699628,0.830736366096478,0.0364841399754217,1.0,4.8875,165.73990771123178,0.00625,0.00625,0.5355987189058985,0.44184871890589844,0.5417761523317352,0.5417761523317352,0.875,0.0,0.125,0.0,1.6720091771958316,4.352687156176408,0.9875,0.04090403327133512,0.2802641281284689,0.04090403327133513,0.0,1.9601099393914847,0.12499999999999996,4.99375,4.8875,0.10625,0.09375,0.0,3.00625,0.0,0.0,0.0,0.0,0.4375,0.00625,0.00625,165.73990771123178,0.44184871890589844,0.26978487030676995,0.6523624270161883
asymmetric_partition,15901,1.217854166869074,0.0,0.3956301366246836,0.3956301366246836,0.46590271785237375,0.46590271785237375,1.0,0.0,0.0,0.0,1.7770576293889817,5.341463736176405,9.032316055972078,0.95625,0.015494608738735167,0.07714574800425678,1.7304575903285362,0.12499999999999996,0.5643719585046282,0.015494608738735167,1.0,5.30625,167.79019756497044,0.0,0.0,0.4021733258784469,0.4021733258784469,0.4744183141422219,0.4744183141422219,1.0,0.0,0.0,0.0,1.8556241875165989,5.343552940254382,0.95625,0.015877408869816954,0.07714483863054034,0.01587740886981695,0.0,1.7953611584849547,0.12499999999999996,5.38125,5.30625,0.075,0.0625,0.0,2.61875,0.0,0.0,0.0,0.0,0.44375,0.0,0.0,167.79019756497044,0.4021733258784469,0.25955834601770406,0.7356029148966987
failure_partition,15900,0.904356500133872,0.0,0.4963285209308802,0.4541410209308802,0.5750931741282573,0.5750931741282573,0.94375,0.0,0.05625,0.0,1.6783281947461628,4.836425474605861,6.6395046632056545,0.975,0.033441839122233745,0.29989718721690717,1.8883143015713437,0.12661618424699628,0.7894561581250563,0.033441839122233745,1.0,3.9,162.09817075585096,1.65625,0.7,0.39748961131607885,0.3599896113160789,0.4158579064492589,0.4158579064492589,0.95,0.0,0.05,0.0,1.6829087038980888,4.7921477355442805,0.96875,0.023235448978890887,0.3014752481830174,0.023235448978890894,0.0,1.9557718575269423,0.12499999999999996,5.43125,3.9,1.53125,0.7125,0.0,1.63125,0.0,0.0,0.0,0.0,0.4375,1.65625,0.7,162.09817075585096,0.3599896113160789,0.28486961040486514,0.709285477761324
failure_partition,15901,1.0719573330134153,0.0,0.33659012344982486,0.33659012344982486,0.38280529748210945,0.38280529748210945,1.0,0.0,0.0,0.0,1.526527060701056,4.351855675205577,9.032316055972078,0.98125,0.016842085042216532,0.0710028290347059,1.8218959019266492,0.12499999999999996,0.5372359570036961,0.016842085042216532,1.0,4.93125,159.83298476303034,0.3875,0.21875,0.3350156444685557,0.3350156444685557,0.38170593260808655,0.38170593260808655,1.0,0.0,0.0,0.0,1.5506613151413222,4.3144684078898,0.9875,0.018546500353200705,0.08799268353868406,0.018546500353200705,0.0,1.8738397237258482,0.12499999999999996,5.4875,4.93125,0.55625,0.29375,0.0,1.575,0.0,0.0,0.0,0.0,0.44375,0.3875,0.21875,159.83298476303034,0.3350156444685557,0.28683321261943034,0.5696585469483902
