scenario,runs,baseline_decision_loss_mean,baseline_decision_loss_std,baseline_abstention_rate_mean,baseline_abstention_rate_std,baseline_wrong_mode_action_rate_mean,baseline_wrong_mode_action_rate_std,candidate_decision_loss_mean,candidate_decision_loss_std,candidate_position_rmse_mean,candidate_position_rmse_std,candidate_best_hypothesis_rmse_mean,candidate_best_hypothesis_rmse_std,candidate_selection_rate_mean,candidate_selection_rate_std,candidate_mixture_rate_mean,candidate_mixture_rate_std,candidate_abstention_rate_mean,candidate_abstention_rate_std,candidate_wrong_mode_action_rate_mean,candidate_wrong_mode_action_rate_std,candidate_mean_nees_mean,candidate_mean_nees_std,candidate_p95_nees_mean,candidate_p95_nees_std,candidate_coverage95_rate_mean,candidate_coverage95_rate_std,candidate_mean_residual_mass_mean,candidate_mean_residual_mass_std,candidate_max_residual_mass_mean,candidate_max_residual_mass_std,candidate_mean_model_residual_mass_mean,candidate_mean_model_residual_mass_std,candidate_mean_admission_residual_mass_mean,candidate_mean_admission_residual_mass_std,candidate_mean_model_nis_mean,candidate_mean_model_nis_std,candidate_mean_assignment_entropy_mean,candidate_mean_assignment_entropy_std,candidate_mean_measurement_eligible_agents_mean,candidate_mean_measurement_eligible_agents_std,candidate_mean_belief_admitted_agents_mean,candidate_mean_belief_admitted_agents_std,candidate_mean_belief_censored_measurement_agents_mean,candidate_mean_belief_censored_measurement_agents_std,candidate_belief_censoring_rate_mean,candidate_belief_censoring_rate_std,candidate_mean_robust_excluded_measurement_agents_mean,candidate_mean_robust_excluded_measurement_agents_std,candidate_mean_unreachable_measurement_agents_mean,candidate_mean_unreachable_measurement_agents_std,candidate_mean_covariance_floored_agents_mean,candidate_mean_covariance_floored_agents_std,candidate_mean_model_rejected_measurement_agents_mean,candidate_mean_model_rejected_measurement_agents_std,candidate_covariance_floor_rate_mean,candidate_covariance_floor_rate_std,candidate_mean_excluded_secondary_probability_mean,candidate_mean_excluded_secondary_probability_std,candidate_mean_unreachable_secondary_probability_mean,candidate_mean_unreachable_secondary_probability_std,baseline_mean_quarantined_agents_mean,baseline_mean_quarantined_agents_std,candidate_mean_quarantined_agents_mean,candidate_mean_quarantined_agents_std,baseline_quarantine_rate_mean,baseline_quarantine_rate_std,candidate_quarantine_rate_mean,candidate_quarantine_rate_std,motion_distance_difference_mean,motion_distance_difference_std,observer_loss_mean,observer_loss_std,global_loss_mean,global_loss_std,hindsight_floor_loss_mean,hindsight_floor_loss_std,runtime_seconds_mean,runtime_seconds_std,observer_regret_p95,observer_regret_max,observer_regret_over_0_20_rate
stable_control,2,0.27237764889968985,0.01070378779970188,0.0,0.0,0.0,0.0,0.2679714880059638,0.006516226225339011,0.30414864814885706,0.0074078468555628385,0.30414864814885706,0.0074078468555628385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6491791105324927,0.04145488408897402,4.907852898398768,0.1079296501306839,0.984375,0.009375000000000022,0.011458985303341373,0.00012072735674333729,0.03477392387092898,2.9104547116187707e-05,0.01145898530334137,0.00012072735674333382,0.0,0.0,1.9521637829929057,0.013553013356678356,0.12499999999999996,0.0,7.9375,0.037499999999999645,7.821875,0.05312500000000009,0.115625,0.015625,0.09062500000000001,0.021875,0.0,0.0,0.0625,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.0,0.0,0.2679714880059638,0.006516226225339011,0.2657966257400802,0.004850714526085487,0.5303627735603424,0.02184097298275761,1.4411942079896107,0.007051417022012174,0.0,0.0,0.0
failure_only,2,0.31633844978039305,0.02312843776751955,0.0,0.0,0.0,0.0,0.28918333237426175,0.00032054465581093927,0.3249363157804553,9.02770622658311e-05,0.3249363157804553,9.02770622658311e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6164229089583284,0.028697136297501924,4.373435467416339,0.0025245113811065423,0.9781249999999999,0.003124999999999989,0.011676524803354201,0.00013506525167023865,0.03477392387092898,2.9104547116187707e-05,0.011676524803354203,0.00013506525167023952,0.0,0.0,1.9465556758106906,0.008957338707826001,0.12499999999999996,0.0,7.0625,0.037499999999999645,5.746875,0.7781250000000002,1.3156249999999998,0.7406250000000001,0.546875,0.21562499999999998,0.0,0.0,0.0625,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,1.0125,0.66875,1.0125,0.66875,0.45,0.22500000000000003,0.45,0.22500000000000003,0.0,0.0,0.28918333237426175,0.00032054465581093927,0.28700929765347305,0.0013443667664867487,0.6171591922463155,0.05156399788224253,1.1395771040115505,0.11435414594598114,0.0,0.0,0.0
partition_only,2,0.40605887387962947,0.021873800675247745,0.03125,0.03125,0.0,0.0,0.40535559668837506,0.01382685878133788,0.4439771615550338,0.012783048114794304,0.4439771615550338,0.012783048114794304,0.965625,0.03437499999999999,0.0,0.0,0.034375,0.034375,0.0,0.0,1.792132076738493,0.11005507972805006,5.124042324951196,0.4826873657444444,0.971875,0.009374999999999967,0.022833267440028865,0.007793520238852299,0.19051216107485858,0.11096308710815883,0.02283326744002886,0.0077935202388523,0.0,0.0,1.8887047734690938,0.0945798451238129,0.12499999999999996,0.0,5.503125,0.028125000000000178,5.4125,0.050000000000000266,0.09062500000000001,0.021875,0.075,0.01875,0.0,0.0,2.496875,0.028124999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440625,0.003124999999999989,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.0,0.0,0.3795743466883751,0.011954391218662125,0.2651536942811312,0.006313069960845796,0.7017140844071229,0.07193001253330822,1.2011420836206526,0.0012096255086362362,0.04898437500000001,0.05156250000000001,0.0
asymmetric_partition,2,0.4677792206861582,0.07214908406147458,0.053125,0.053125,0.0,0.0,0.4688860223921727,0.0667126965137258,0.5080972332369785,0.03367891909475662,0.5080972332369785,0.03367891909475662,0.9375,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,1.7638166823562154,0.0918075051603836,4.848120048215395,0.49543289203898677,0.971875,0.015625,0.02839072107057604,0.012513312200759083,0.17870448337950462,0.10155964474896428,0.02839072107057604,0.012513312200759089,0.0,0.0,1.8777355489382197,0.082374390453265,0.12499999999999996,0.0,5.1875,0.19374999999999964,5.096875000000001,0.2093750000000001,0.090625,0.015625,0.078125,0.015625,0.0,0.0,2.8125,0.1937500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440625,0.003124999999999989,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.0,0.0,0.4220110223921727,0.019837696513725772,0.264671608162237,0.0051132621445329485,0.6939826709564435,0.04162024394025521,1.1961419999133795,0.021712166955694556,0.08906250000000004,0.09375000000000006,0.0
failure_partition,2,0.41645932219035253,0.07986919874052767,0.028125,0.028125,0.0,0.0,0.3662526278923173,0.031236983423761577,0.3987819195286727,0.017075986920586178,0.3987819195286727,0.017075986920586178,0.975,0.025000000000000022,0.0,0.0,0.025,0.025,0.0,0.0,1.6167850095197056,0.06612369437838328,4.553308071717041,0.2388396638272403,0.978125,0.009375000000000022,0.020890974666045795,0.002344474312845091,0.19473396586085073,0.10674128232216668,0.0208909746660458,0.0023444743128450945,0.0,0.0,1.9148057906263953,0.04096606690054705,0.12499999999999996,0.0,5.459375,0.028124999999999734,4.415625,0.5156250000000002,1.04375,0.4875,0.503125,0.209375,0.0,0.0,1.603125,0.028125000000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440625,0.003124999999999989,1.021875,0.634375,1.021875,0.634375,0.459375,0.24062499999999998,0.459375,0.24062499999999998,0.0,0.0,0.3475026278923173,0.012486983423761588,0.28585141151214777,0.0009818011072826038,0.6394720123548572,0.06981346540646688,0.9881569165736437,0.08380041643977165,0.035624999999999976,0.03749999999999998,0.0
staggered_rejoin,2,0.30368405319932035,0.006602386768270407,0.0,0.0,0.0,0.0,0.298917800886058,0.004024704895075976,0.3371915946506832,0.0042802037715970465,0.3371915946506832,0.0042802037715970465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6052504634789702,0.020910092182091833,4.654208581960088,0.050629839607910565,0.9781249999999999,0.003124999999999989,0.013292794899992456,9.798552834236387e-05,0.05209221531691327,0.0004013892913567463,0.013292794899992456,9.798552834236474e-05,0.0,0.0,1.9579940415440606,0.009748696970450554,0.12499999999999996,0.0,6.606249999999999,0.03750000000000009,5.778125,0.109375,0.828125,0.14687499999999998,0.41874999999999996,0.0062500000000000056,0.0,0.0,0.0625,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.521875,0.140625,0.521875,0.140625,0.27812499999999996,0.009374999999999994,0.27812499999999996,0.009374999999999994,0.0,0.0,0.298917800886058,0.004024704895075976,0.29671179558163585,0.0023232220315485275,0.5374798184884011,0.01409790744038203,1.1206874165218323,0.013450291473418474,0.0,0.0,0.0
flapping_reconnect,2,0.310451867092411,0.013955413927390331,0.0,0.0,0.0,0.0,0.305565747342417,0.009246032870236454,0.35463232059883204,0.00912778396780739,0.35463232059883204,0.00912778396780739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785876702565028,0.022296989908740406,4.900765773162851,0.05579615316159847,0.9781249999999999,0.003124999999999989,0.011652936043073506,0.0001645503854215873,0.034946710260980784,0.00020189093716799222,0.011652936043073507,0.00016455038542158816,0.0,0.0,1.887651492418374,0.0006891319640308646,0.12499999999999996,0.0,6.915625,0.034375000000000266,6.7875,0.050000000000000266,0.128125,0.015624999999999993,0.1,0.025,0.0,0.0,1.084375,0.03437499999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.0,0.0,0.305565747342417,0.009246032870236454,0.2663525365572585,0.006668976378489844,0.5879997007200519,0.0061671935381961696,1.3421536460518837,0.015991854015737772,0.0,0.0,0.0
false_split_dropout,2,0.28189216927287797,0.004195269727989365,0.0,0.0,0.0,0.0,0.2758736600557327,0.002595565920819831,0.3129971814151197,0.001315315910220688,0.3129971814151197,0.001315315910220688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6929631044543156,0.017536338857631395,4.810182904536138,0.034835591928805254,0.98125,0.0,0.01168444086584848,5.520140547341391e-05,0.03601055237137152,0.0009144867121883005,0.01168444086584848,5.520140547341391e-05,0.0,0.0,1.9443299399970395,0.015212036230231596,0.12499999999999996,0.0,7.68125,0.02499999999999991,7.571875,0.009374999999999911,0.109375,0.015625,0.084375,0.021875,0.0,0.0,0.31875,0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203125,0.004687500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758736600557327,0.002595565920819831,0.2657603965674802,0.00635167398477593,0.6049971133852958,0.0042396297590096554,1.2885566460900009,0.005306188017129898,0.0,0.0,0.0
admission_censoring_control,2,0.3969186114586517,0.003926246039520659,0.021875,0.015624999999999998,0.0,0.0,0.34408063439744174,0.014742778906595366,0.3869806779662766,0.0025580613117128226,0.3869806779662766,0.0025580613117128226,0.984375,0.015625,0.0,0.0,0.015625,0.015625,0.0,0.0,1.7141771940236765,0.034600351962371434,4.973402489698092,0.05005495244906344,0.975,0.006249999999999978,0.021206784089540208,0.006673182133105441,0.0991430090268679,0.0276040902422241,0.021206784089540208,0.006673182133105442,0.0,0.0,1.9515909175059405,0.05335697521967686,0.12499999999999996,0.0,6.046875,0.03437499999999982,4.571875,0.140625,1.475,0.10625000000000005,0.596875,0.05937500000000001,0.0,0.0,1.390625,0.034375000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18125,0.0062500000000000056,0.071875,0.053125,0.071875,0.053125,0.021875,0.015624999999999998,0.021875,0.015624999999999998,0.0,0.0,0.33236188439744174,0.003024028906595394,0.2768028478140028,0.007332791050696674,0.6719006557595657,0.0029717115561347374,0.9500706874532625,0.0028583124512806535,0.022265624999999945,0.023437499999999944,0.0
unmodelled_count,2,0.8809197687631003,0.013481138210703958,0.48125,0.012500000000000011,0.0,0.0,0.8885826225674711,0.0017989708776228741,0.6003722211574158,0.0022801693873033546,0.6003722211574158,0.0022801693873033546,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.783558102767973,0.029576423031164367,20.71622831804033,0.579487396004831,0.609375,0.0031250000000000444,0.4211600226117942,0.00034430519707084883,0.9996461174647684,3.788519265346402e-05,0.42116002261179414,0.00034430519707090435,0.0,0.0,5.087020181912114,0.014875230724736177,0.1289761700818952,0.002086474867008775,8.0,0.0,7.69375,0.050000000000000266,0.30625,0.05000000000000002,0.19374999999999998,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.0,0.0,,,,,,,1.0628975830040872,0.009585499996319413,,,
