scenario,comparison,pairs,effect_mean,ci95_lower,ci95_upper
stable_control,m9a6_minus_m9a7_loss,60,0.0028465623719668358,0.001800079345219339,0.003910624067351419
stable_control,m9a7_minus_observer_regret,60,0.0006249999999999996,7.812499999999926e-05,0.0014062499999999997
stable_control,m9a7_observer_regret_p95,60,0.004687499999999958,,0.009843749999999993
failure_only,m9a6_minus_m9a7_loss,60,0.03032847865479257,0.022035864907989276,0.03882326982633902
failure_only,m9a7_minus_observer_regret,60,0.0012499999999999992,0.00031249999999999887,0.0025000000000000005
failure_only,m9a7_observer_regret_p95,60,0.004687500000000011,,0.019218749999999965
partition_only,m9a6_minus_m9a7_loss,60,0.002071641180907511,2.1309941235188387e-05,0.00420976367614474
partition_only,m9a7_minus_observer_regret,60,0.024765625000000006,0.01835937500000001,0.031796874999999995
partition_only,m9a7_observer_regret_p95,60,0.07523437499999994,,0.09515624999999991
asymmetric_partition,m9a6_minus_m9a7_loss,60,0.00162958947979213,-0.0007975925149484475,0.003920138765630174
asymmetric_partition,m9a7_minus_observer_regret,60,0.039453125,0.03140625,0.048281250000000005
asymmetric_partition,m9a7_observer_regret_p95,60,0.093984375,,0.13124999999999992
failure_partition,m9a6_minus_m9a7_loss,60,0.05770302817985905,0.030140108550442194,0.09478201125745643
failure_partition,m9a7_minus_observer_regret,60,0.018749999999999996,0.014062499999999997,0.02406249999999999
failure_partition,m9a7_observer_regret_p95,60,0.07031249999999989,,0.07101562499999996
staggered_rejoin,m9a6_minus_m9a7_loss,60,0.012962937432349886,0.0091994044831792,0.017110419050661418
staggered_rejoin,m9a7_minus_observer_regret,60,0.002265625,0.0009375000000000004,0.0037500000000000016
staggered_rejoin,m9a7_observer_regret_p95,60,0.014296875000000018,,0.019218749999999965
flapping_reconnect,m9a6_minus_m9a7_loss,60,0.002338735439423988,0.0009758661586711392,0.003540355754360296
flapping_reconnect,m9a7_minus_observer_regret,60,0.009609374999999995,0.006796874999999994,0.01265820312499997
flapping_reconnect,m9a7_observer_regret_p95,60,0.028359374999999947,,0.03773437500000002
false_split_dropout,m9a6_minus_m9a7_loss,60,0.002981278642160178,0.001950433421373593,0.004058873840933551
false_split_dropout,m9a7_minus_observer_regret,60,0.0019531249999999991,0.0008593749999999974,0.0032812500000000003
false_split_dropout,m9a7_observer_regret_p95,60,0.009843749999999993,,0.018984374999999977
admission_censoring_control,m9a6_minus_m9a7_loss,60,0.06091225252379091,0.05100906241555494,0.07127311426653239
admission_censoring_control,m9a7_minus_observer_regret,60,0.011718749999999997,0.008359374999999995,0.015468749999999991
admission_censoring_control,m9a7_observer_regret_p95,60,0.033046875,,0.05695312499999993
unmodelled_count,m9a6_minus_m9a7_loss,60,-0.008388799930124344,-0.014258303425118178,-0.002769635133940763
unmodelled_offset,m9a6_minus_m9a7_loss,60,-0.00048267826543630006,-0.0024239128045081787,0.0013562242341784278
raw_channel_colluding_ramp,m9a6_minus_m9a7_loss,60,-2.407077044589364,-2.4207540296075853,-2.3923916917723695
