scenario,runs,baseline_decision_loss_mean,baseline_decision_loss_std,baseline_abstention_rate_mean,baseline_abstention_rate_std,baseline_wrong_mode_action_rate_mean,baseline_wrong_mode_action_rate_std,candidate_decision_loss_mean,candidate_decision_loss_std,candidate_position_rmse_mean,candidate_position_rmse_std,candidate_best_hypothesis_rmse_mean,candidate_best_hypothesis_rmse_std,candidate_selection_rate_mean,candidate_selection_rate_std,candidate_mixture_rate_mean,candidate_mixture_rate_std,candidate_abstention_rate_mean,candidate_abstention_rate_std,candidate_wrong_mode_action_rate_mean,candidate_wrong_mode_action_rate_std,candidate_mean_nees_mean,candidate_mean_nees_std,candidate_p95_nees_mean,candidate_p95_nees_std,candidate_coverage95_rate_mean,candidate_coverage95_rate_std,candidate_mean_residual_mass_mean,candidate_mean_residual_mass_std,candidate_max_residual_mass_mean,candidate_max_residual_mass_std,candidate_mean_model_residual_mass_mean,candidate_mean_model_residual_mass_std,candidate_mean_admission_residual_mass_mean,candidate_mean_admission_residual_mass_std,candidate_mean_model_nis_mean,candidate_mean_model_nis_std,candidate_mean_assignment_entropy_mean,candidate_mean_assignment_entropy_std,candidate_mean_measurement_eligible_agents_mean,candidate_mean_measurement_eligible_agents_std,candidate_mean_belief_admitted_agents_mean,candidate_mean_belief_admitted_agents_std,candidate_mean_belief_censored_measurement_agents_mean,candidate_mean_belief_censored_measurement_agents_std,candidate_belief_censoring_rate_mean,candidate_belief_censoring_rate_std,candidate_mean_robust_excluded_measurement_agents_mean,candidate_mean_robust_excluded_measurement_agents_std,candidate_mean_unreachable_measurement_agents_mean,candidate_mean_unreachable_measurement_agents_std,candidate_mean_covariance_floored_agents_mean,candidate_mean_covariance_floored_agents_std,candidate_mean_model_rejected_measurement_agents_mean,candidate_mean_model_rejected_measurement_agents_std,candidate_covariance_floor_rate_mean,candidate_covariance_floor_rate_std,candidate_mean_excluded_secondary_probability_mean,candidate_mean_excluded_secondary_probability_std,candidate_mean_unreachable_secondary_probability_mean,candidate_mean_unreachable_secondary_probability_std,baseline_mean_quarantined_agents_mean,baseline_mean_quarantined_agents_std,candidate_mean_quarantined_agents_mean,candidate_mean_quarantined_agents_std,baseline_quarantine_rate_mean,baseline_quarantine_rate_std,candidate_quarantine_rate_mean,candidate_quarantine_rate_std,motion_distance_difference_mean,motion_distance_difference_std,observer_loss_mean,observer_loss_std,global_loss_mean,global_loss_std,hindsight_floor_loss_mean,hindsight_floor_loss_std,runtime_seconds_mean,runtime_seconds_std,observer_regret_p95,observer_regret_max,observer_regret_over_0_20_rate
stable_control,60,0.27805560486123776,0.012790736564314,0.0005208333333333333,0.0032857938115807305,0.0,0.0,0.2752090424892709,0.012993364047108057,0.3108391109549399,0.013863317563854168,0.3108391109549399,0.013863317563854168,0.9991666666666668,0.0036916760722227808,0.0,0.0,0.0008333333333333334,0.0036916760722227816,0.0,0.0,1.7527025312500712,0.1528245384363899,5.210211103486469,0.4720609889707412,0.9676041666666666,0.012315918871074498,0.012559620325068046,0.0018132944087113287,0.05550704845528205,0.03200438630271805,0.012559620325068042,0.0018132944087113296,0.0,0.0,1.9289491841545297,0.04885835753264835,0.12500000000000183,1.4289345382690463e-14,7.968333333333334,0.04805956951765407,7.8568750000000005,0.05566477978339028,0.11145833333333331,0.032818286526806295,0.07968750000000001,0.027942113712996017,0.0,0.0,0.03166666666666666,0.04805956951765404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002916666666666667,0.005980291706003051,0.004895833333333333,0.012864056163287776,0.004895833333333333,0.012864056163287776,0.004895833333333333,0.012864056163287776,0.004895833333333333,0.012864056163287776,0.0,0.0,0.2745840424892709,0.012775439311325585,0.2738857570054789,0.012340269802342213,0.5732279757191603,0.035811051791308536,1.6862415770728452,0.01477983304221942,0.004687499999999958,0.01874999999999999,0.0
failure_only,60,0.32639204778820763,0.037012645137877866,0.008645833333333333,0.015938180813345318,0.0,0.0,0.296063569133415,0.016198147562743844,0.33401608684509776,0.017512717276317542,0.33401608684509776,0.017512717276317542,0.9983333333333334,0.005914612319407659,0.0,0.0,0.0016666666666666668,0.005914612319407662,0.0,0.0,1.749546728934148,0.1743306936194414,5.1024086122934325,0.6574676597172047,0.96875,0.014790199457749035,0.013945719681348735,0.0023107704327377174,0.06866218369172304,0.03753388596923132,0.013945719681348733,0.0023107704327377174,0.0,0.0,1.9242125211885974,0.04812818009442719,0.12500000000000183,1.4289345382690463e-14,7.075312500000001,0.06152812068815903,5.976250000000001,0.7387223274568959,1.0990625,0.7551747047110469,0.4588541666666667,0.23106211868450488,0.0,0.0,0.049687499999999996,0.061528120688159056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005625,0.009862333648787186,0.815,0.7094747543664491,0.815,0.7094747543664491,0.3708333333333334,0.2671918656238538,0.3708333333333334,0.2671918656238538,0.0,0.0,0.2948135691334151,0.015236830154189853,0.29334692956589165,0.014620726448644462,0.6220341416003734,0.10999846864068694,1.3845344957623942,0.13118334521758182,0.004687500000000011,0.02812500000000001,0.0
partition_only,60,0.38004264910115626,0.052495775369876985,0.03197916666666667,0.03539383455215831,0.0,0.0,0.37797100792024874,0.05161697141718602,0.4129436544090428,0.04427536857340563,0.4129436544090428,0.04427536857340563,0.9669791666666667,0.03557730115732345,0.0,0.0,0.03302083333333334,0.03557730115732346,0.0,0.0,1.7137743799350094,0.15533915539310117,5.037202591056927,0.6416624884770326,0.9692708333333333,0.015364141942812456,0.023570781373569445,0.0076429434778563805,0.16538501042193507,0.07369679807835568,0.023570781373569445,0.00764294347785638,0.0,0.0,1.8816908038319533,0.07360834017392982,0.12500000000000183,1.4289345382690463e-14,5.5955208333333335,0.24445968179703084,5.521770833333334,0.24303712975792857,0.07374999999999998,0.026511593375980504,0.06010416666666667,0.02455573132635683,0.0,0.0,2.4044791666666674,0.24445968179703081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43947916666666664,0.0044912627369396016,0.004270833333333333,0.012421192547640326,0.004270833333333333,0.012421192547640326,0.004270833333333333,0.012421192547640326,0.004270833333333333,0.012421192547640326,0.0,0.0,0.35320538292024867,0.03133640937337902,0.2721462037349832,0.012479466485647142,0.6236863956591027,0.08032280837355135,1.4897933222547484,0.033775617935874955,0.07523437499999994,0.12187499999999996,0.0
asymmetric_partition,60,0.42355008932441673,0.06455815720651151,0.050937500000000004,0.04374739575582376,0.0,0.0,0.4219204998446246,0.06386400600491172,0.4548272692639995,0.054228676507256005,0.4548272692639995,0.054228676507256005,0.9473958333333332,0.04388805104245979,0.0,0.0,0.052604166666666674,0.04388805104245979,0.0,0.0,1.7271115041505645,0.1627924376924792,5.087431832419409,0.6149596999117315,0.96875,0.014388580541526667,0.027599539827558067,0.009111482571565506,0.19808683046732192,0.08071226908209152,0.02759953982755806,0.009111482571565506,0.0,0.0,1.8672561908420453,0.07773710242678504,0.12500000000000183,1.4289345382690463e-14,5.287708333333332,0.21773863425497603,5.2203125,0.22218032102795088,0.06739583333333332,0.026908691736541604,0.05677083333333333,0.025624788278258138,0.0,0.0,2.7122916666666663,0.217738634254976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439375,0.004463392767839278,0.004270833333333333,0.012782824712828105,0.004270833333333333,0.012782824712828105,0.004270833333333333,0.012782824712828105,0.004270833333333333,0.012782824712828105,0.0,0.0,0.38246737484462456,0.038357755794101715,0.27247342351345144,0.012240371460235861,0.6485775938159299,0.10913494080764959,1.4811640971999926,0.031026965585115102,0.093984375,0.13124999999999998,0.0
failure_partition,60,0.42939711717572115,0.1304042479782741,0.035729166666666666,0.03857979532914721,0.0,0.0,0.37169408899586215,0.03922667150125914,0.40864006443583867,0.03751769466358909,0.40864006443583867,0.03751769466358909,0.9750000000000001,0.02654104525698514,0.0,0.0,0.024999999999999998,0.02654104525698514,0.0,0.0,1.7225858031860992,0.15805995105208256,4.995583754086752,0.6289047228492032,0.9703125,0.014235052467412967,0.0218401142395051,0.006282071956362948,0.1475704029217884,0.06516101074565711,0.021840114239505097,0.006282071956362947,0.0,0.0,1.8942045598644148,0.07719012465021236,0.12500000000000183,1.4289345382690463e-14,5.510416666666667,0.27657613353087585,4.6620833333333325,0.5818879414362261,0.8483333333333334,0.5481940837625141,0.4204166666666667,0.2190915983606451,0.0,0.0,1.5520833333333333,0.2765761335308759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276041666666667,0.06401590446369992,0.8286458333333333,0.7097913532799425,0.8286458333333333,0.7097913532799425,0.3739583333333334,0.2703926703528695,0.3739583333333334,0.2703926703528695,0.0,0.0,0.35294408899586216,0.0273283872737869,0.2925841715207441,0.015044371357713164,0.674522203328537,0.23381620847320875,1.2480732855037786,0.107311416782402,0.07031249999999989,0.08437499999999998,0.0
staggered_rejoin,60,0.3227824735237099,0.023215106871766995,0.005833333333333333,0.01026134196335396,0.0,0.0,0.30981953609136004,0.016950688857171464,0.3482605493370604,0.018201903197065675,0.3482605493370604,0.018201903197065675,0.9969791666666666,0.007350211400965888,0.0,0.0,0.0030208333333333333,0.007350211400965886,0.0,0.0,1.7280450195139718,0.1691523079725289,5.078130503393473,0.6003433184726301,0.9698958333333333,0.014679371273056014,0.015282652134296854,0.002504832038671688,0.08442581500339437,0.039658151374610574,0.015282652134296854,0.002504832038671689,0.0,0.0,1.916740656275131,0.05059459009630923,0.12500000000000183,1.4289345382690463e-14,6.6215625,0.048619282547325504,5.847083333333333,0.4050791889316897,0.7744791666666668,0.4142329313815745,0.41624999999999995,0.17639400145696565,0.0,0.0,0.04718750000000001,0.04861928254732547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.011837935578047383,0.4937500000000001,0.40245826646995336,0.4937500000000001,0.40245826646995336,0.27927083333333336,0.22149907021845236,0.27927083333333336,0.22149907021845236,0.0,0.0,0.30755391109136004,0.015901848866742698,0.3064258391755439,0.015243164199293946,0.5864480707464063,0.06244443469364027,1.375242675646829,0.0548032450911394,0.014296875000000018,0.02812500000000001,0.0
flapping_reconnect,60,0.3142400814510316,0.022961951543042057,0.012291666666666666,0.015179767693289058,0.0,0.0,0.31190134601160757,0.023596716970396187,0.34940757237479947,0.02341811764415319,0.34940757237479947,0.02341811764415319,0.9871874999999999,0.015412091100280112,0.0,0.0,0.0128125,0.01541209110028011,0.0,0.0,1.7138120045181184,0.15438271392207872,5.1087388182046105,0.6074642456462438,0.9678125000000002,0.013589259315724309,0.017095230110923572,0.004276190343400103,0.12145184779792387,0.07026691437674974,0.017095230110923572,0.004276190343400103,0.0,0.0,1.9015045829566657,0.06204982508110174,0.12500000000000183,1.4289345382690463e-14,6.925104166666668,0.11597914047062757,6.816249999999999,0.1172392941096684,0.10885416666666668,0.033097308918383216,0.07677083333333332,0.026147908284199117,0.0,0.0,1.0748958333333334,0.11597914047062753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19468749999999999,0.010001627471733453,0.004479166666666667,0.012762436064700015,0.004479166666666667,0.012762436064700015,0.004479166666666667,0.012762436064700015,0.004479166666666667,0.012762436064700015,0.0,0.0,0.3022919710116075,0.01666902596686791,0.27332406564676937,0.012186117763710876,0.5876465098881664,0.04130319644241214,1.651340702121767,0.019770355553164854,0.028359374999999947,0.042187500000000044,0.0
false_split_dropout,60,0.28332777968742995,0.013859683679650235,0.0020833333333333333,0.006215180787573457,0.0,0.0,0.28034650104526976,0.013854656297228598,0.3158735617917746,0.01408491411518231,0.3158735617917746,0.01408491411518231,0.9973958333333334,0.006484322707285794,0.0,0.0,0.002604166666666667,0.006484322707285798,0.0,0.0,1.7434075317154976,0.1479689469437786,5.142469019103733,0.5117317587324246,0.9686458333333334,0.014137147554306074,0.013584059762287028,0.0024534840507299443,0.06934364024836685,0.041645239578893996,0.013584059762287026,0.0024534840507299456,0.0,0.0,1.9272708510003171,0.046895043949734996,0.12518636283123852,0.0013052677581055715,7.690833333333334,0.11358542734680165,7.58375,0.12754798933473366,0.10708333333333335,0.0330219834184576,0.07427083333333334,0.02678744620723587,0.0,0.0,0.30916666666666665,0.11358542734680165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04408333333333334,0.03715571430211581,0.0045833333333333325,0.01259684704819248,0.0045833333333333325,0.01259684704819248,0.0045833333333333325,0.01259684704819248,0.0045833333333333325,0.01259684704819248,0.0,0.0,0.27839337604526976,0.012334717456912803,0.27194236683084205,0.011993244632986181,0.5729201651634518,0.03303928084749847,1.5722539930526789,0.017658922901834528,0.009843749999999993,0.0234375,0.0
admission_censoring_control,60,0.4028604354638876,0.046666804274451905,0.027812499999999997,0.026280364382620977,0.0,0.0,0.3419481829400967,0.02745825773501376,0.3804683080148506,0.0258496464332178,0.3804683080148506,0.0258496464332178,0.9843750000000001,0.019077009505335647,0.0,0.0,0.015625000000000003,0.019077009505335647,0.0,0.0,1.722152190821603,0.12266232385241911,5.084110165907293,0.5298868115391666,0.9706250000000001,0.012925064474371742,0.01922730176556843,0.005183025419493684,0.12555525565423553,0.05917776677618416,0.01922730176556843,0.005183025419493683,0.0,0.0,1.9063645372849936,0.06392579303629567,0.12500000000000183,1.4289345382690463e-14,5.9551041666666675,0.24824249859288575,4.415520833333333,0.24531148265889552,1.5395833333333333,0.20941904594748673,0.6290625000000001,0.10141463595269012,0.0,0.0,1.4823958333333336,0.24824249859288577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23385416666666667,0.06716246303533115,0.12875,0.0893786421169323,0.12875,0.0893786421169323,0.07197916666666666,0.08038393926010481,0.07197916666666666,0.08038393926010481,0.0,0.0,0.3302294329400967,0.019804843789326634,0.28716185328732996,0.01394110943598984,0.6441552122271011,0.0944688836673104,1.1619170430465602,0.026514926804114245,0.033046875,0.0703125,0.0
unmodelled_count,60,0.8944326284798374,0.027263089969509893,0.49666666666666665,0.011774059292453988,0.0,0.0,0.9028214284099622,0.019814014060614463,0.629332017765512,0.024328435970544245,0.629332017765512,0.024328435970544245,0.49885416666666665,0.0033251853540650716,0.0,0.0,0.5011458333333334,0.0033251853540650646,0.0,0.0,7.435355063115084,0.576769535480999,23.86162342469608,2.4080565637427473,0.5908333333333332,0.020073649117409838,0.4267343640703873,0.0071816012359418036,0.9970933385520794,0.0041083227663973355,0.4267343640703873,0.007181601235941802,0.0,0.0,5.080517390048652,0.12401844649590979,0.13081867018811427,0.010216158238845412,7.993333333333334,0.015046225071056492,7.73875,0.07766782903278983,0.25458333333333333,0.07357913351548039,0.15458333333333332,0.03787772725787838,0.0,0.0,0.006666666666666667,0.01504622507105649,0.0,0.0,0.0014583333333333332,0.003847121940129039,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0037615562677641226,0.014791666666666667,0.01922883937966327,0.014791666666666667,0.01922883937966327,0.013229166666666665,0.018260687034507277,0.013229166666666665,0.018260687034507277,0.0,0.0,,,,,,,1.2751996542327106,0.016372320215614532,,,
