algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,p95_nees,max_nees,coverage95_rate,rejoin_window_nees,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,partition_selection_rate,mean_topology_components,mean_observer_component_size,mean_topology_visibility_fraction,mean_topology_live_support,mean_topology_retained_support,mean_topology_unknown_support,mean_topology_probation_agents,topology_rejoin_events,topology_merge_grace_rate,topology_epoch_changes,mean_duplicate_support_suppressed,topology_selection_blocked_rate,max_primary_support_jump,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_active,12000,2.2511900104095193,0.6531639983417173,0.7538318452380952,0.9939273784186087,0.6595523784186088,0.5625,0.0,0.4375,0.0625,0.3,0.01875,0.5594866071428571,78,0.9263043888500688,3.1580301761540293,4.397108602953245,131.18771805100798,0.971875,0.0,1.9574760192355758,3.696666933447412,5.076587569650634,1.8186426005652314,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.93125,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.50625,0.4875,6.00625,0.7585193452380952,0.23913690476190474,0.0,0.0,0.06875,1.5327535620257435,156.5399208866685,0.9450655840337276,stable_control,1.1580301761540293,0.02187500000000009
flocking_robust_active,12001,2.1970268638179986,0.7929062129695953,0.7665178571428571,0.9332440822909431,0.6029315822909431,0.56875,0.0,0.43125,0.06875,0.0,0.0,0.5660714285714286,76,0.7977360359880497,2.326892508403904,4.434219749773739,131.5656587147123,0.9647321428571429,0.0,1.9108491927315274,3.6914897441781394,5.035555267027396,1.825603173733216,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.83125,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.46875,5.98125,0.7674107142857143,0.2318080357142857,0.0,0.0,0.16875,1.541277826406003,143.77250672502558,0.9262774589005858,stable_control,0.3268925084039038,0.014732142857142971
flocking_robust_active,12002,2.302914181140878,0.759601712234336,0.7630580357142857,1.0520541171785154,0.7176791171785153,0.5625,0.0,0.4375,0.0625,0.25,0.0125,0.5660714285714286,76,0.9954554812983878,3.6811665297980305,5.635947929836796,154.9183870665461,0.9397321428571429,0.0,2.150169690939887,3.681713495632283,5.066501892291763,1.8746446656387374,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9125,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.475,6.04375,0.7647321428571429,0.23448660714285713,0.0,0.0,0.0875,1.5456423987761616,188.48746746585175,0.9269274170510471,stable_control,1.6811665297980305,0.01026785714285705
flocking_robust_active,12003,2.1368687200971053,0.6711269078553517,0.7606026785714286,0.9300599406287853,0.6044349406287852,0.575,0.0,0.425,0.06875,0.0,0.0,0.5633928571428571,77,0.6872548799477027,1.7851057776735915,4.902505054176003,9.177472681234923,0.9638020833333334,0.0,2.093016150879324,3.6852403894697146,4.993180324679934,1.8182723992457306,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9125,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.49375,0.475,6.025,0.7629464285714286,0.23470982142857144,0.0,0.0,0.0875,1.5432538713435315,157.68963984380423,0.9230076249223202,stable_control,0.21489422232640853,0.013802083333333437
flocking_robust_active,12004,2.1769828785726304,0.6759055274872454,0.7559151785714285,0.9265637763747531,0.5875012763747532,0.55625,0.0,0.44375,0.0625,0.0,0.0,0.5571428571428572,78,0.6771879897564558,1.6892444336924668,4.989791180209959,7.2251048287576465,0.9625,0.0,2.0147624475747965,3.6868728122511145,5.048638847781383,1.8487714717791057,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.925,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5,0.4875,5.9875,0.7559151785714285,0.24174107142857143,0.0,0.0,0.075,1.542327100056254,156.37984604838508,0.9436284999828786,stable_control,0.3107555663075332,0.012500000000000067
flocking_robust_active,12005,2.156481025594623,0.6826668994402529,0.7566145833333333,0.9567241442227374,0.6223491442227375,0.5625,0.0,0.4375,0.0625,0.0,0.0,0.5575,77,0.7056845613381076,1.8840778610195863,4.805192210043311,7.108841834990244,0.95703125,0.0,1.9851192195004543,3.673482235666465,5.146056423369588,1.8828306732894788,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.91875,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.48125,6.01875,0.7610416666666666,0.23817708333333334,0.0,0.0,0.08125,1.556296615730727,160.62828289417925,0.9554527089931071,stable_control,0.1159221389804137,0.007031250000000044
flocking_robust_active,12006,2.2392807783190247,0.6805196146577307,0.7615624999999999,0.9333600592674521,0.6071100592674522,0.575,0.0,0.425,0.075,0.0,0.0,0.5700000000000001,77,0.6917952965226758,1.804860643662175,4.191544899855838,9.870380513220248,0.9625,0.0,2.1628147171644185,3.676936666284088,5.051142064675123,1.8815814060885203,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8875,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.46875,6.025,0.76625,0.2321875,0.0,0.0,0.1125,1.5515469308437126,163.7519207637327,0.9404315408319235,stable_control,0.19513935633782498,0.012500000000000067
flocking_robust_active,12007,2.2974968743331696,0.6687661140056907,0.7633928571428571,1.0030880337315253,0.6774630337315253,0.575,0.0,0.425,0.06875,0.2727272727272727,0.01875,0.5613095238095237,77,1.0084467723408599,3.8838613010550667,5.1886182817783,177.1058926033606,0.946875,0.0,2.055543394416289,3.695741518029826,5.031501900857647,1.9215894008696224,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.475,5.99375,0.7644345238095238,0.23452380952380952,0.0,0.0,0.1375,1.5827240163820746,137.78980291579285,0.9416625420562923,stable_control,1.8838613010550667,0.0031249999999999334
flocking_robust_active,12008,2.326437380152764,0.7042714293090891,0.7598214285714285,1.0409991598420778,0.7113116598420777,0.56875,0.0,0.43125,0.0625,0.3333333333333333,0.01875,0.5618303571428571,76,1.056166159327942,4.36029551635445,4.911526199195609,202.57025940316097,0.9517857142857142,0.0,2.078615330197848,3.691006754924443,5.0359942646608635,1.8338052917274925,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.95625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5,0.475,6.05,0.7613839285714286,0.23470982142857144,0.0,0.0,0.04375,1.5262438619336987,136.01218360219812,0.9343184591270983,stable_control,2.3602955163544497,0.0017857142857142794
flocking_robust_active,12009,2.1623653636749243,0.6928870881727359,0.7586309523809524,0.9431001808062398,0.6087251808062399,0.5625,0.0,0.4375,0.0625,0.0,0.0,0.5589285714285714,78,0.7056380164105339,1.8649633391781724,5.109336316038129,10.543009273477221,0.9619419642857142,0.0,2.022241453383669,3.6852937631496383,5.040611451355974,1.8801098685049653,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.875,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.4875,5.95625,0.7586309523809524,0.24136904761904762,0.0,0.0,0.125,1.5273874220342747,157.97820270092225,0.9150150830391794,stable_control,0.13503666082182764,0.011941964285714257
