scope,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,relative_improvement_percent,ci95_lower,ci95_upper,wins,ties,losses
stable_control,flocking_topology_resilient,flocking_robust_active,decision_loss,lower,2,3.0804745823848267,3.509810134404363,-0.4293355520195363,-13.937318440301995,-0.4444895301678242,-0.41418157387124843,0,0,2
stable_control,flocking_topology_resilient,flocking_robust_active,position_rmse,lower,2,4.173093281251031,4.045452615980555,0.12764066527047646,3.058658330115537,0.05735030942816177,0.19793102111279115,2,0,0
stable_control,flocking_topology_resilient,flocking_robust_active,wrong_mode_action_rate,lower,2,0.025,0.0125,0.0125,50.0,0.0,0.025,1,1,0
stable_control,flocking_topology_resilient,flocking_robust_active,mean_nees,lower,2,51.1022725439699,49.15381684274574,1.9484557012241552,3.8128552884759603,1.1240789711138248,2.7728324313344856,2,0,0
stable_control,flocking_topology_resilient,flocking_robust_active,coverage95_rate,higher,2,0.5322916666666666,0.5166666666666666,-0.015625,-2.9354207436399222,-0.025000000000000022,-0.006249999999999978,0,0,2
stable_control,flocking_topology_resilient,flocking_robust_active,max_primary_support_jump,lower,2,0.25,0.33333333333333337,-0.08333333333333337,-33.33333333333335,-0.08333333333333337,-0.08333333333333337,0,0,2
stable_control,flocking_topology_resilient,flocking_robust_active,rejoin_window_nees,lower,2,0.0,0.0,0.0,,0.0,0.0,0,2,0
stable_control,flocking_topology_resilient,flocking_robust_active,runtime_seconds,lower,2,0.03321829193737358,0.03266185394022614,0.0005564379971474409,1.6750951499748785,-0.0019523331429809332,0.003065209137275815,1,0,1
stable_control,flocking_topology_resilient,flocking_robust_active,bytes_sent,lower,2,92160.0,92160.0,0.0,0.0,0.0,0.0,0,2,0
stable_control,flocking_topology_resilient,flocking_topology_support,decision_loss,lower,2,3.521055274286889,3.509810134404363,0.011245139882525956,0.3193684565148841,-0.017690375514057166,0.04018065527910908,1,0,1
stable_control,flocking_topology_resilient,flocking_topology_support,position_rmse,lower,2,4.143874509299751,4.045452615980555,0.09842189331919693,2.3751176127152718,0.023614624653354177,0.17322916198503968,2,0,0
stable_control,flocking_topology_resilient,flocking_topology_support,wrong_mode_action_rate,lower,2,0.0125,0.0125,0.0,0.0,0.0,0.0,0,2,0
stable_control,flocking_topology_resilient,flocking_topology_support,mean_nees,lower,2,50.5458804696117,49.15381684274574,1.392063626865955,2.754059507782967,0.7377513666252398,2.04637588710667,2,0,0
stable_control,flocking_topology_resilient,flocking_topology_support,coverage95_rate,higher,2,0.5322916666666666,0.5166666666666666,-0.015625,-2.9354207436399222,-0.025000000000000022,-0.006249999999999978,0,0,2
stable_control,flocking_topology_resilient,flocking_topology_support,max_primary_support_jump,lower,2,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0,2,0
stable_control,flocking_topology_resilient,flocking_topology_support,rejoin_window_nees,lower,2,0.0,0.0,0.0,,0.0,0.0,0,2,0
stable_control,flocking_topology_resilient,flocking_topology_support,runtime_seconds,lower,2,0.03156322904396802,0.03266185394022614,-0.0010986248962581158,-3.480711351578496,-0.001512124901637435,-0.0006851248908787966,0,0,2
stable_control,flocking_topology_resilient,flocking_topology_support,bytes_sent,lower,2,92160.0,92160.0,0.0,0.0,0.0,0.0,0,2,0
