algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,p95_nees,max_nees,coverage95_rate,rejoin_window_nees,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,partition_selection_rate,mean_topology_components,mean_observer_component_size,mean_topology_visibility_fraction,mean_topology_live_support,mean_topology_retained_support,mean_topology_unknown_support,mean_topology_probation_agents,topology_rejoin_events,topology_merge_grace_rate,topology_epoch_changes,mean_duplicate_support_suppressed,topology_selection_blocked_rate,max_primary_support_jump,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_active,11990,4.143813677812146,4.054389519940862,0.9,3.0298548789393944,3.0298548789393944,1.0,0.0,0.0,0.0,0.16666666666666666,0.025,1.0,7,4.097187517949984,50.3893505386636,155.66444977044478,173.66978134697618,0.5416666666666666,0.0,2.734772396888153,3.632822310730483,3.56242499846608,1.1971308364722133,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.55,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.25,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.15,0.15,3.4,0.9625,0.0375,1.675,0.775,2.05,1.1478407180108792,50.780799298025414,0.03506191703490913,stable_control,48.3893505386636,0.4083333333333333
flocking_robust_active,11991,4.202372884689916,4.153206863172268,0.9425000000000001,3.131094285830259,3.131094285830259,1.0,0.0,0.0,0.0,0.3333333333333333,0.025,0.99,1,4.15741113404366,51.8151945492762,184.039721841222,187.8446269605064,0.5229166666666666,0.0,2.89802411955901,3.617886872070669,3.7808671630759223,1.2752227861619936,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.65,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.25,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.075,0.075,3.575,0.9824999999999999,0.017499999999999998,1.8,0.775,1.825,1.0946782312721657,51.4426582464832,0.03137466683983803,stable_control,49.8151945492762,0.42708333333333337
flocking_topology_support,11990,4.110077993037338,4.054389519940862,0.525,3.5145250643863277,3.0070250643863283,0.4,0.0,0.6,0.575,0.0,0.0,0.1833333333333333,7,4.063064713940938,49.662893994435784,155.66444977044478,173.66978134697618,0.5416666666666666,0.0,2.734772396888153,3.632822310730483,3.56242499846608,1.1971308364722133,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.55,0.0,0.4083333333333333,0.0,0,0.0,0,13.8,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.15,0.15,3.4,0.5666666666666667,0.025,1.675,0.775,2.05,1.1478407180108792,50.780799298025414,0.03048458299599588,stable_control,47.662893994435784,0.4083333333333333
flocking_topology_support,11991,4.177671025562165,4.153206863172268,0.5666666666666667,3.5275854841874503,3.115085484187451,0.5,0.0,0.5,0.375,0.3333333333333333,0.025,0.20833333333333331,1,4.132440522659071,51.428866944787615,184.039721841222,187.8446269605064,0.5229166666666666,0.0,2.89802411955901,3.617886872070669,3.7808671630759223,1.2752227861619936,6.0,1.0,0.0,0.0,0.0,1.025,6.0,1.0,3.65,0.0,0.3916666666666666,0.0,0,0.0,2,14.85,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.075,0.075,3.575,0.5958333333333332,0.0125,1.8,0.775,1.825,1.0946782312721657,51.4426582464832,0.032641875091940165,stable_control,49.428866944787615,0.42708333333333337
flocking_topology_rejoin,11990,4.110077993037338,4.054389519940862,0.525,3.5145250643863277,3.0070250643863283,0.4,0.0,0.6,0.575,0.0,0.0,0.1833333333333333,7,4.063064713940938,49.662893994435784,155.66444977044478,173.66978134697618,0.5416666666666666,0.0,2.734772396888153,3.632822310730483,3.56242499846608,1.1971308364722133,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.55,0.0,0.4083333333333333,0.0,0,0.0,0,13.8,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.15,0.15,3.4,0.5666666666666667,0.025,1.675,0.775,2.05,1.1478407180108792,50.780799298025414,0.031373499892652035,stable_control,47.662893994435784,0.4083333333333333
flocking_topology_rejoin,11991,4.177671025562165,4.153206863172268,0.5666666666666667,3.5275854841874503,3.115085484187451,0.5,0.0,0.5,0.375,0.3333333333333333,0.025,0.20833333333333331,1,4.132440522659071,51.428866944787615,184.039721841222,187.8446269605064,0.5229166666666666,0.0,2.89802411955901,3.617886872070669,3.7808671630759223,1.2752227861619936,6.0,1.0,0.0,0.0,0.0,1.025,6.0,1.0,3.65,0.0,0.3916666666666666,0.0,0,0.0,2,14.85,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.075,0.075,3.575,0.5958333333333332,0.0125,1.8,0.775,1.825,1.0946782312721657,51.4426582464832,0.03251879196614027,stable_control,49.428866944787615,0.42708333333333337
flocking_topology_partition,11990,4.110077993037338,4.054389519940862,0.525,3.5145250643863277,3.0070250643863283,0.4,0.0,0.6,0.575,0.0,0.0,0.1833333333333333,7,4.063064713940938,49.662893994435784,155.66444977044478,173.66978134697618,0.5416666666666666,0.0,2.734772396888153,3.632822310730483,3.56242499846608,1.1971308364722133,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.55,0.0,0.4083333333333333,0.0,0,0.0,0,13.8,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.15,0.15,3.4,0.5666666666666667,0.025,1.675,0.775,2.05,1.1478407180108792,50.780799298025414,0.031340750167146325,stable_control,47.662893994435784,0.4083333333333333
flocking_topology_partition,11991,4.177671025562165,4.153206863172268,0.5583333333333332,3.591335484187451,3.115085484187451,0.425,0.0,0.575,0.45,0.3333333333333333,0.025,0.19166666666666662,1,4.125451927276165,51.35330100729565,184.039721841222,187.8446269605064,0.5229166666666666,0.0,2.89802411955901,3.617886872070669,3.7808671630759223,1.2752227861619936,6.0,1.0,0.0,0.0,0.0,1.025,5.925,0.9875,3.6,0.0,0.4,0.0,0,0.0,2,14.55,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.075,0.075,3.525,0.5875,0.0125,1.8,0.775,1.825,1.0946782312721657,51.4426582464832,0.032583249965682626,stable_control,49.35330100729565,0.42708333333333337
flocking_topology_resilient,11990,4.086463368383984,4.028928454154775,0.5375,3.4743444091072186,3.009344409107219,0.45,0.0,0.55,0.525,0.0,0.0,0.2,7,3.9421840746586856,47.616518107329114,157.28094618214067,174.2447425015465,0.5166666666666666,0.0,2.8218054423539862,3.623639162144026,3.1472516604416643,1.303483049001331,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,3.625,3.377044525796041,0.3958333333333333,0.0,0,0.0,0,14.25,0.0,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.15,0.15,3.475,0.5791666666666666,0.025,1.675,0.775,1.975,1.1436214671478342,50.00705645192766,0.031996707897633314,stable_control,45.616518107329114,0.43333333333333335
flocking_topology_resilient,11991,4.004441863577125,3.978912752153361,0.5541666666666666,3.5452758597015075,2.9727758597015077,0.3,0.0,0.7,0.475,0.3333333333333333,0.025,0.1833333333333333,1,4.019216575567489,50.691115578162375,177.2597964322794,184.23803453616614,0.5166666666666666,0.0,2.982471080310682,3.6354996185891792,3.6821176372875057,1.2983956606821088,6.0,1.0,0.0,0.0,0.0,1.025,5.925,0.9875,3.575,2.8370221336656902,0.4041666666666666,0.0,0,0.1,2,14.4,0.1,0.33333333333333337,,480,92160,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.075,0.075,3.5,0.5833333333333333,0.0125,1.8,0.775,1.85,1.1031518280697625,53.03505603351853,0.03332699998281896,stable_control,48.691115578162375,0.43333333333333335
