scenario,algorithm,runs,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_truth_consistent_flock_weight_mean,mean_truth_consistent_flock_weight_std,decision_loss_mean,decision_loss_std,mean_decision_base_error_mean,mean_decision_base_error_std,selection_rate_mean,selection_rate_std,mixture_rate_mean,mixture_rate_std,abstention_rate_mean,abstention_rate_std,investigation_rate_mean,investigation_rate_std,wrong_mode_rate_mean,wrong_mode_rate_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_output_confidence_mean,mean_output_confidence_std,ambiguity_resolution_steps_mean,ambiguity_resolution_steps_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,max_nees_mean,max_nees_std,coverage95_rate_mean,coverage95_rate_std,rejoin_window_nees_mean,rejoin_window_nees_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std,mean_hypothesis_flocks_mean,mean_hypothesis_flocks_std,multiflock_rate_mean,multiflock_rate_std,mean_primary_flock_size_mean,mean_primary_flock_size_std,mean_primary_flock_weight_mean,mean_primary_flock_weight_std,mean_alternative_flock_weight_mean,mean_alternative_flock_weight_std,mean_quarantined_agents_mean,mean_quarantined_agents_std,quarantine_rate_mean,quarantine_rate_std,mean_suspected_bias_agents_mean,mean_suspected_bias_agents_std,mean_bias_estimate_norm_mean,mean_bias_estimate_norm_std,mean_operational_agents_mean,mean_operational_agents_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_message_age_mean,mean_message_age_std,partition_active_rate_mean,partition_active_rate_std,partition_selection_rate_mean,partition_selection_rate_std,mean_topology_components_mean,mean_topology_components_std,mean_observer_component_size_mean,mean_observer_component_size_std,mean_topology_visibility_fraction_mean,mean_topology_visibility_fraction_std,mean_topology_live_support_mean,mean_topology_live_support_std,mean_topology_retained_support_mean,mean_topology_retained_support_std,mean_topology_unknown_support_mean,mean_topology_unknown_support_std,mean_topology_probation_agents_mean,mean_topology_probation_agents_std,topology_rejoin_events_mean,topology_rejoin_events_std,topology_merge_grace_rate_mean,topology_merge_grace_rate_std,topology_epoch_changes_mean,topology_epoch_changes_std,mean_duplicate_support_suppressed_mean,mean_duplicate_support_suppressed_std,topology_selection_blocked_rate_mean,topology_selection_blocked_rate_std,max_primary_support_jump_mean,max_primary_support_jump_std,movement_distance_mean,movement_distance_std
stable_control,flocking_robust_active,2,4.173093281251031,0.02927960343888536,4.1037981915565656,0.049408671615702726,4.127299325996822,0.030111808046838107,,,3.6253545914005763,0.007467719329907085,49.1022725439699,0.7129220053063001,0.41770833333333335,0.009375000000000022,1.2361768113171034,0.03904597484489014,0.03321829193737358,0.0018436250975355506,92160.0,0.0,0.9212500000000001,0.021250000000000047,3.0804745823848267,0.05061970344543232,3.0804745823848267,0.05061970344543232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.025,0.0,0.995,0.0050000000000000044,4.0,3.0,51.1022725439699,0.7129220053063001,169.85208580583338,14.187636035388607,180.75720415374127,7.087422806765105,0.5322916666666666,0.009375000000000022,0.0,0.0,2.8163982582235816,0.0816258613354286,3.6716460807710014,0.10922108230492111,480.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124999999999998,0.03749999999999998,0.11249999999999999,0.0375,3.4875,0.08750000000000013,0.9724999999999999,0.009999999999999953,0.027499999999999997,0.01,1.7375,0.0625,0.775,0.0,1.9375,0.11249999999999993,1.1212594746415223,0.026581243369356744,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,3.5999999999999996,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,51.11172877225431,0.33092947422889196
stable_control,flocking_topology_support,2,4.143874509299751,0.03379651626241342,4.1037981915565656,0.049408671615702726,4.097752618300005,0.03468790435906621,,,3.6253545914005763,0.007467719329907085,48.5458804696117,0.8829864751759153,0.41770833333333335,0.009375000000000022,1.2361768113171034,0.03904597484489014,0.03156322904396802,0.0010786460479721427,92160.0,0.0,0.5458333333333334,0.020833333333333315,3.521055274286889,0.006530209900561301,3.0610552742868897,0.0540302099005614,0.45,0.04999999999999999,0.0,0.0,0.55,0.04999999999999999,0.475,0.09999999999999998,0.16666666666666666,0.16666666666666666,0.0125,0.0125,0.1958333333333333,0.012500000000000011,4.0,3.0,50.5458804696117,0.8829864751759153,169.85208580583338,14.187636035388607,180.75720415374127,7.087422806765105,0.5322916666666666,0.009375000000000022,0.0,0.0,2.8163982582235816,0.0816258613354286,3.6716460807710014,0.10922108230492111,480.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124999999999998,0.03749999999999998,0.11249999999999999,0.0375,3.4875,0.08750000000000013,0.5812499999999999,0.014583333333333282,0.018750000000000003,0.00625,1.7375,0.0625,0.775,0.0,1.9375,0.11249999999999993,1.1212594746415223,0.026581243369356744,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.012499999999999956,6.0,0.0,1.0,0.0,3.5999999999999996,0.050000000000000044,0.0,0.0,0.39999999999999997,0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.325,0.5249999999999995,0.0,0.0,0.33333333333333337,0.0,51.11172877225431,0.33092947422889196
stable_control,flocking_topology_rejoin,2,4.143874509299751,0.03379651626241342,4.1037981915565656,0.049408671615702726,4.097752618300005,0.03468790435906621,,,3.6253545914005763,0.007467719329907085,48.5458804696117,0.8829864751759153,0.41770833333333335,0.009375000000000022,1.2361768113171034,0.03904597484489014,0.03194614592939615,0.0005726460367441177,92160.0,0.0,0.5458333333333334,0.020833333333333315,3.521055274286889,0.006530209900561301,3.0610552742868897,0.0540302099005614,0.45,0.04999999999999999,0.0,0.0,0.55,0.04999999999999999,0.475,0.09999999999999998,0.16666666666666666,0.16666666666666666,0.0125,0.0125,0.1958333333333333,0.012500000000000011,4.0,3.0,50.5458804696117,0.8829864751759153,169.85208580583338,14.187636035388607,180.75720415374127,7.087422806765105,0.5322916666666666,0.009375000000000022,0.0,0.0,2.8163982582235816,0.0816258613354286,3.6716460807710014,0.10922108230492111,480.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124999999999998,0.03749999999999998,0.11249999999999999,0.0375,3.4875,0.08750000000000013,0.5812499999999999,0.014583333333333282,0.018750000000000003,0.00625,1.7375,0.0625,0.775,0.0,1.9375,0.11249999999999993,1.1212594746415223,0.026581243369356744,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.012499999999999956,6.0,0.0,1.0,0.0,3.5999999999999996,0.050000000000000044,0.0,0.0,0.39999999999999997,0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.325,0.5249999999999995,0.0,0.0,0.33333333333333337,0.0,51.11172877225431,0.33092947422889196
stable_control,flocking_topology_partition,2,4.143874509299751,0.03379651626241342,4.1037981915565656,0.049408671615702726,4.094258320608551,0.031193606667613505,,,3.6253545914005763,0.007467719329907085,48.508097500865716,0.8452035064299324,0.41770833333333335,0.009375000000000022,1.2361768113171034,0.03904597484489014,0.031962000066414475,0.0006212498992681503,92160.0,0.0,0.5416666666666666,0.016666666666666607,3.552930274286889,0.03840520990056162,3.0610552742868897,0.0540302099005614,0.4125,0.012499999999999983,0.0,0.0,0.5874999999999999,0.012500000000000011,0.5125,0.06249999999999997,0.16666666666666666,0.16666666666666666,0.0125,0.0125,0.18749999999999994,0.004166666666666666,4.0,3.0,50.508097500865716,0.8452035064299324,169.85208580583338,14.187636035388607,180.75720415374127,7.087422806765105,0.5322916666666666,0.009375000000000022,0.0,0.0,2.8163982582235816,0.0816258613354286,3.6716460807710014,0.10922108230492111,480.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124999999999998,0.03749999999999998,0.11249999999999999,0.0375,3.4625,0.0625,0.5770833333333334,0.010416666666666685,0.018750000000000003,0.00625,1.7375,0.0625,0.775,0.0,1.9375,0.11249999999999993,1.1212594746415223,0.026581243369356744,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.012499999999999956,5.9625,0.03750000000000009,0.99375,0.006249999999999978,3.575,0.025000000000000133,0.0,0.0,0.4041666666666667,0.004166666666666652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.175,0.375,0.0,0.0,0.33333333333333337,0.0,51.11172877225431,0.33092947422889196
stable_control,flocking_topology_resilient,2,4.045452615980555,0.04101075240342933,4.003920603154068,0.025007851000706793,3.9807003251130872,0.03851625045440166,,,3.6295693903666026,0.005930228222576606,47.15381684274574,1.5372987354166305,0.43333333333333335,0.0,1.3009393548417199,0.0025436941596110874,0.03266185394022614,0.0006651460425928235,92160.0,0.0,0.5458333333333333,0.008333333333333304,3.509810134404363,0.035465725297144424,2.9910601344043632,0.01828427470285554,0.375,0.07500000000000001,0.0,0.0,0.625,0.07499999999999996,0.5,0.025000000000000022,0.16666666666666666,0.16666666666666666,0.0125,0.0125,0.19166666666666665,0.00833333333333336,4.0,3.0,49.15381684274574,1.5372987354166305,167.27037130721004,9.98942512506936,179.24138851885633,4.996646017309814,0.5166666666666666,0.0,0.0,0.0,2.9021382613323343,0.08033281897834788,3.414684648864585,0.26743298842292074,480.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124999999999998,0.03749999999999998,0.11249999999999999,0.0375,3.4875,0.012499999999999956,0.5812499999999999,0.002083333333333326,0.018750000000000003,0.00625,1.7375,0.0625,0.775,0.0,1.9125,0.0625,1.1233866476087984,0.02023481953903583,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.012499999999999956,5.9625,0.03750000000000009,0.99375,0.006249999999999978,3.6,0.02499999999999991,3.1070333297308657,0.27001119606517543,0.39999999999999997,0.004166666666666652,0.0,0.0,0.0,0.0,0.05,0.05,1.0,1.0,14.325,0.07500000000000018,0.05,0.05,0.33333333333333337,0.0,51.52105624272309,1.5139997907954346
failure_only,flocking_robust_active,2,3.769815738473889,0.5405233232506839,3.268044589173118,1.0422944725514547,3.537673776488431,0.7590883611038222,,,3.6494492837274963,0.014682482402242902,39.93064421425144,14.954555859887599,0.26874999999999993,0.13124999999999998,3.7433931204612065,0.8501948437692748,0.039435874903574586,0.003688249969854951,74496.0,1920.0,0.8754166666666666,0.12458333333333338,2.4828418008743203,0.6393978966815611,2.3484668008743204,0.7737728966815611,0.8375,0.16249999999999998,0.0,0.0,0.1625,0.1625,0.125,0.125,0.1875,0.1875,0.0375,0.0375,0.8325,0.16749999999999998,1.0,0.0,41.93064421425144,14.954555859887599,174.53419112455867,9.505530716663444,190.80589169969363,2.961264739187243,0.68125,0.13124999999999998,0.0,0.0,2.888269400628352,0.0037246200786640316,6.93624667727766,0.34318306383135777,388.0,10.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375,0.23750000000000004,0.2375,0.2375,3.4375,0.1875,0.8870833333333333,0.11291666666666667,0.11291666666666667,0.11291666666666667,0.925,0.875,0.41250000000000003,0.3625,1.0125,0.5375,1.1306327554724445,0.03993841364455808,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,3.8875,0.6375000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,46.633451634185704,0.27743131235568796
failure_only,flocking_topology_support,2,3.645139625272785,0.6651994364517881,3.2675745596056895,1.0427645021188832,3.2862591361354783,1.0105030014567753,,,3.642122599007954,0.00735579768270056,35.68646110051826,19.19873897362078,0.2666666666666666,0.1333333333333333,3.711069411401736,0.8178711347098042,0.03418825042899698,0.003344416501931846,73344.0,3072.0,0.5666666666666667,0.024999999999999967,2.722355619158521,1.0573840783973598,2.199230619158522,0.9230090783973599,0.3375,0.18750000000000003,0.0,0.0,0.6625,0.1875,0.2625,0.0625,0.125,0.125,0.0125,0.0125,0.1791666666666667,0.09583333333333335,1.0,0.0,37.68646110051826,19.19873897362078,160.71220680699008,4.316453600905177,190.80589169969363,2.961264739187243,0.6833333333333333,0.1333333333333333,0.0,0.0,2.914843243120049,0.022849222413033,7.072129471139471,0.2073002699695472,382.0,16.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375,0.23750000000000004,0.2375,0.2375,3.45,0.19999999999999996,0.575,0.033333333333333326,0.075,0.075,0.925,0.875,0.41250000000000003,0.3625,1.0,0.55,1.1324667971529365,0.03810437196406602,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,5.0,0.0,0.8333333333333333,0.0,3.9,0.6499999999999999,0.0,0.0,0.35,0.10833333333333331,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,15.375,2.4750000000000005,0.0,0.0,0.4166666666666667,0.08333333333333331,45.5758094069045,0.7802109149255152
failure_only,flocking_topology_rejoin,2,3.645139625272785,0.6651994364517881,3.2675745596056895,1.0427645021188832,3.2855582849138925,1.0122989554434971,,,3.608211847438755,0.041151474220340045,35.68449474470185,19.231250952737046,0.2666666666666666,0.1333333333333333,3.7123992272490938,0.8682783864008228,0.03494674991816282,0.0028678749222308397,73344.0,3072.0,0.553125,0.00520833333333337,2.7061056191585213,1.0411340783973597,2.199230619158522,0.9230090783973599,0.36250000000000004,0.1625,0.0,0.0,0.6375,0.16250000000000003,0.2875,0.037500000000000006,0.125,0.125,0.0125,0.0125,0.15208333333333335,0.035416666666666666,1.0,0.0,37.68449474470185,19.231250952737046,160.71220680699008,4.316453600905177,190.80589169969363,2.961264739187243,0.6833333333333333,0.1333333333333333,1.517037888667457,0.16377864573186707,2.9073930258565186,0.0032423949497246696,7.074604793850579,0.21112907126430125,382.0,16.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375,0.23750000000000004,0.2375,0.2375,3.4375,0.012500000000000178,0.5614583333333333,0.0031249999999999334,0.075,0.075,0.7000000000000001,0.65,0.41250000000000003,0.3625,0.8375,0.38750000000000007,1.0987322094799374,0.009074124623068558,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,5.0,0.0,0.8333333333333333,0.0,3.8187499999999996,0.4687499999999998,0.0,0.0,0.36354166666666665,0.07812499999999997,0.2,0.0,2.0,0.0,0.0,0.0,4.0,2.0,15.299999999999999,1.3499999999999996,0.0,0.0,0.33333333333333337,0.0,45.55493708575306,0.8010828668631333
failure_only,flocking_topology_partition,2,3.556565994315875,0.7537730674086978,3.2675745596056895,1.0427645021188832,3.2791937339878454,1.0186635063695442,,,3.608211847438755,0.041151474220340045,35.646711775955865,19.269033921483036,0.2666666666666666,0.1333333333333333,3.7123992272490938,0.8682783864008228,0.034192958497442305,0.001898041577078402,73344.0,3072.0,0.5489583333333333,0.009375000000000022,2.737980619158521,1.0092590783973596,2.199230619158522,0.9230090783973599,0.325,0.125,0.0,0.0,0.675,0.125,0.325,0.07500000000000001,0.125,0.125,0.0125,0.0125,0.14375,0.027083333333333334,1.0,0.0,37.646711775955865,19.269033921483036,160.71220680699008,4.316453600905177,190.80589169969363,2.961264739187243,0.6833333333333333,0.1333333333333333,1.517037888667457,0.16377864573186707,2.9073930258565186,0.0032423949497246696,7.074604793850579,0.21112907126430125,382.0,16.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.19999999999999996,0.2,0.2,3.4124999999999996,0.012499999999999956,0.5572916666666666,0.0010416666666667185,0.0625,0.0625,0.7000000000000001,0.65,0.41250000000000003,0.3625,0.8375,0.38750000000000007,1.0987322094799374,0.009074124623068558,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,4.8875,0.11249999999999982,0.8145833333333332,0.018750000000000044,3.71875,0.36875000000000013,0.0,0.0,0.38020833333333326,0.06145833333333331,0.2,0.0,2.0,0.0,0.0,0.0,4.0,2.0,14.925,0.9750000000000005,0.0,0.0,0.33333333333333337,0.0,45.55493708575306,0.8010828668631333
failure_only,flocking_topology_resilient,2,3.5902177147679666,0.7180121419335288,3.2766615476400727,1.0315683090614227,3.28390910224308,1.0239928707297155,,,3.6150343418812145,0.03996295095169744,35.48986624024217,19.36022666117063,0.2625,0.15416666666666662,3.7323471405978923,0.8910116741314862,0.03485516703221947,0.0023875831393525004,73632.0,2208.0,0.5506944444444444,0.007638888888888917,2.772251764700897,0.971760660161864,2.2278767647008966,0.8911356601618639,0.3125,0.11249999999999999,0.0,0.0,0.6875,0.11250000000000004,0.2875,0.037500000000000006,0.125,0.125,0.0125,0.0125,0.1472222222222222,0.030555555555555544,1.0,0.0,37.48986624024217,19.36022666117063,160.57329662646646,4.544269767414519,190.2731592605596,6.035124724393455,0.6875,0.15416666666666662,1.866114356347507,0.18503508326077645,2.9372448857771394,0.08687734896077792,6.703968958041296,0.06900014122471942,383.5,11.5,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2125,0.21250000000000002,0.2125,0.2125,3.425,0.0,0.5590277777777777,0.0006944444444443865,0.06666666666666667,0.06666666666666667,0.6875,0.6625000000000001,0.4,0.375,0.8250000000000001,0.4,1.0967861348930321,0.009746641612655815,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0375,0.03749999999999998,4.9125,0.08749999999999991,0.8187499999999999,0.014583333333333337,3.7541666666666664,0.40416666666666656,2.68848608383715,0.24922475211339612,0.3743055555555555,0.0673611111111111,0.2,0.0,2.0,0.0,0.1,0.1,4.0,2.0,15.075,1.125,0.1,0.1,0.33333333333333337,0.0,45.98600622727089,0.9425126961598345
