scope,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,relative_improvement_percent,ci95_lower,ci95_upper,wins,ties,losses
stable_control,flocking_topology_resilient,flocking_robust_active,decision_loss,lower,30,0.940005778806956,0.9543062868135509,-0.014300508006594721,-1.5213212864228083,-0.030847394673013305,0.001732999807908443,11,3,16
stable_control,flocking_topology_resilient,flocking_robust_active,position_rmse,lower,30,2.225845497214249,2.2264720234833932,-0.0006265262691436865,-0.028147787882304223,-0.02482418506965466,0.021657703121599956,13,3,14
stable_control,flocking_topology_resilient,flocking_robust_active,wrong_mode_action_rate,lower,30,0.008333333333333333,0.0037500000000000003,0.004583333333333333,55.0,0.0018750000000000001,0.0077083333333333335,11,18,1
stable_control,flocking_topology_resilient,flocking_robust_active,mean_nees,lower,30,2.294969015652222,2.220065738348832,0.07490327730339054,3.263803423598871,-0.2930956140597586,0.4137392011306852,15,3,12
stable_control,flocking_topology_resilient,flocking_robust_active,coverage95_rate,higher,30,0.9662309027777777,0.9686515376984127,0.0024206349206349082,0.2505234425514568,-0.0018613963293651044,0.006359350198412681,19,3,8
stable_control,flocking_topology_resilient,flocking_robust_active,max_primary_support_jump,lower,30,0.5113095238095239,0.5333333333333333,-0.02202380952380952,-4.307334109429568,-0.07025297619047617,0.03035714285714286,9,4,17
stable_control,flocking_topology_resilient,flocking_robust_active,rejoin_window_nees,lower,30,0.0,0.0,0.0,,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_robust_active,runtime_seconds,lower,30,0.9489303584676236,0.994771815277636,-0.04584145681001246,-4.830855752580131,-0.05396923654867957,-0.03798394141350096,0,0,30
stable_control,flocking_topology_resilient,flocking_robust_active,bytes_sent,lower,30,737280.0,737280.0,0.0,0.0,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_support,decision_loss,lower,30,0.9335974629198254,0.9543062868135509,-0.020708823893725293,-2.21817482547119,-0.03857616363734114,-0.0042307749993736425,12,0,18
stable_control,flocking_topology_resilient,flocking_topology_support,position_rmse,lower,30,2.2093940409476907,2.2264720234833932,-0.017077982535702127,-0.7729713314686388,-0.04285330074673487,0.007578308601080522,14,0,16
stable_control,flocking_topology_resilient,flocking_topology_support,wrong_mode_action_rate,lower,30,0.004375,0.0037500000000000003,0.000625,14.285714285714285,-0.0012500000000000002,0.0027083333333333334,7,18,5
stable_control,flocking_topology_resilient,flocking_topology_support,mean_nees,lower,30,1.9795179970907075,2.220065738348832,-0.24054774125812445,-12.151834012706974,-0.5847684315000882,0.01483639028900087,17,0,13
stable_control,flocking_topology_resilient,flocking_topology_support,coverage95_rate,higher,30,0.9692591765873017,0.9686515376984127,-0.0006076388888888692,-0.06269106381105682,-0.006038609871031711,0.004532787698412745,14,0,16
stable_control,flocking_topology_resilient,flocking_topology_support,max_primary_support_jump,lower,30,0.5416666666666666,0.5333333333333333,0.008333333333333333,1.5384615384615385,0.0,0.020833333333333332,2,28,0
stable_control,flocking_topology_resilient,flocking_topology_support,rejoin_window_nees,lower,30,0.0,0.0,0.0,,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_support,runtime_seconds,lower,30,0.9646083000736932,0.994771815277636,-0.030163515203942854,-3.127022149989633,-0.03743870762700681,-0.023140822257070492,2,0,28
stable_control,flocking_topology_resilient,flocking_topology_support,bytes_sent,lower,30,737280.0,737280.0,0.0,0.0,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_rejoin,decision_loss,lower,30,0.9335974629198254,0.9543062868135509,-0.020708823893725293,-2.21817482547119,-0.03885239507879586,-0.004324339273068511,12,0,18
stable_control,flocking_topology_resilient,flocking_topology_rejoin,position_rmse,lower,30,2.2093940409476907,2.2264720234833932,-0.017077982535702127,-0.7729713314686388,-0.04291123723793054,0.006362893673336872,14,0,16
stable_control,flocking_topology_resilient,flocking_topology_rejoin,wrong_mode_action_rate,lower,30,0.004375,0.0037500000000000003,0.000625,14.285714285714285,-0.00125,0.0027083333333333334,7,18,5
stable_control,flocking_topology_resilient,flocking_topology_rejoin,mean_nees,lower,30,1.9795179970907075,2.220065738348832,-0.24054774125812445,-12.151834012706974,-0.5838248086243298,0.024902646004430144,17,0,13
stable_control,flocking_topology_resilient,flocking_topology_rejoin,coverage95_rate,higher,30,0.9692591765873017,0.9686515376984127,-0.0006076388888888692,-0.06269106381105682,-0.005859654017857128,0.004429495287698426,14,0,16
