scope,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,relative_improvement_percent,ci95_lower,ci95_upper,wins,ties,losses
stable_control,flocking_topology_resilient,flocking_robust_active,decision_loss,lower,30,0.940005778806956,0.9386165811798844,0.0013891976270716366,0.14778607306380492,-0.016477861270986167,0.018349340571002876,15,1,14
stable_control,flocking_topology_resilient,flocking_robust_active,position_rmse,lower,30,2.225845497214249,2.2356128048903674,-0.009767307676118546,-0.43881337174313284,-0.05236229334406325,0.028284175783036655,18,1,11
stable_control,flocking_topology_resilient,flocking_robust_active,wrong_mode_action_rate,lower,30,0.008333333333333333,0.006458333333333333,0.0018750000000000001,22.500000000000004,-0.0031250000000000006,0.00625,14,9,7
stable_control,flocking_topology_resilient,flocking_robust_active,mean_nees,lower,30,2.294969015652222,1.7572166984458932,0.5377523172063295,23.43178986464452,0.20434191444473976,0.9141946854300692,18,1,11
stable_control,flocking_topology_resilient,flocking_robust_active,coverage95_rate,higher,30,0.9662309027777777,0.971372767857143,0.005141865079365082,0.5321569683377901,-0.0013700210813491884,0.011672116815476186,18,1,11
stable_control,flocking_topology_resilient,flocking_robust_active,max_primary_support_jump,lower,30,0.0,0.006944444444444444,-0.006944444444444444,,-0.01668402777777777,-0.0006944444444444438,0,26,4
stable_control,flocking_topology_resilient,flocking_robust_active,rejoin_window_nees,lower,30,0.0,0.0,0.0,,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_robust_active,runtime_seconds,lower,30,0.9399346707311148,1.0024359541479497,-0.06250128341683497,-6.649534841418206,-0.06773446274242209,-0.05770452241995371,0,0,30
stable_control,flocking_topology_resilient,flocking_robust_active,bytes_sent,lower,30,737280.0,737280.0,0.0,0.0,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_support,decision_loss,lower,30,0.9335974629198254,0.9386165811798844,-0.005019118260058934,-0.5376105290990878,-0.019498561562188762,0.009811287870106915,10,0,20
stable_control,flocking_topology_resilient,flocking_topology_support,position_rmse,lower,30,2.2093940409476907,2.2356128048903674,-0.026218763942676984,-1.1866947885597985,-0.07352770396882655,0.017087477547769445,15,0,15
stable_control,flocking_topology_resilient,flocking_topology_support,wrong_mode_action_rate,lower,30,0.004375,0.006458333333333333,-0.0020833333333333333,-47.61904761904761,-0.005208333333333333,0.0006250000000000001,5,17,8
stable_control,flocking_topology_resilient,flocking_topology_support,mean_nees,lower,30,1.9795179970907075,1.7572166984458932,0.22230129864481452,11.230072117128016,0.009231311697627762,0.48991358718963546,17,0,13
stable_control,flocking_topology_resilient,flocking_topology_support,coverage95_rate,higher,30,0.9692591765873017,0.971372767857143,0.002113591269841305,0.21806254930524588,-0.00430031622023808,0.007909734623015918,18,0,12
stable_control,flocking_topology_resilient,flocking_topology_support,max_primary_support_jump,lower,30,0.0,0.006944444444444444,-0.006944444444444444,,-0.016666666666666666,-0.0006944444444444438,0,26,4
stable_control,flocking_topology_resilient,flocking_topology_support,rejoin_window_nees,lower,30,0.0,0.0,0.0,,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_support,runtime_seconds,lower,30,0.9670021610644957,1.0024359541479497,-0.03543379308345417,-3.6642930605706123,-0.04057999170870365,-0.03029912548799378,0,0,30
stable_control,flocking_topology_resilient,flocking_topology_support,bytes_sent,lower,30,737280.0,737280.0,0.0,0.0,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_rejoin,decision_loss,lower,30,0.9335974629198254,0.9386165811798844,-0.005019118260058934,-0.5376105290990878,-0.019791813469865863,0.009393107831992265,10,0,20
stable_control,flocking_topology_resilient,flocking_topology_rejoin,position_rmse,lower,30,2.2093940409476907,2.2356128048903674,-0.026218763942676984,-1.1866947885597985,-0.07392585344336734,0.016426456778699368,15,0,15
stable_control,flocking_topology_resilient,flocking_topology_rejoin,wrong_mode_action_rate,lower,30,0.004375,0.006458333333333333,-0.0020833333333333333,-47.61904761904761,-0.005208333333333333,0.0006249999999999999,5,17,8
stable_control,flocking_topology_resilient,flocking_topology_rejoin,mean_nees,lower,30,1.9795179970907075,1.7572166984458932,0.22230129864481452,11.230072117128016,0.00849436982527287,0.4792482265512929,17,0,13
stable_control,flocking_topology_resilient,flocking_topology_rejoin,coverage95_rate,higher,30,0.9692591765873017,0.971372767857143,0.002113591269841305,0.21806254930524588,-0.004154383680555537,0.00813819444444449,18,0,12
stable_control,flocking_topology_resilient,flocking_topology_rejoin,max_primary_support_jump,lower,30,0.0,0.006944444444444444,-0.006944444444444444,,-0.016666666666666666,-0.0006944444444444438,0,26,4
stable_control,flocking_topology_resilient,flocking_topology_rejoin,rejoin_window_nees,lower,30,0.0,0.0,0.0,,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_rejoin,runtime_seconds,lower,30,0.9919812860277791,1.0024359541479497,-0.010454668120170632,-1.0539178780312053,-0.015369890236567395,-0.005495884283057723,9,0,21
stable_control,flocking_topology_resilient,flocking_topology_rejoin,bytes_sent,lower,30,737280.0,737280.0,0.0,0.0,0.0,0.0,0,30,0
stable_control,flocking_topology_resilient,flocking_topology_partition,decision_loss,lower,30,0.9616264926071214,0.9386165811798844,0.023009911427237222,2.392811720988855,0.0022108948925210585,0.04555327114320777,16,0,14
stable_control,flocking_topology_resilient,flocking_topology_partition,position_rmse,lower,30,2.2371852305188917,2.2356128048903674,0.001572425628524406,0.07028589350018631,-0.04291200098287624,0.044724375881519354,18,0,12
stable_control,flocking_topology_resilient,flocking_topology_partition,wrong_mode_action_rate,lower,30,0.004375,0.006458333333333333,-0.0020833333333333333,-47.61904761904761,-0.005208333333333333,0.0006250000000000001,5,17,8
stable_control,flocking_topology_resilient,flocking_topology_partition,mean_nees,lower,30,2.544751356963775,1.7572166984458932,0.7875346585178826,30.947410888013657,0.4033451958839792,1.169321945685314,20,0,10
