scenario,movement_cost_scale,policy,first_action,planning_sequences_evaluated
triad_uniform,0.0,myopic_voi,hold,5
triad_uniform,0.0,receding_horizon_voi,spread,25
triad_uniform,0.05,myopic_voi,hold,5
triad_uniform,0.05,receding_horizon_voi,spread,25
triad_uniform,0.1,myopic_voi,hold,5
triad_uniform,0.1,receding_horizon_voi,spread,25
triad_uniform,0.15,myopic_voi,hold,5
triad_uniform,0.15,receding_horizon_voi,spread,25
triad_uniform,0.2,myopic_voi,hold,5
triad_uniform,0.2,receding_horizon_voi,spread,25
triad_uniform,0.25,myopic_voi,hold,5
triad_uniform,0.25,receding_horizon_voi,spread,25
triad_uniform,0.5,myopic_voi,hold,5
triad_uniform,0.5,receding_horizon_voi,spread,25
triad_uniform,0.75,myopic_voi,hold,5
triad_uniform,0.75,receding_horizon_voi,spread,25
triad_uniform,1.0,myopic_voi,hold,5
triad_uniform,1.0,receding_horizon_voi,spread,25
triad_uniform,1.5,myopic_voi,hold,5
triad_uniform,1.5,receding_horizon_voi,spread,25
triad_uniform,2.0,myopic_voi,hold,5
triad_uniform,2.0,receding_horizon_voi,spread,25
triad_uniform,3.0,myopic_voi,hold,5
triad_uniform,3.0,receding_horizon_voi,hold,25
triad_uniform,4.0,myopic_voi,hold,5
triad_uniform,4.0,receding_horizon_voi,hold,25
near_pair_rare_distractor,0.0,myopic_voi,spread,5
near_pair_rare_distractor,0.0,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.05,myopic_voi,spread,5
near_pair_rare_distractor,0.05,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.1,myopic_voi,hold,5
near_pair_rare_distractor,0.1,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.15,myopic_voi,hold,5
near_pair_rare_distractor,0.15,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.2,myopic_voi,hold,5
near_pair_rare_distractor,0.2,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.25,myopic_voi,hold,5
near_pair_rare_distractor,0.25,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.5,myopic_voi,hold,5
near_pair_rare_distractor,0.5,receding_horizon_voi,spread,25
near_pair_rare_distractor,0.75,myopic_voi,hold,5
near_pair_rare_distractor,0.75,receding_horizon_voi,spread,25
near_pair_rare_distractor,1.0,myopic_voi,hold,5
near_pair_rare_distractor,1.0,receding_horizon_voi,spread,25
near_pair_rare_distractor,1.5,myopic_voi,hold,5
near_pair_rare_distractor,1.5,receding_horizon_voi,hold,25
near_pair_rare_distractor,2.0,myopic_voi,hold,5
near_pair_rare_distractor,2.0,receding_horizon_voi,hold,25
near_pair_rare_distractor,3.0,myopic_voi,hold,5
near_pair_rare_distractor,3.0,receding_horizon_voi,hold,25
near_pair_rare_distractor,4.0,myopic_voi,hold,5
near_pair_rare_distractor,4.0,receding_horizon_voi,hold,25
asymmetric_transit,0.0,myopic_voi,hold,5
asymmetric_transit,0.0,receding_horizon_voi,spread,25
asymmetric_transit,0.05,myopic_voi,hold,5
asymmetric_transit,0.05,receding_horizon_voi,spread,25
asymmetric_transit,0.1,myopic_voi,hold,5
asymmetric_transit,0.1,receding_horizon_voi,spread,25
asymmetric_transit,0.15,myopic_voi,hold,5
asymmetric_transit,0.15,receding_horizon_voi,spread,25
asymmetric_transit,0.2,myopic_voi,hold,5
asymmetric_transit,0.2,receding_horizon_voi,spread,25
asymmetric_transit,0.25,myopic_voi,hold,5
asymmetric_transit,0.25,receding_horizon_voi,spread,25
asymmetric_transit,0.5,myopic_voi,hold,5
asymmetric_transit,0.5,receding_horizon_voi,spread,25
asymmetric_transit,0.75,myopic_voi,hold,5
asymmetric_transit,0.75,receding_horizon_voi,spread,25
asymmetric_transit,1.0,myopic_voi,hold,5
