movement_cost_scale,policy,runs,decision_cost_mean,scaled_movement_cost_mean,repriced_total_loss_mean
0.0,passive,500,2.5,0.0,2.5
0.0,round_robin,500,0.288,0.0,0.288
0.0,myopic_voi,500,2.5,0.0,2.5
0.0,receding_horizon_voi,500,0.396,0.0,0.396
0.0,computational_oracle,500,0.4155,0.0,0.4155
0.05,passive,500,2.5,0.0,2.5
0.05,round_robin,500,0.288,0.08622052024320001,0.37422052024319996
0.05,myopic_voi,500,2.5,0.0,2.5
0.05,receding_horizon_voi,500,0.396,0.05213450424251542,0.4481345042425154
0.05,computational_oracle,500,0.4155,0.04299215655385591,0.45849215655385595
0.1,passive,500,2.5,0.0,2.5
0.1,round_robin,500,0.288,0.17244104048640002,0.4604410404864
0.1,myopic_voi,500,2.5,0.0,2.5
0.1,receding_horizon_voi,500,0.396,0.10426900848503085,0.5002690084850309
0.1,computational_oracle,500,0.4155,0.08598431310771182,0.5014843131077118
0.15,passive,500,2.5,0.0,2.5
0.15,round_robin,500,0.288,0.2586615607296,0.5466615607296
0.15,myopic_voi,500,2.5,0.0,2.5
0.15,receding_horizon_voi,500,0.396,0.15640351272754627,0.5524035127275463
0.15,computational_oracle,500,0.4155,0.12897646966156773,0.5444764696615677
0.2,passive,500,2.5,0.0,2.5
0.2,round_robin,500,0.288,0.34488208097280004,0.6328820809728001
0.2,myopic_voi,500,2.5,0.0,2.5
0.2,receding_horizon_voi,500,0.396,0.2085380169700617,0.6045380169700617
0.2,computational_oracle,500,0.4155,0.17196862621542364,0.5874686262154237
0.25,passive,500,2.5,0.0,2.5
0.25,round_robin,500,0.288,0.431102601216,0.7191026012159999
0.25,myopic_voi,500,2.5,0.0,2.5
0.25,receding_horizon_voi,500,0.396,0.2606725212125771,0.656672521212577
0.25,computational_oracle,500,0.4155,0.21496078276927955,0.6304607827692796
0.5,passive,500,2.5,0.0,2.5
0.5,round_robin,500,0.288,0.862205202432,1.150205202432
0.5,myopic_voi,500,2.5,0.0,2.5
0.5,receding_horizon_voi,500,0.396,0.5213450424251542,0.9173450424251544
0.5,computational_oracle,500,0.4155,0.4299215655385591,0.8454215655385591
0.75,passive,500,2.5,0.0,2.5
0.75,round_robin,500,0.288,1.2933078036480001,1.5813078036480002
0.75,myopic_voi,500,2.5,0.0,2.5
0.75,receding_horizon_voi,500,0.396,0.7820175636377313,1.1780175636377312
0.75,computational_oracle,500,0.4155,0.6448823483078386,1.0603823483078385
1.0,passive,500,2.5,0.0,2.5
1.0,round_robin,500,0.288,1.724410404864,2.012410404864
1.0,myopic_voi,500,2.5,0.0,2.5
1.0,receding_horizon_voi,500,0.396,1.0426900848503085,1.4386900848503088
1.0,computational_oracle,500,0.4155,0.8598431310771182,1.2753431310771182
1.5,passive,500,2.5,0.0,2.5
1.5,round_robin,500,0.288,2.5866156072960003,2.8746156072960005
1.5,myopic_voi,500,2.5,0.0,2.5
1.5,receding_horizon_voi,500,0.396,1.5640351272754627,1.9600351272754628
1.5,computational_oracle,500,0.4155,1.2897646966156773,1.7052646966156773
2.0,passive,500,2.5,0.0,2.5
2.0,round_robin,500,0.288,3.448820809728,3.7368208097280005
2.0,myopic_voi,500,2.5,0.0,2.5
2.0,receding_horizon_voi,500,0.396,2.085380169700617,2.4813801697006173
2.0,computational_oracle,500,0.4155,1.7196862621542364,2.1351862621542366
3.0,passive,500,2.5,0.0,2.5
3.0,round_robin,500,0.288,5.1732312145920005,5.461231214592002
3.0,myopic_voi,500,2.5,0.0,2.5
3.0,receding_horizon_voi,500,0.396,3.1280702545509254,3.5240702545509257
3.0,computational_oracle,500,0.4155,2.5795293932313546,2.9950293932313543
4.0,passive,500,2.5,0.0,2.5
4.0,round_robin,500,0.288,6.897641619456,7.185641619456001
4.0,myopic_voi,500,2.5,0.0,2.5
4.0,receding_horizon_voi,500,0.396,4.170760339401234,4.566760339401234
4.0,computational_oracle,500,0.4155,3.4393725243084727,3.854872524308473
