scope,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses
triad_uniform,round_robin,passive,total_decision_loss,lower,30,2.5,1.6755275733333335,0.8244724266666665,0.6866570666666665,0.9535786666666666,28,0,2
triad_uniform,round_robin,passive,decision_cost,lower,30,2.5,0.25833333333333336,2.2416666666666667,2.216666666666667,2.2666666666666666,30,0,0
triad_uniform,round_robin,passive,movement_cost,lower,30,0.0,1.4171942400000002,-1.4171942400000002,-1.5589056000000003,-1.3130880000000003,0,0,30
triad_uniform,round_robin,passive,resolution_steps,lower,30,10.0,2.033333333333333,7.966666666666667,7.866666666666666,8.066666666666666,30,0,0
triad_uniform,round_robin,passive,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,round_robin,passive,brier_score,lower,30,0.6666666666666669,5.557295891535366e-06,0.6666611093707753,0.6666514215662787,0.666666661621747,30,0,0
triad_uniform,round_robin,passive,log_loss,lower,30,1.09861228866811,0.0004999080879845841,1.0981123805801252,1.097386066537344,1.0985937590292645,30,0,0
triad_uniform,round_robin,passive,final_truth_probability,higher,30,0.3333333333333334,0.9995017499899758,0.6661684166566423,0.6654448694848464,0.6666516703883292,30,0,0
triad_uniform,myopic_voi,passive,total_decision_loss,lower,30,2.5,2.5,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,decision_cost,lower,30,2.5,2.5,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,movement_cost,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,resolution_steps,lower,30,10.0,10.0,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,brier_score,lower,30,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,log_loss,lower,30,1.09861228866811,1.09861228866811,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,passive,final_truth_probability,higher,30,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0,30,0
triad_uniform,receding_horizon_voi,passive,total_decision_loss,lower,30,2.5,1.1909013968228597,1.3090986031771403,1.209166891409483,1.4053323822470456,30,0,0
triad_uniform,receding_horizon_voi,passive,decision_cost,lower,30,2.5,0.325,2.175,2.125,2.225,30,0,0
triad_uniform,receding_horizon_voi,passive,movement_cost,lower,30,0.0,0.86590139682286,-0.86590139682286,-0.9149641823795365,-0.817821705613142,0,0,30
triad_uniform,receding_horizon_voi,passive,resolution_steps,lower,30,10.0,2.3,7.7,7.5,7.9,30,0,0
triad_uniform,receding_horizon_voi,passive,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,receding_horizon_voi,passive,brier_score,lower,30,0.6666666666666669,1.7085975219453077e-05,0.6666495806914472,0.6666359806578487,0.6666603122860746,30,0,0
triad_uniform,receding_horizon_voi,passive,log_loss,lower,30,1.09861228866811,0.0017204033039523955,1.0968918853641574,1.095902724882442,1.0977393021621233,30,0,0
triad_uniform,receding_horizon_voi,passive,final_truth_probability,higher,30,0.3333333333333334,0.9982843694917669,0.6649510361584334,0.6639880023789594,0.6658113323117543,30,0,0
triad_uniform,computational_oracle,passive,total_decision_loss,lower,30,2.5,1.1909013968228597,1.3090986031771403,1.211002555728452,1.4054602095593043,30,0,0
triad_uniform,computational_oracle,passive,decision_cost,lower,30,2.5,0.325,2.175,2.1166666666666667,2.225,30,0,0
triad_uniform,computational_oracle,passive,movement_cost,lower,30,0.0,0.86590139682286,-0.86590139682286,-0.9135530320982165,-0.8198545244187332,0,0,30
triad_uniform,computational_oracle,passive,resolution_steps,lower,30,10.0,2.3,7.7,7.5,7.9,30,0,0
triad_uniform,computational_oracle,passive,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,computational_oracle,passive,brier_score,lower,30,0.6666666666666669,1.7085975219453077e-05,0.6666495806914472,0.6666364367147202,0.6666604761655195,30,0,0
triad_uniform,computational_oracle,passive,log_loss,lower,30,1.09861228866811,0.0017204033039523955,1.0968918853641574,1.0959330872517614,1.097741159487482,30,0,0
triad_uniform,computational_oracle,passive,final_truth_probability,higher,30,0.3333333333333334,0.9982843694917669,0.6649510361584334,0.6640093163005141,0.6658087267764335,30,0,0
triad_uniform,passive,round_robin,total_decision_loss,lower,30,1.6755275733333335,2.5,-0.8244724266666665,-0.9535786666666666,-0.6866570666666664,2,0,28
triad_uniform,passive,round_robin,decision_cost,lower,30,0.25833333333333336,2.5,-2.2416666666666667,-2.2666666666666666,-2.216666666666667,0,0,30
triad_uniform,passive,round_robin,movement_cost,lower,30,1.4171942400000002,0.0,1.4171942400000002,1.313088,1.5387187200000005,30,0,0
triad_uniform,passive,round_robin,resolution_steps,lower,30,2.033333333333333,10.0,-7.966666666666667,-8.066666666666666,-7.833333333333333,0,0,30
triad_uniform,passive,round_robin,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,passive,round_robin,brier_score,lower,30,5.557295891535366e-06,0.6666666666666669,-0.6666611093707753,-0.6666666630154605,-0.6666513408828202,0,0,30
triad_uniform,passive,round_robin,log_loss,lower,30,0.0004999080879845841,1.09861228866811,-1.0981123805801252,-1.098598434711535,-1.0973731894466927,0,0,30
triad_uniform,passive,round_robin,final_truth_probability,higher,30,0.9995017499899758,0.3333333333333334,-0.6661684166566423,-0.6666502166269845,-0.6654382896624845,0,0,30
triad_uniform,myopic_voi,round_robin,total_decision_loss,lower,30,1.6755275733333335,2.5,-0.8244724266666665,-0.9535786666666666,-0.6779479466666665,2,0,28
triad_uniform,myopic_voi,round_robin,decision_cost,lower,30,0.25833333333333336,2.5,-2.2416666666666667,-2.2666666666666666,-2.216666666666667,0,0,30
triad_uniform,myopic_voi,round_robin,movement_cost,lower,30,1.4171942400000002,0.0,1.4171942400000002,1.313088,1.5589056000000003,30,0,0
triad_uniform,myopic_voi,round_robin,resolution_steps,lower,30,2.033333333333333,10.0,-7.966666666666667,-8.066666666666666,-7.866666666666666,0,0,30
triad_uniform,myopic_voi,round_robin,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,myopic_voi,round_robin,brier_score,lower,30,5.557295891535366e-06,0.6666666666666669,-0.6666611093707753,-0.666666663064229,-0.6666513306875678,0,0,30
triad_uniform,myopic_voi,round_robin,log_loss,lower,30,0.0004999080879845841,1.09861228866811,-1.0981123805801252,-1.0985968451192984,-1.0973657649051058,0,0,30
triad_uniform,myopic_voi,round_robin,final_truth_probability,higher,30,0.9995017499899758,0.3333333333333334,-0.6661684166566423,-0.6666489961887093,-0.6654355966075125,0,0,30
triad_uniform,receding_horizon_voi,round_robin,total_decision_loss,lower,30,1.6755275733333335,1.1909013968228597,0.4846261765104736,0.38324043953984227,0.5905353678877925,29,1,0
triad_uniform,receding_horizon_voi,round_robin,decision_cost,lower,30,0.25833333333333336,0.325,-0.06666666666666667,-0.10833333333333334,-0.03333333333333333,0,22,8
triad_uniform,receding_horizon_voi,round_robin,movement_cost,lower,30,1.4171942400000002,0.86590139682286,0.5512928431771403,0.4678284962143176,0.6487077578958271,29,1,0
triad_uniform,receding_horizon_voi,round_robin,resolution_steps,lower,30,2.033333333333333,2.3,-0.26666666666666666,-0.43333333333333335,-0.13333333333333333,0,22,8
triad_uniform,receding_horizon_voi,round_robin,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,receding_horizon_voi,round_robin,brier_score,lower,30,5.557295891535366e-06,1.7085975219453077e-05,-1.1528679327917719e-05,-2.2229013625344248e-05,-2.9712396180290278e-06,6,1,23
triad_uniform,receding_horizon_voi,round_robin,log_loss,lower,30,0.0004999080879845841,0.0017204033039523955,-0.0012204952159678112,-0.002115695380689113,-0.0004015734015151581,6,1,23
triad_uniform,receding_horizon_voi,round_robin,final_truth_probability,higher,30,0.9995017499899758,0.9982843694917669,-0.001217380498208705,-0.002129272324865692,-0.0004162030278140077,6,1,23
triad_uniform,computational_oracle,round_robin,total_decision_loss,lower,30,1.6755275733333335,1.1909013968228597,0.4846261765104736,0.38205176425534776,0.5948421231788925,29,1,0
triad_uniform,computational_oracle,round_robin,decision_cost,lower,30,0.25833333333333336,0.325,-0.06666666666666667,-0.10833333333333334,-0.03333333333333333,0,22,8
triad_uniform,computational_oracle,round_robin,movement_cost,lower,30,1.4171942400000002,0.86590139682286,0.5512928431771403,0.4661325068623292,0.649266907297393,29,1,0
triad_uniform,computational_oracle,round_robin,resolution_steps,lower,30,2.033333333333333,2.3,-0.26666666666666666,-0.43333333333333335,-0.1,0,22,8
triad_uniform,computational_oracle,round_robin,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,computational_oracle,round_robin,brier_score,lower,30,5.557295891535366e-06,1.7085975219453077e-05,-1.1528679327917719e-05,-2.2057601585225373e-05,-2.888001973982283e-06,6,1,23
triad_uniform,computational_oracle,round_robin,log_loss,lower,30,0.0004999080879845841,0.0017204033039523955,-0.0012204952159678112,-0.0021097463065952423,-0.0004138222626097175,6,1,23
triad_uniform,computational_oracle,round_robin,final_truth_probability,higher,30,0.9995017499899758,0.9982843694917669,-0.001217380498208705,-0.00210137655534745,-0.00040201139209979927,6,1,23
triad_uniform,passive,myopic_voi,total_decision_loss,lower,30,2.5,2.5,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,decision_cost,lower,30,2.5,2.5,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,movement_cost,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,resolution_steps,lower,30,10.0,10.0,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,brier_score,lower,30,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,log_loss,lower,30,1.09861228866811,1.09861228866811,0.0,0.0,0.0,0,30,0
triad_uniform,passive,myopic_voi,final_truth_probability,higher,30,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0,30,0
triad_uniform,round_robin,myopic_voi,total_decision_loss,lower,30,2.5,1.6755275733333335,0.8244724266666665,0.6866570666666664,0.9535786666666666,28,0,2
triad_uniform,round_robin,myopic_voi,decision_cost,lower,30,2.5,0.25833333333333336,2.2416666666666667,2.216666666666667,2.2666666666666666,30,0,0
triad_uniform,round_robin,myopic_voi,movement_cost,lower,30,0.0,1.4171942400000002,-1.4171942400000002,-1.53871872,-1.313088,0,0,30
triad_uniform,round_robin,myopic_voi,resolution_steps,lower,30,10.0,2.033333333333333,7.966666666666667,7.833333333333333,8.066666666666666,30,0,0
triad_uniform,round_robin,myopic_voi,wrong_selection,lower,30,0.0,0.0,0.0,0.0,0.0,0,30,0
triad_uniform,round_robin,myopic_voi,brier_score,lower,30,0.6666666666666669,5.557295891535366e-06,0.6666611093707753,0.6666513401770403,0.6666666622861788,30,0,0
triad_uniform,round_robin,myopic_voi,log_loss,lower,30,1.09861228866811,0.0004999080879845841,1.0981123805801252,1.0973756703882023,1.0985963083932293,30,0,0
triad_uniform,round_robin,myopic_voi,final_truth_probability,higher,30,0.3333333333333334,0.9995017499899758,0.6661684166566423,0.6654303839578635,0.6666514052166077,30,0,0
triad_uniform,receding_horizon_voi,myopic_voi,total_decision_loss,lower,30,2.5,1.1909013968228597,1.3090986031771403,1.2042397489421546,1.407469937830002,30,0,0
triad_uniform,receding_horizon_voi,myopic_voi,decision_cost,lower,30,2.5,0.325,2.175,2.125,2.225,30,0,0
triad_uniform,receding_horizon_voi,myopic_voi,movement_cost,lower,30,0.0,0.86590139682286,-0.86590139682286,-0.9140245478287241,-0.8185319700394774,0,0,30
