scenario,policy,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,hold_actions_mean,hold_actions_std,spread_actions_mean,spread_actions_std,probe_actions_mean,probe_actions_std,unique_probe_actions_mean,unique_probe_actions_std,planning_sequences_evaluated_mean,planning_sequences_evaluated_std,runtime_seconds_mean,runtime_seconds_std,hold_actions_fraction,spread_actions_fraction,probe_actions_fraction
triad_uniform,passive,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,5.551115123125783e-17,1.0986122886681096,0.0,0.6666666666666667,0.0,1.0986122886681096,2.220446049250313e-16,0.33333333333333337,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001494154124520719,0.003793212199949903,1.0,0.0,0.0
triad_uniform,round_robin,10,1.0,0.0,2.0,0.4472135954999579,0.0,0.0,1.6470073600000004,0.5603482747530562,0.25,0.11180339887498948,1.3970073600000004,0.4491531019805235,1.3970073600000004,0.4491531019805235,0.9988848633963133,0.002718926340183148,0.007227909976170913,0.017069612097458775,1.4154871190955675e-05,4.001975270359234e-05,0.0011194800864665095,0.002731168804819377,0.871834975059936,0.09927549731510954,0.0,0.0,2.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,9.39918216317892e-05,1.4714512168018422e-05,0.0,1.0,0.0
triad_uniform,myopic_voi,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,5.551115123125783e-17,1.0986122886681096,0.0,0.6666666666666667,0.0,1.0986122886681096,2.220446049250313e-16,0.33333333333333337,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.003555595735087991,0.00017370293225388279,1.0,0.0,0.0
triad_uniform,receding_horizon_voi,10,1.0,0.0,2.4,0.8,0.0,0.0,1.2224981227631866,0.3709350442374635,0.35,0.2,0.8724981227631867,0.17309667728393038,0.9646226534539833,0.21637084660491296,0.99764372802211,0.0033271088853107657,0.015130029476432683,0.020377540882995746,2.946660774767336e-05,4.956344389107277e-05,0.0023646268430644103,0.003341030042519977,0.8704320879074766,0.0913060471683781,1.2,0.8717797887081347,1.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001,60.0,20.0,0.006599608273245394,0.0021644371771735093,0.5,0.4166666666666667,0.08333333333333333
triad_uniform,computational_oracle,10,1.0,0.0,2.4,0.8,0.0,0.0,1.2224981227631866,0.3709350442374635,0.35,0.2,0.8724981227631867,0.17309667728393038,0.9646226534539833,0.21637084660491296,0.99764372802211,0.0033271088853107657,0.015130029476432683,0.020377540882995746,2.946660774767336e-05,4.956344389107277e-05,0.0023646268430644103,0.003341030042519977,0.8704320879074766,0.0913060471683781,1.2,0.8717797887081347,1.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001,300.0,100.0,0.04462979577947408,0.014919827961568904,0.5,0.4166666666666667,0.08333333333333333
near_pair_rare_distractor,passive,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.41500000000000004,0.10500000000000001,0.948915435895399,1.60886601221371e-16,0.585,0.20999999999999996,0.9489154358953993,0.45122321903288237,0.45,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001922708936035633,9.848967477954244e-06,1.0,0.0,0.0
near_pair_rare_distractor,round_robin,10,1.0,0.0,2.5,0.5,0.0,0.0,2.4647533440000005,0.7342029440000003,0.375,0.125,2.089753344000001,0.6092029440000002,1.9349568000000001,0.5640768,0.9998410498065432,0.00027559112124143817,0.0013578554244337746,0.0022426208227855583,2.0243125658778962e-07,4.7161326925888336e-07,0.00015900082745736943,0.0002757044331393334,0.8461128851658417,0.06199522098407035,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00010205847211182117,1.4339207217464426e-05,0.0,1.0,0.0
near_pair_rare_distractor,myopic_voi,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.41500000000000004,0.10500000000000001,0.948915435895399,1.60886601221371e-16,0.585,0.20999999999999996,0.9489154358953993,0.45122321903288237,0.45,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.003246333566494286,9.187331153059519e-05,1.0,0.0,0.0
near_pair_rare_distractor,receding_horizon_voi,10,1.0,0.0,3.1,0.9433981132056605,0.0,0.0,1.8429131469787834,0.46671916332880875,0.525,0.23584952830141512,1.3179131469787835,0.3128510160935847,1.4103098337234792,0.3253487517594711,0.9990115640648675,0.0013841649716475086,0.0070182107875927146,0.00919275538266002,5.667601160217801e-06,1.1095974114835962e-05,0.0009898858753117075,0.0013869009470172853,0.8401260396454306,0.055949216220476085,0.9,0.9433981132056604,1.2,0.4,1.0,0.6324555320336759,0.8,0.4,77.5,23.58495283014151,0.008669375092722476,0.0026354799267806145,0.2903225806451613,0.3870967741935484,0.3225806451612903
near_pair_rare_distractor,computational_oracle,10,1.0,0.0,3.3,0.45825756949558405,0.0,0.0,1.0312101555200002,0.14221668062096834,0.575,0.11456439237389601,0.45621015552,0.04689756725936356,0.5702626944,0.05862195907420443,0.998366014426195,0.0021732037191508286,0.01077512734201814,0.013321592472173207,1.4774695367051344e-05,2.5612699338158548e-05,0.0016376950437818338,0.0021794586454965004,0.7738501849343387,0.0408513371823406,1.0,0.7745966692414834,0.0,0.0,2.3,0.45825756949558405,1.0,0.0,412.5,57.282196186948,0.0640178251080215,0.008469450017700707,0.30303030303030304,0.0,0.696969696969697
asymmetric_transit,passive,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.40499999999999997,0.11056672193748006,0.998579331587392,1.7199501139797033e-16,0.5849999999999997,0.22113344387496006,0.956214438568032,0.35586159581111315,0.5000000000000001,2.009166285660708e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021026667673140764,2.1163770363125173e-05,1.0,0.0,0.0
asymmetric_transit,round_robin,10,1.0,0.0,2.1,0.3,0.0,0.0,1.9960866176000003,0.4675974528,0.275,0.075,1.7210866176000004,0.39259745279999997,1.4836953600000002,0.3384460800000001,0.9997175192287096,0.0008272610321507734,0.00197672111632491,0.00569017255986797,1.5283074665017777e-06,4.583955792351299e-06,0.0002828635547797268,0.0008284090495048047,0.8766775989643796,0.07794167555291913,0.0,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0001136293401941657,2.7175616456640546e-05,0.0,1.0,0.0
asymmetric_transit,myopic_voi,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.40499999999999997,0.11056672193748006,0.998579331587392,1.7199501139797033e-16,0.5849999999999997,0.22113344387496006,0.956214438568032,0.35586159581111315,0.5000000000000001,2.009166285660708e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.004710650094784797,0.0009073226329553477,1.0,0.0,0.0
