scenario,algorithm,runs,integrated_loss_mean,integrated_loss_std,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,movement_distance_mean,movement_distance_std,movement_per_step_mean,movement_per_step_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_topology_components_mean,mean_topology_components_std,mean_missing_evidence_residual_mass_mean,mean_missing_evidence_residual_mass_std,investigation_request_rate_mean,investigation_request_rate_std,investigation_residual_guard_rate_mean,investigation_residual_guard_rate_std,investigation_replan_rate_mean,investigation_replan_rate_std,investigation_active_motion_rate_mean,investigation_active_motion_rate_std,investigation_probe_rate_mean,investigation_probe_rate_std,mean_investigation_active_agents_mean,mean_investigation_active_agents_std,mean_investigation_mode_count_mean,mean_investigation_mode_count_std,investigation_planning_sequences_mean,investigation_planning_sequences_std,runtime_seconds_mean,runtime_seconds_std
stable_control,flocking_topology_admission_posterior,150,1.0479070395698917,0.12516583279142957,0.2720251136632526,0.013466743728313099,0.30676312161119945,0.015202988056859044,155.17638518132782,24.98265677792562,0.9698524073832989,0.15614160486203513,0.0,0.0,1.7138449269231721,0.16171171133295636,5.047043423740017,0.6411240028231282,0.9703333333333334,0.014758236871508585,1.0,0.0,1.006375,0.010544301383527813,0.012948671655182101,0.0020368658625651596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.623755193067094,0.25291725336897297
stable_control,flocking_topology_admission_round_robin,150,1.0383754667844582,0.1253594033464439,0.272574789174766,0.013544440787332166,0.30730711682754547,0.01501782719536013,153.16013552193846,25.056698282633143,0.9572508470121153,0.15660436426645713,0.0,0.0,1.7111949683868155,0.16021294208620093,5.054073871159418,0.6210288941834993,0.9698333333333334,0.014803340463857777,1.0,0.0,1.0124166666666667,0.012374088069654073,0.012943176771024599,0.002069783562351145,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.09999999999999998,2.7755575615628914e-17,1.0,0.0,0.0,0.0,10.733959346092306,0.26488619130775765
stable_control,flocking_topology_admission_receding_voi,150,1.036356247169082,0.12527164795728668,0.2720752857263262,0.013242682909254577,0.30683064232917184,0.01477943308195741,152.8561922885511,25.03693878098434,0.9553512018034443,0.15648086738115213,0.0,0.0,1.7074662690716433,0.15830613358492626,5.04781059167553,0.6113051563371619,0.97,0.014577379737113254,1.0,0.0,1.0099583333333333,0.011969942100481887,0.012916566642888533,0.002007380845995723,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.0008333333333333334,0.0031180478223116178,0.0008333333333333334,0.0031180478223116178,0.0016666666666666668,0.0062360956446232355,1.0,0.0,25.0,0.0,10.837380523911367,0.23856533768429777
failure_only,flocking_topology_admission_posterior,150,1.0563933808948176,0.11401226162301069,0.2912409545995469,0.01554361728989095,0.3277561707449216,0.017113303317835192,153.03048525905416,22.007175277449058,0.9564405328690885,0.1375448454840566,0.0,0.0,1.7027455879271702,0.1607070088798163,5.041326673633049,0.6672947692179988,0.9701666666666665,0.01563160971308529,1.0,0.0,1.0109583333333334,0.01224610198752602,0.01414163792593612,0.0025890843880259115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.618949572771477,0.35564578263450547
failure_only,flocking_topology_admission_round_robin,150,1.0460705368677372,0.11300327043424843,0.29188356474475974,0.015298811086694548,0.3282154096346468,0.01667665227670041,150.8373944245955,21.957161240683053,0.9427337151537218,0.13723225775426912,0.0,0.0,1.7015282411478692,0.15837493274597692,5.051549037284636,0.6517041283172276,0.9695833333333334,0.01570673068747564,1.0,0.0,1.0165416666666667,0.013884506252974526,0.014102936125282971,0.0026578934157241935,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.09999999999999998,2.7755575615628914e-17,1.0,0.0,0.0,0.0,8.656507608355023,0.3654875321692636
failure_only,flocking_topology_admission_receding_voi,150,1.0442291615929855,0.11306144021777169,0.2915927006122438,0.015720121759279806,0.32790396344278105,0.01698757622121086,150.5272921961483,21.955816166528226,0.9407955762259269,0.13722385104080143,0.0,0.0,1.699316811826216,0.16047423202033553,5.041865836334336,0.6565149362560967,0.97,0.015275252316519465,1.0,0.0,1.0147916666666668,0.014075996609674051,0.014108042096946018,0.0026264824533575697,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.0008333333333333334,0.0031180478223116178,0.0008333333333333334,0.0031180478223116178,0.0016666666666666668,0.0062360956446232355,1.0,0.0,25.0,0.0,8.749616340549352,0.4022714495871219
partition_only,flocking_topology_admission_posterior,150,1.1525194093868518,0.13861702212512808,0.3722635285785673,0.049227939573673586,0.41052789368818277,0.05096860410558317,156.0511761616569,24.737593727756288,0.9753198510103558,0.1546099607984768,0.0,0.0,1.6810288037514756,0.1686870692129104,4.953743799689156,0.6632455792203488,0.9712916666666667,0.014827070307005663,1.0,0.0,2.117375,0.10241325089232026,0.02289947982535247,0.007107542944872958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.233061223356053,0.3101677858616764
partition_only,flocking_topology_admission_round_robin,150,1.1402986217258098,0.13858024936838448,0.3696593250928449,0.05156582864185016,0.4069211447275863,0.0523489479667345,154.12785932659298,24.68356084568133,0.9632991207912062,0.15427225528550828,0.0,0.0,1.6791517065993915,0.16899818632939778,4.934910614883987,0.6352169857471607,0.9719166666666667,0.014590712418826196,1.0,0.0,2.1002083333333332,0.11287072404845384,0.022628072044648687,0.00702078676077543,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.09999999999999998,2.7755575615628914e-17,1.0,0.0,0.0,0.0,9.294608730281082,0.30190344607626296
partition_only,flocking_topology_admission_receding_voi,150,1.1372536719975601,0.13929788323275916,0.3685551520399272,0.04979611483880916,0.40628456365389914,0.05049678903164533,153.73970399152657,24.826072479756657,0.960873149947041,0.1551629529984791,0.0,0.0,1.680716792071882,0.1673027986581458,4.932225504253717,0.6617418752087979,0.9723333333333335,0.014203628253215993,1.0,0.0,2.093375,0.11185749397484879,0.022500685273790004,0.007013721364789257,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.0008333333333333334,0.0031180478223116178,0.0008333333333333334,0.0031180478223116178,0.0016666666666666668,0.0062360956446232355,1.0,0.0,25.0,0.0,9.417241733381525,0.2610364806505139
asymmetric_partition,flocking_topology_admission_posterior,150,1.189209235940283,0.14619389540020902,0.4096580730411569,0.0584225679585995,0.4455052692186276,0.05934483802280129,155.91023257982522,24.785924804536524,0.9744389536239075,0.15491203002835327,0.0,0.0,1.6776188232204594,0.16674972599758847,4.956274829725747,0.6809893151373885,0.9715000000000001,0.015129303795394334,1.0,0.0,2.0389166666666667,0.11199224923577922,0.026610044835902128,0.008297246239203724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3743767986369,0.887802448320596
asymmetric_partition,flocking_topology_admission_round_robin,150,1.1791263791835456,0.14579394662931228,0.40892858183224273,0.06076603509591182,0.4443473076086722,0.06025163043940392,154.0395594702605,24.70255293786104,0.962747246689128,0.15439095586163148,0.0,0.0,1.670389684711527,0.17233864922464198,4.9084955981921805,0.6845731298626013,0.973,0.014654350889752851,1.0,0.0,2.035625,0.10605803737419746,0.02653180405030551,0.008351662972817874,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.09999999999999998,2.7755575615628914e-17,1.0,0.0,0.0,0.0,9.458684116670241,0.9375544211669566
asymmetric_partition,flocking_topology_admission_receding_voi,150,1.1776587935115015,0.14630136738267785,0.40928436748358876,0.05921932769956203,0.44447672219926726,0.05934459225963002,153.67488520558248,24.828509423708915,0.9604680325348909,0.15517818389818072,0.0,0.0,1.6696380235243198,0.17350964852845713,4.923236549222599,0.6749550677780616,0.9728333333333334,0.014487542541400491,1.0,0.0,2.0252916666666665,0.09716646119189251,0.026679062398114788,0.00839010960903257,0.012499999999999997,3.469446951953614e-18,0.0,0.0,0.006249999999999999,1.734723475976807e-18,0.0008333333333333334,0.0031180478223116178,0.0008333333333333334,0.0031180478223116178,0.0016666666666666668,0.0062360956446232355,1.0,0.0,25.0,0.0,9.588676846398352,1.1646640223449922
