metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
integrated_loss,lower,2,0.41348363151662954,0.4159679832849117,-0.002484351768282156,-0.002566428738213,-0.0024022747983513115,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,2,0.2859869621389075,0.2868709764375041,-0.0008840142985965804,-0.0011428272828570285,-0.0006252013143361324,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,2,0.84997779585148,0.8606467123160507,-0.010668916464570632,-0.012941516159179045,-0.00839631676996222,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,2,1.941916795736454,1.9484420738698942,-0.006525278133440171,-0.015400350104549654,0.0023497938376693117,1,0,1,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,2,0.95,0.95625,0.006250000000000033,0.0,0.012500000000000067,1,1,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,2,1.0125,1.015625,-0.0031250000000000444,-0.006250000000000089,0.0,0,1,1,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,2,0.4170738692924125,0.4159679832849117,0.0011058860075008337,0.0008633569442197953,0.001348415070781872,2,0,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,2,0.28356503873802963,0.2868709764375041,-0.0033059376994744594,-0.004148751983940713,-0.002463123415008206,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8900588703625527,0.8606467123160507,0.029412158046502046,0.025410256571933743,0.03341405952107035,2,0,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,2,1.9008329289919188,1.9484420738698942,-0.047609144877975296,-0.06593490814977332,-0.029283381606177272,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.9625,0.95625,-0.006250000000000033,-0.006250000000000089,-0.006249999999999978,0,0,2,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,2,1.009375,1.015625,-0.006249999999999978,-0.03125,0.018750000000000044,1,0,1,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,2,0.4170738692924125,0.41348363151662954,0.0035902377757829895,0.0034297856824327955,0.0037506898691331836,2,0,0,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,2,0.28356503873802963,0.2859869621389075,-0.002421923400877879,-0.0035235506696045804,-0.0013202961321511775,0,0,2,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8900588703625527,0.84997779585148,0.04008107451107268,0.03380657334189596,0.046355575680249395,2,0,0,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,2,1.9008329289919188,1.941916795736454,-0.041083866744535125,-0.050534558045223665,-0.031633175443846584,0,0,2,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.9625,0.95,-0.012500000000000067,-0.018750000000000044,-0.006250000000000089,0,0,2,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,2,1.009375,1.0125,-0.0031249999999999334,-0.02499999999999991,0.018750000000000044,1,0,1,stable_control,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,2,0.4330279121419523,0.43284317168706266,0.00018474045488964252,-0.002788944114743175,0.00315842502452246,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,2,0.3026692902458004,0.3017334077189071,0.0009358825268933058,-0.0006054920183733437,0.002477257072159955,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,2,0.8690574793076793,0.874065093121037,-0.00500761381335757,-0.014556347309132023,0.004541119682416883,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,2,1.9404047074938178,1.9202504619630223,0.020154245530795478,-0.0032276621342095524,0.04353615319580051,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,2,0.95,0.946875,-0.003124999999999989,-0.006249999999999978,0.0,0,1,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,2,1.0125,1.025,-0.012500000000000067,-0.025000000000000133,0.0,0,1,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,2,0.43402230279879506,0.43284317168706266,0.0011791311117324288,0.0006169085079385517,0.001741353715526306,2,0,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,2,0.2997852122436654,0.3017334077189071,-0.0019481954752417485,-0.0026080681572425712,-0.0012883227932409258,0,0,2,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8949139370341982,0.874065093121037,0.020848843913161275,0.020197843391781545,0.021499844434541004,2,0,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,2,1.903777930364905,1.9202504619630223,-0.016472531598117124,-0.046128230350843014,0.013183167154608766,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.95,0.946875,-0.003124999999999989,-0.006249999999999978,0.0,0,1,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,2,1.009375,1.025,-0.015625,-0.050000000000000044,0.018750000000000044,1,0,1,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,2,0.43402230279879506,0.4330279121419523,0.0009943906568427863,-0.001417071308996154,0.0034058526226817265,1,0,1,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,2,0.2997852122436654,0.3026692902458004,-0.0028840780021350543,-0.003765579865400881,-0.0020025761388692276,0,0,2,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8949139370341982,0.8690574793076793,0.025856457726518844,0.01565672370936466,0.03605619174367303,2,0,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,2,1.903777930364905,1.9404047074938178,-0.0366267771289126,-0.04290056821663346,-0.030352986041191743,0,0,2,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.95,0.95,0.0,-0.006249999999999978,0.006249999999999978,1,0,1,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,2,1.009375,1.0125,-0.0031249999999999334,-0.02499999999999991,0.018750000000000044,1,0,1,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,2,0.5162659016009059,0.538186771536381,-0.021920869935474985,-0.025336360927355916,-0.018505378943594053,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,2,0.3887430632048309,0.409538627592118,-0.020795564387287135,-0.023894973812459308,-0.017696154962114963,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,2,0.8501522559738339,0.8576542929617528,-0.007502036987918792,-0.009609247432643797,-0.005394826543193787,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,2,1.7646342606143706,1.8355944356751772,-0.07096017506080687,-0.10380728299462727,-0.03811306712698648,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,2,0.96875,0.95625,-0.012499999999999956,-0.018749999999999933,-0.006249999999999978,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,2,2.0125,2.14375,-0.1312500000000001,-0.2250000000000001,-0.03750000000000009,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,2,0.5285639494008119,0.538186771536381,-0.009622822135569087,-0.032559336312184994,0.01331369204104682,1,0,1,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,2,0.39636041497376384,0.409538627592118,-0.013178212618354224,-0.03632207516772634,0.009965649931017895,1,0,1,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8813568961803203,0.8576542929617528,0.023702603218567597,0.022320280733526432,0.025084925703608763,2,0,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,2,1.7563506202678192,1.8355944356751772,-0.07924381540735803,-0.08480306483037725,-0.07368456598433881,0,0,2,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.965625,0.95625,-0.009374999999999967,-0.018749999999999933,0.0,0,1,1,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,2,2.13125,2.14375,-0.012499999999999956,-0.03125,0.006250000000000089,1,0,1,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,2,0.5285639494008119,0.5162659016009059,0.012298047799905898,-0.014053957368590941,0.03865005296840274,1,0,1,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,2,0.39636041497376384,0.3887430632048309,0.007617351768932912,-0.01862592020561138,0.0338606237434772,1,0,1,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,2,0.8813568961803203,0.8501522559738339,0.03120464020648639,0.03047975224680255,0.03192952816617023,2,0,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,2,1.7563506202678192,1.7646342606143706,-0.008283640346551158,-0.04668999770339077,0.030122717010288458,1,0,1,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,2,0.965625,0.96875,0.003124999999999989,0.0,0.006249999999999978,1,1,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,2,2.13125,2.0125,0.11875000000000013,0.04375000000000018,0.1937500000000001,2,0,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
