scenario,seed,algorithm,integrated_loss,movement_per_step,runtime_seconds,trace_fingerprint,investigation_action_trace,decision_loss,position_rmse,movement_distance,wrong_mode_action_rate,mean_nees,p95_nees,coverage95_rate,mean_delivery_ratio,mean_topology_components,mean_missing_evidence_residual_mass,investigation_request_rate,investigation_residual_guard_rate,investigation_replan_rate,investigation_active_motion_rate,investigation_probe_rate,mean_investigation_active_agents,mean_investigation_mode_count,investigation_planning_sequences
stable_control,17990,flocking_topology_admission_posterior,0.4222469830632408,0.9554869834533694,2.118507666978985,e6336d467fe8f6824054c60deb7b5c39a511a93e43dd504e25a3edafba9edcc5,inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive,0.2789239355452354,0.3206779352238713,152.8779173525391,0.0,1.8696637473866744,5.144085756214361,0.95625,1.0,1.01875,0.014334187277147793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stable_control,17991,flocking_topology_admission_posterior,0.4119007555215842,0.8246307572717362,2.132978375069797,1819ba452bf3f13bc74d290c7684fc1987cb8c904e2693471fa330006d8ca3b1,inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive,0.28820614193082383,0.3237378521669679,131.94092116347778,0.0,1.9320021105971634,5.609530945908961,0.96875,1.0,1.0,0.012303351146704083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stable_control,17990,flocking_topology_admission_round_robin,0.41849629319410764,0.9216804101114734,2.1619505409616977,e6336d467fe8f6824054c60deb7b5c39a511a93e43dd504e25a3edafba9edcc5,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|spread|spread|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.2802442316773866,0.3212777684534382,147.46886561783575,0.0,1.920198305431898,5.473501119453986,0.95,1.0,1.0,0.014436170482741073,0.0125,0.0,0.00625,0.0125,0.0,0.1,1.0,0
stable_control,17991,flocking_topology_admission_round_robin,0.40847096983915143,0.7782751815914868,2.119326167041436,1819ba452bf3f13bc74d290c7684fc1987cb8c904e2693471fa330006d8ca3b1,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|spread|spread|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.2917296926004284,0.3293519946043342,124.5240290546379,0.0,1.96363528604101,5.555320127065959,0.95,1.0,1.025,0.013203308056944257,0.0125,0.0,0.00625,0.0125,0.0,0.1,1.0,0
stable_control,17990,flocking_topology_admission_receding_voi,0.42089856799245895,0.9300767268814356,2.216779332840815,e6336d467fe8f6824054c60deb7b5c39a511a93e43dd504e25a3edafba9edcc5,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.28138705896024363,0.3230130949779673,148.8122763010297,0.0,1.9355986555364477,5.541259964580186,0.95,1.0,1.0,0.014097943113609698,0.0125,0.0,0.00625,0.0,0.0,0.0,1.0,25
stable_control,17991,flocking_topology_admission_receding_voi,0.41103739857736443,0.7912166977506658,2.180037916172296,1819ba452bf3f13bc74d290c7684fc1987cb8c904e2693471fa330006d8ca3b1,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.29235489391476455,0.32964270596847256,126.59467164010654,0.0,1.9612854922033407,5.635704655934439,0.9625,1.0,1.03125,0.012832457221964083,0.0125,0.0,0.00625,0.0,0.0,0.0,1.0,25
failure_only,17990,flocking_topology_admission_posterior,0.4515725254713571,0.9679015882721986,1.4118017498403788,5b92668947b61166229b24d3a99214ee2469cc61b3b16c4097e2ed2d272c3139,inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive,0.3063872872305273,0.35027316731523006,154.86425412355177,0.0,1.917608461660167,6.113961396877283,0.9375,1.0,1.01875,0.015694651858294974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
failure_only,17991,flocking_topology_admission_posterior,0.41647208012623305,0.8219262857961978,1.4340895421337336,ad183b7d5fbc00f79a2a31f318d7601e6730591037962e10a01c0f89d2e751c0,inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive|inactive,0.2931831372568034,0.32694055341448264,131.50820572739164,0.0,1.8899473990696432,5.380048677037217,0.9625,1.0,1.0,0.012430341513082449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
failure_only,17990,flocking_topology_admission_round_robin,0.4481666728486754,0.9318453965285256,1.4852702089119703,5b92668947b61166229b24d3a99214ee2469cc61b3b16c4097e2ed2d272c3139,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|spread|spread|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.30838986336939656,0.3504820439930556,149.0952634445641,0.0,1.9605090298768004,6.040437737458694,0.94375,1.0,1.0,0.015708338386224104,0.0125,0.0,0.00625,0.0125,0.0,0.1,1.0,0
failure_only,17991,flocking_topology_admission_round_robin,0.4178891514352292,0.8062695620868331,1.4621227921452373,ad183b7d5fbc00f79a2a31f318d7601e6730591037962e10a01c0f89d2e751c0,track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|spread|spread|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track|track,0.2969487171222043,0.3328498989148843,129.0031299338933,0.0,1.920300385110835,5.81325257932495,0.95625,1.0,1.025,0.013214062474521265,0.0125,0.0,0.00625,0.0125,0.0,0.1,1.0,0
