scenario,algorithm,runs,integrated_loss_mean,integrated_loss_std,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,movement_distance_mean,movement_distance_std,movement_per_step_mean,movement_per_step_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_topology_components_mean,mean_topology_components_std,mean_missing_evidence_residual_mass_mean,mean_missing_evidence_residual_mass_std,investigation_request_rate_mean,investigation_request_rate_std,investigation_residual_guard_rate_mean,investigation_residual_guard_rate_std,investigation_replan_rate_mean,investigation_replan_rate_std,investigation_active_motion_rate_mean,investigation_active_motion_rate_std,investigation_probe_rate_mean,investigation_probe_rate_std,mean_investigation_active_agents_mean,mean_investigation_active_agents_std,mean_investigation_mode_count_mean,mean_investigation_mode_count_std,investigation_planning_sequences_mean,investigation_planning_sequences_std,runtime_seconds_mean,runtime_seconds_std
stable_control,flocking_topology_admission_posterior,2,0.4170738692924125,0.005173113770828297,0.28356503873802963,0.004641103192794205,0.3222078936954196,0.0015299584715482983,142.40941925800843,10.46849809453066,0.8900588703625527,0.06542811309081659,0.0,0.0,1.9008329289919188,0.03116918160524451,5.376808351061661,0.23272259484730018,0.9625,0.006249999999999978,1.0,0.0,1.009375,0.009375000000000022,0.013318769211925938,0.0010154180652218545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125743021024391,0.007235354045405984
stable_control,flocking_topology_admission_round_robin,2,0.41348363151662954,0.005012661677478103,0.2859869621389075,0.005742730461520906,0.3253148815288862,0.00403711307544799,135.99644733623683,11.472418281598927,0.84997779585148,0.0717026142599933,0.0,0.0,1.941916795736454,0.02171849030455597,5.514410623259972,0.04090950380598635,0.95,0.0,1.0,0.0,1.0125,0.012499999999999956,0.013819739269842665,0.0006164312128984079,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,2.1406383540015668,0.02131218696013093
stable_control,flocking_topology_admission_receding_voi,2,0.4159679832849117,0.004930584707547259,0.2868709764375041,0.005483917477260458,0.3263279004732199,0.0033148054952526207,137.70347397056813,11.108802330461579,0.8606467123160507,0.06943001456538489,0.0,0.0,1.9484420738698942,0.012843418333446488,5.588482310257312,0.047222345677126576,0.95625,0.006250000000000033,1.0,0.0,1.015625,0.015625,0.01346520016778689,0.0006327429458228076,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,2.1984086245065555,0.01837070833425969
failure_only,flocking_topology_admission_posterior,2,0.43402230279879506,0.017550222672562038,0.2997852122436654,0.006602074986861967,0.3386068603648563,0.011666306950373712,143.1862299254717,11.678024198080067,0.8949139370341982,0.07298765123800044,0.0,0.0,1.903777930364905,0.013830531295261905,5.747005036957249,0.36695635992003295,0.95,0.012500000000000011,1.0,0.0,1.009375,0.009375000000000022,0.014062496685688711,0.0016321551726062623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4229456459870562,0.011143896146677434
failure_only,flocking_topology_admission_round_robin,2,0.4330279121419523,0.015138760706723098,0.3026692902458004,0.00572057312359614,0.34166597145396993,0.008816072539085645,139.0491966892287,10.046066755335403,0.8690574793076793,0.06278791722084626,0.0,0.0,1.9404047074938178,0.020104322382982764,5.9268451583918225,0.11359257906687192,0.95,0.006250000000000033,1.0,0.0,1.0125,0.012499999999999956,0.014461200430372684,0.0012471379558514194,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.4736965005286038,0.011573708383366466
failure_only,flocking_topology_admission_receding_voi,2,0.43284317168706266,0.018112445276355915,0.3017334077189071,0.007261947668862789,0.34101603047029355,0.010664299875050798,139.8504148993659,11.573864114659314,0.874065093121037,0.07233665071662071,0.0,0.0,1.9202504619630223,0.043486230047987795,5.605307874295752,0.46003367161700437,0.946875,0.009375000000000022,1.0,0.0,1.025,0.025000000000000022,0.014286108757895672,0.0013373790307477868,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,1.508234833017923,0.030560874962247908
partition_only,flocking_topology_admission_posterior,2,0.5285639494008119,0.021193352437543278,0.39636041497376384,0.011961214748579557,0.420714945091558,0.03853694782299938,141.01710338885124,9.84761353489462,0.8813568961803203,0.0615475845930914,0.0,0.0,1.7563506202678192,0.10251953712461048,5.216696490228337,0.2352446141341904,0.965625,0.009374999999999967,1.0,0.0,2.13125,0.006250000000000089,0.028240805907002432,0.0022842257656393358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579024579608813,0.01734562509227544
partition_only,flocking_topology_admission_round_robin,2,0.5162659016009059,0.04754535760604012,0.3887430632048309,0.03820448672312385,0.41446769916420245,0.046084295847377776,136.02436095581342,9.963595608444045,0.8501522559738339,0.06227247255277524,0.0,0.0,1.7646342606143706,0.06411317976777087,5.056097372334012,0.08071289027118533,0.96875,0.006249999999999978,1.0,0.0,2.0125,0.08125000000000004,0.027349848446466575,0.0007635186309033395,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.8231599584687501,0.03926912555471063
partition_only,flocking_topology_admission_receding_voi,2,0.538186771536381,0.044129866614159186,0.409538627592118,0.035105077297951676,0.4303174845655056,0.0420815349508038,137.22468687388044,9.626441937288043,0.8576542929617528,0.06016526210805023,0.0,0.0,1.8355944356751772,0.09696028770159125,5.241020051190773,0.27233497639618287,0.95625,0.0,1.0,0.0,2.14375,0.012499999999999956,0.029725561598925587,0.0004972055249508507,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,1.8557724580168724,0.008294125087559223
asymmetric_partition,flocking_topology_admission_posterior,2,0.6356507456427416,0.05002236688934131,0.5024420219421377,0.060122889240348976,0.4805274173699828,0.002417509883055613,142.08930528064428,10.773890507741484,0.8880581580040268,0.06733681567338429,0.0,0.0,1.808853030985524,0.08344231747742636,5.235322984897404,0.2584459445026148,0.971875,0.009374999999999967,1.0,0.0,2.078125,0.05937500000000018,0.04536318243430697,0.01460866939752647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687268540030345,0.05481560400221497
