metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
integrated_loss,lower,40,0.4220476250562766,0.4218580698562879,0.00018955519998870712,-0.000779286649793242,0.0011528243263353194,21,0,19,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.2794756217352713,0.2797403765793439,-0.0002647548440726288,-0.001201939921585711,0.000644815303281046,20,0,20,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.9504800221400351,0.9474512885129596,0.0030287336270755777,0.0015668753742256551,0.004456561206004914,29,0,11,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.8012619048932657,1.797762717642089,0.0034991872511766107,-0.004736083797528372,0.012903576079462496,19,0,21,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9649999999999999,0.96421875,-0.0007812500000000056,-0.002343750000000011,0.00078125,8,20,12,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,1.01,1.0109375,-0.0009375000000000022,-0.004999999999999999,0.0031249999999999833,12,14,14,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,0.4227075030438197,0.4218580698562879,0.000849433187531777,-0.00039092016240233486,0.00207018345138605,25,0,15,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.27859349930858957,0.2797403765793439,-0.0011468772707543136,-0.0021965081581639986,-9.17687993879394e-05,14,0,26,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9607600249015336,0.9474512885129596,0.01330873638857393,0.010280462765943842,0.01634036277420979,37,0,3,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.8029126190870106,1.797762717642089,0.005149901444921773,-0.0049328301189908415,0.015740580242893976,22,0,18,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.96328125,0.96421875,0.0009374999999999911,-0.0006250000000000089,0.002499999999999994,12,20,8,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.003125,1.0109375,-0.0078125,-0.0121875,-0.003281250000000019,6,13,21,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
