scenario,algorithm,runs,integrated_loss_mean,integrated_loss_std,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,movement_distance_mean,movement_distance_std,movement_per_step_mean,movement_per_step_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_topology_components_mean,mean_topology_components_std,mean_missing_evidence_residual_mass_mean,mean_missing_evidence_residual_mass_std,investigation_request_rate_mean,investigation_request_rate_std,investigation_residual_guard_rate_mean,investigation_residual_guard_rate_std,investigation_replan_rate_mean,investigation_replan_rate_std,investigation_active_motion_rate_mean,investigation_active_motion_rate_std,investigation_probe_rate_mean,investigation_probe_rate_std,mean_investigation_active_agents_mean,mean_investigation_active_agents_std,mean_investigation_mode_count_mean,mean_investigation_mode_count_std,investigation_planning_sequences_mean,investigation_planning_sequences_std,runtime_seconds_mean,runtime_seconds_std
stable_control,flocking_topology_admission_posterior,40,0.4227075030438197,0.0271542816287022,0.27859349930858957,0.012712752458342916,0.3144403985066672,0.013968879387996375,153.72160398424538,21.889310057182353,0.9607600249015336,0.1368081878573897,0.0,0.0,1.8029126190870106,0.1508142463420418,5.28567630771796,0.5769259397312784,0.96328125,0.014265034557879627,1.0,0.0,1.003125,0.00712609640686959,0.013257124708718166,0.0019959438288361456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28526962705073,0.18625042822328647
stable_control,flocking_topology_admission_round_robin,40,0.4220476250562766,0.026934513989348353,0.2794756217352713,0.012637453203816092,0.3149974591831509,0.013786257131257662,152.07680354240563,21.926284976057232,0.9504800221400351,0.1370392811003577,0.0,0.0,1.8012619048932657,0.15128247266486383,5.261418702266728,0.5824710223921263,0.9649999999999999,0.014169730060943296,1.0,0.0,1.01,0.010439558180306277,0.013334940037335185,0.0020090936221232336,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,10.453789682214847,0.16926458107821143
stable_control,flocking_topology_admission_receding_voi,40,0.4218580698562879,0.027191378503146776,0.2797403765793439,0.01246496236892483,0.3150896450024113,0.013669039059589251,151.59220616207352,22.14114717948369,0.9474512885129596,0.13838216987177304,0.0,0.0,1.797762717642089,0.15294569550847034,5.260211638211528,0.6050332408567423,0.96421875,0.013904494271187999,1.0,0.0,1.0109375,0.011418016191528182,0.013400893191818647,0.0021628973430766656,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,10.67604178537149,0.14605834080299965
failure_only,flocking_topology_admission_posterior,40,0.44310331709125456,0.03101388973538813,0.3004873674600841,0.017392955592961643,0.3362410589831724,0.015397144711543144,152.12367960658185,19.520843853904108,0.9507729975411365,0.12200527408690069,0.0,0.0,1.79020113747681,0.1428589976345606,5.229585268172897,0.5215075340488086,0.9643750000000001,0.012899854650343929,1.0,0.0,1.00828125,0.010115302068524682,0.014755504501282154,0.0029096395483267745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49987536884728,0.28027634179524985
failure_only,flocking_topology_admission_round_robin,40,0.4417200988474585,0.030221006979136565,0.30082407943731065,0.016601548661391265,0.33655088787489734,0.015074785391572712,150.28908737082438,19.43657053705122,0.9393067960676523,0.12147856585657013,0.0,0.0,1.787683808375791,0.14182288871326687,5.200143499596426,0.5357318215169303,0.9640625,0.013887803777055605,1.0,0.0,1.01328125,0.01187397199497707,0.014827000720840736,0.0029204577220360165,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,8.528316142660334,0.2020273633343927
failure_only,flocking_topology_admission_receding_voi,40,0.4422013093428439,0.03024563603926327,0.3014000312372165,0.016553723702933704,0.336943326816018,0.01458409364814444,150.1880299793359,19.506463511926512,0.9386751873708494,0.1219153969495407,0.0,0.0,1.7871525732505087,0.13894993508561262,5.191839078517397,0.5474165687031862,0.96328125,0.014536289448738283,1.0,0.0,1.0150000000000001,0.013891319231808037,0.014961904868191166,0.0029896408999153623,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,8.717340151104144,0.21593060096734584
partition_only,flocking_topology_admission_posterior,40,0.5261681815805683,0.05227758393310818,0.3808823252664558,0.04812243469567557,0.4161598344066431,0.04569529606574026,154.97158006838677,21.67680843592131,0.9685723754274174,0.13548005272450817,0.0,0.0,1.7563326240701784,0.17027246908817192,5.273492761593454,0.5993535826498705,0.96546875,0.015435570476581029,1.0,0.0,2.13953125,0.06032767781820793,0.02341073063767262,0.006717023586635652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.007679426996038,0.4096729865116467
partition_only,flocking_topology_admission_round_robin,40,0.5221996135670055,0.04997667771375485,0.3788909059177135,0.047595488778788865,0.4145605773185267,0.0426106719747448,152.86262149257809,21.877641674286235,0.955391384328613,0.13673526046428897,0.0,0.0,1.772180198302467,0.16668102632092474,5.310322614641505,0.6383990894489828,0.9639062500000002,0.01514819373514545,1.0,0.0,2.0975,0.08213222951436301,0.02315868887155001,0.007471276867173045,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,9.139836609276244,0.25539500283747935
partition_only,flocking_topology_admission_receding_voi,40,0.5205561611433118,0.05087055021834509,0.37744761730216164,0.0485330594508602,0.4118106587174782,0.04268364155117276,152.64911343056013,21.987410803896918,0.9540569589410008,0.13742131752435574,0.0,0.0,1.7656025872779275,0.1664869653320736,5.254186621984954,0.6441752613563527,0.9650000000000001,0.015168326374389496,1.0,0.0,2.09296875,0.08890817221120621,0.023167401275783945,0.0077741575919089475,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,9.30529634784325,0.22847115322939582
asymmetric_partition,flocking_topology_admission_posterior,40,0.5582832685270704,0.06680134379528918,0.4132043209051767,0.06038819917325422,0.4473922375381437,0.05316772348157959,154.7508774633533,21.915610808026074,0.9671929841459581,0.13697256755016296,0.0,0.0,1.76426106702128,0.14911277741328188,5.280423068721311,0.5701075810833208,0.9665624999999999,0.01476045709827443,1.0,0.0,2.01703125,0.12324540036422252,0.027052368531616987,0.009072068629791383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.051352206245065,0.23799469101117787
asymmetric_partition,flocking_topology_admission_round_robin,40,0.5562897159295398,0.06741579289275855,0.4129906957755674,0.061295575541374686,0.44676945767441545,0.05419548970371113,152.85228816423722,21.838533124775896,0.9553268010264828,0.13649083202984935,0.0,0.0,1.7608925605815084,0.1465232746718404,5.306827799797561,0.6041145901775586,0.9659375000000001,0.015177980555726112,1.0,0.0,1.97984375,0.09626306222241998,0.02736041105712156,0.009399729809845768,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,9.138883378030732,0.24694538673671376
asymmetric_partition,flocking_topology_admission_receding_voi,40,0.556862608741721,0.06801952053355545,0.413852912866572,0.06228566004178677,0.4473936361624416,0.053403581168618874,152.54367560015885,22.034490757037798,0.9533979725009928,0.13771556723148623,0.0,0.0,1.759637221131556,0.13618362278858903,5.3179062668048775,0.5660507607832752,0.96546875,0.015561590083841042,1.0,0.0,1.9989062499999999,0.1116100870147385,0.0271652389147408,0.00942524470864354,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,9.161575002066092,0.32571033081994905
failure_partition,flocking_topology_admission_posterior,40,0.5255097543674893,0.04606801215346288,0.38424479651945315,0.04086169252844429,0.41534024699698263,0.03363388489571502,150.68262170457183,18.544350531884543,0.941766385653574,0.11590219082427841,0.0,0.0,1.7721793871005278,0.16655805659675849,5.180515667082064,0.5517859627302946,0.9646875000000001,0.014013804577986674,1.0,0.0,1.6853124999999998,0.0822718198640944,0.02325616063888023,0.007222195702238585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.655808446888114,0.3515988237318214
failure_partition,flocking_topology_admission_round_robin,40,0.5245900140671955,0.04640288944479286,0.3850055181778219,0.0401696506192855,0.4145216663351123,0.03324136280770307,148.8901289486651,18.612508198054716,0.9305633059291569,0.11632817623784196,0.0,0.0,1.764502579370094,0.1519825515204913,5.211195532977061,0.6186095632176163,0.9649999999999999,0.012716868718359881,1.0,0.0,1.6775000000000002,0.0973556623931038,0.023576426374177742,0.007094070099553153,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,7.674421657325001,0.25472887117063003
failure_partition,flocking_topology_admission_receding_voi,40,0.5220135635114874,0.04321918666928142,0.38250249755547955,0.03805030113758688,0.41338701543806133,0.03507704039144434,148.81180368640838,18.715637084325714,0.9300737730400526,0.1169727317770357,0.0,0.0,1.7618944570348702,0.15138059507267201,5.257196322809226,0.6104106487195693,0.9650000000000001,0.01389131923180805,1.0,0.0,1.6839062500000004,0.0980362606306335,0.023156189250711452,0.006706178766825899,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,7.744937044754624,0.2504710674989696
