metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
integrated_loss,lower,40,1.0398596394472996,1.0377013824693604,0.002158256977939124,0.0006670281199524716,0.003649373192969149,26,0,14,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.2794756217352713,0.2795752060200706,-9.958428479930892e-05,-0.0009802758696350615,0.0007541944170779242,20,0,20,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.9504800221400351,0.947657720561612,0.0028223015784230475,0.0014419232127028858,0.004198845487659037,29,0,11,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.8012619048932657,1.7969727240459363,0.004289180847329282,-0.0038589983786196497,0.013435535523216038,20,0,20,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9649999999999999,0.96421875,-0.0007812500000000056,-0.002343750000000003,0.0007812499999999944,7,22,11,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,1.01,1.01015625,-0.00015625000000000223,-0.004218749999999988,0.0037499999999999977,13,16,11,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,1.0472015192298165,1.0377013824693604,0.009500136760456107,0.006767289852408185,0.012277643005076083,34,0,6,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.27859349930858957,0.2795752060200706,-0.0009817067114809939,-0.002045827330133122,0.00011715284852772547,15,0,25,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9607600249015336,0.947657720561612,0.0131023043399214,0.010200302060360076,0.01609362090023437,36,0,4,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,stable_control,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
