scenario,algorithm,runs,integrated_loss_mean,integrated_loss_std,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,movement_distance_mean,movement_distance_std,movement_per_step_mean,movement_per_step_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_topology_components_mean,mean_topology_components_std,mean_missing_evidence_residual_mass_mean,mean_missing_evidence_residual_mass_std,investigation_request_rate_mean,investigation_request_rate_std,investigation_residual_guard_rate_mean,investigation_residual_guard_rate_std,investigation_replan_rate_mean,investigation_replan_rate_std,investigation_active_motion_rate_mean,investigation_active_motion_rate_std,investigation_probe_rate_mean,investigation_probe_rate_std,mean_investigation_active_agents_mean,mean_investigation_active_agents_std,mean_investigation_mode_count_mean,mean_investigation_mode_count_std,investigation_planning_sequences_mean,investigation_planning_sequences_std,runtime_seconds_mean,runtime_seconds_std
stable_control,flocking_topology_admission_posterior,40,1.0472015192298165,0.11386308504747451,0.27859349930858957,0.012712752458342916,0.3144403985066672,0.013968879387996375,153.72160398424538,21.889310057182353,0.9607600249015336,0.1368081878573897,0.0,0.0,1.8029126190870106,0.1508142463420418,5.28567630771796,0.5769259397312784,0.96328125,0.014265034557879627,1.0,0.0,1.003125,0.00712609640686959,0.013257124708718166,0.0019959438288361456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.30244199076551,0.1694919132574113
stable_control,flocking_topology_admission_round_robin,40,1.0398596394472996,0.11376548029005483,0.2794756217352713,0.012637453203816092,0.3149974591831509,0.013786257131257662,152.07680354240563,21.926284976057232,0.9504800221400351,0.1370392811003577,0.0,0.0,1.8012619048932657,0.15128247266486383,5.261418702266728,0.5824710223921263,0.9649999999999999,0.014169730060943296,1.0,0.0,1.01,0.010439558180306277,0.013334940037335185,0.0020090936221232336,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,10.475710948888445,0.18861437380505483
stable_control,flocking_topology_admission_receding_voi,40,1.0377013824693604,0.11483444818167693,0.2795752060200706,0.012511084442810768,0.31488061153012403,0.013876954693095564,151.62523528985793,22.09628642168359,0.947657720561612,0.13810179013552243,0.0,0.0,1.7969727240459363,0.1542589608521224,5.255673549370192,0.6095265897965515,0.96421875,0.013904494271187999,1.0,0.0,1.01015625,0.011240230132764175,0.013402762031623508,0.0021632464830817133,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,10.649526579125085,0.18510416277050437
failure_only,flocking_topology_admission_posterior,40,1.0611057654929934,0.1075145502102983,0.3004873674600841,0.017392955592961643,0.3362410589831724,0.015397144711543144,152.12367960658185,19.520843853904108,0.9507729975411365,0.12200527408690069,0.0,0.0,1.79020113747681,0.1428589976345606,5.229585268172897,0.5215075340488086,0.9643750000000001,0.012899854650343929,1.0,0.0,1.00828125,0.010115302068524682,0.014755504501282154,0.0029096395483267745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.455729723960394,0.2603068142219201
failure_only,flocking_topology_admission_round_robin,40,1.0522695162914326,0.10653792006214031,0.30082407943731065,0.016601548661391265,0.33655088787489734,0.015074785391572712,150.28908737082438,19.43657053705122,0.9393067960676523,0.12147856585657013,0.0,0.0,1.787683808375791,0.14182288871326687,5.200143499596426,0.5357318215169303,0.9640625,0.013887803777055605,1.0,0.0,1.01328125,0.01187397199497707,0.014827000720840736,0.0029204577220360165,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,8.477447809401202,0.21413085993513542
failure_only,flocking_topology_admission_receding_voi,40,1.0518553695131936,0.10685425923423657,0.3011329753628855,0.016466592190862772,0.3366219835788476,0.014692507774456343,150.14447883006164,19.478990722545475,0.9384029926878851,0.12174369201590923,0.0,0.0,1.7852969259777445,0.13933634512011414,5.178855951449319,0.5523619329334721,0.9637499999999999,0.015000000000000001,1.0,0.0,1.01421875,0.013257331403321703,0.014961121660936749,0.002990874161715842,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,8.643941925041144,0.2247254827244491
partition_only,flocking_topology_admission_posterior,40,1.1557402256083897,0.11868122127102201,0.3808823252664558,0.04812243469567557,0.4161598344066431,0.04569529606574026,154.97158006838677,21.67680843592131,0.9685723754274174,0.13548005272450817,0.0,0.0,1.7563326240701784,0.17027246908817192,5.273492761593454,0.5993535826498705,0.96546875,0.015435570476581029,1.0,0.0,2.13953125,0.06032767781820793,0.02341073063767262,0.006717023586635652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93700617297436,0.3787775869672498
partition_only,flocking_topology_admission_round_robin,40,1.143204013380604,0.11500722431842901,0.3788909059177135,0.047595488778788865,0.4145605773185267,0.0426106719747448,152.86262149257809,21.877641674286235,0.955391384328613,0.13673526046428897,0.0,0.0,1.772180198302467,0.16668102632092474,5.310322614641505,0.6383990894489828,0.9639062500000002,0.01514819373514545,1.0,0.0,2.0975,0.08213222951436301,0.02315868887155001,0.007471276867173045,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,9.05160986147239,0.3206470571871357
partition_only,flocking_topology_admission_receding_voi,40,1.1409227525247134,0.11482027314918737,0.3771388255827919,0.04782765221057328,0.41210277410506785,0.04291368370557894,152.75678538838432,21.90054530763941,0.9547299086774019,0.13687840817274632,0.0,0.0,1.7695648381513411,0.16718134887784125,5.264311931726086,0.6417642317867679,0.9646874999999999,0.015659337270459435,1.0,0.0,2.09171875,0.08951243257747776,0.02288826152132828,0.007433720127520544,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,9.202005642739824,0.22637326502924002
asymmetric_partition,flocking_topology_admission_posterior,40,1.1869587082219433,0.13324048206313982,0.4132043209051767,0.06038819917325422,0.4473922375381437,0.05316772348157959,154.7508774633533,21.915610808026074,0.9671929841459581,0.13697256755016296,0.0,0.0,1.76426106702128,0.14911277741328188,5.280423068721311,0.5701075810833208,0.9665624999999999,0.01476045709827443,1.0,0.0,2.01703125,0.12324540036422252,0.027052368531616987,0.009072068629791383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.031032246950781,0.25019398772211665
